stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,812.40,812.50,810.00,812.05,811.44,9440,0,430144,0
Ok,24-09-2025 15:20:00,1758707400,812.90,813.00,811.20,812.45,812.84,9777,0,420704,0
Ok,24-09-2025 15:15:00,1758707100,812.90,813.00,811.95,813.00,812.04,9721,0,410927,0
Ok,24-09-2025 15:10:00,1758706800,813.00,813.00,811.45,812.00,812.66,6163,0,401206,0
Ok,24-09-2025 15:05:00,1758706500,812.65,813.00,812.25,812.95,812.53,5003,0,395043,0
Ok,24-09-2025 15:00:00,1758706200,810.80,812.85,809.50,812.85,810.38,5243,0,390040,0
Ok,24-09-2025 14:55:00,1758705900,808.65,810.10,808.15,810.10,810.33,2518,0,384797,0
Ok,24-09-2025 14:50:00,1758705600,809.35,809.70,808.50,809.00,808.04,2841,0,382279,0
Ok,24-09-2025 14:45:00,1758705300,809.80,809.95,807.00,809.45,809.21,7072,0,379438,0
Ok,24-09-2025 14:40:00,1758705000,811.00,811.90,809.65,809.95,810.50,4889,0,372366,0
Ok,24-09-2025 14:35:00,1758704700,812.50,812.85,810.60,810.95,811.74,2025,0,367477,0
Ok,24-09-2025 14:30:00,1758704400,812.95,813.00,811.70,812.75,809.73,953,0,365452,0
Ok,24-09-2025 14:25:00,1758704100,812.60,812.90,812.10,812.70,813.57,1042,0,364499,0
Ok,24-09-2025 14:20:00,1758703800,812.50,813.00,812.25,812.75,812.08,2432,0,363457,0
Ok,24-09-2025 14:15:00,1758703500,812.40,813.10,812.15,812.75,813.58,1862,0,361025,0
Ok,24-09-2025 14:10:00,1758703200,813.60,813.80,812.60,812.70,813.58,1298,0,359163,0
Ok,24-09-2025 14:05:00,1758702900,813.95,814.00,813.05,813.45,813.58,2609,0,357865,0
Ok,24-09-2025 14:00:00,1758702600,815.20,815.60,813.25,813.85,814.02,14919,0,355256,0
Ok,24-09-2025 13:55:00,1758702300,817.55,817.55,815.35,815.35,817.31,1803,0,340337,0
Ok,24-09-2025 13:50:00,1758702000,817.00,817.40,817.00,817.40,813.54,588,0,338534,0
Ok,24-09-2025 13:45:00,1758701700,816.85,816.85,816.00,816.80,818.96,622,0,337946,0
Ok,24-09-2025 13:40:00,1758701400,817.05,817.40,816.80,817.30,816.99,3850,0,337324,0
Ok,24-09-2025 13:35:00,1758701100,816.95,817.25,816.75,817.05,823.52,663,0,333474,0
Ok,24-09-2025 13:30:00,1758700800,816.10,816.75,815.00,816.75,813.47,952,0,332811,0
Ok,24-09-2025 13:25:00,1758700500,816.60,818.20,815.65,816.30,816.83,6754,0,331859,0
Ok,24-09-2025 13:20:00,1758700200,814.00,819.00,814.00,817.00,815.88,23052,0,325105,0
Ok,24-09-2025 13:15:00,1758699900,814.00,815.00,813.50,815.00,814.77,12882,0,302053,0
Ok,24-09-2025 13:10:00,1758699600,814.15,814.45,813.50,813.85,813.14,2111,0,289171,0
Ok,24-09-2025 13:05:00,1758699300,814.25,814.65,812.90,814.00,813.14,2854,0,287060,0
Ok,24-09-2025 13:00:00,1758699000,814.00,814.35,813.15,814.00,814.45,2143,0,284206,0
Ok,24-09-2025 12:55:00,1758698700,813.50,814.00,813.25,813.90,813.13,832,0,282063,0
Ok,24-09-2025 12:50:00,1758698400,813.45,814.00,812.55,813.80,814.10,2867,0,281231,0
Ok,24-09-2025 12:45:00,1758698100,813.40,814.00,812.40,813.25,813.12,2421,0,278364,0
Ok,24-09-2025 12:40:00,1758697800,809.85,815.00,809.85,813.20,812.70,18561,0,275943,0
Ok,24-09-2025 12:35:00,1758697500,810.00,810.00,809.70,809.95,810.59,1003,0,257382,0
Ok,24-09-2025 12:30:00,1758697200,810.00,811.25,809.80,810.00,809.51,2784,0,256379,0
Ok,24-09-2025 12:25:00,1758696900,810.20,810.30,809.00,810.00,809.52,1375,0,253595,0
Ok,24-09-2025 12:20:00,1758696600,812.55,814.35,809.05,810.00,814.02,57743,0,252220,0
Ok,24-09-2025 12:15:00,1758696300,811.95,812.60,810.55,812.35,811.69,1504,0,194477,0
Ok,24-09-2025 12:10:00,1758696000,810.90,812.40,810.90,812.40,811.62,1407,0,192973,0
Ok,24-09-2025 12:05:00,1758695700,811.55,812.00,810.55,811.70,813.00,752,0,191566,0
Ok,24-09-2025 12:00:00,1758695400,811.00,812.45,810.30,811.05,810.95,927,0,190814,0
Ok,24-09-2025 11:55:00,1758695100,811.75,811.95,810.00,810.90,810.08,1288,0,189887,0
Ok,24-09-2025 11:50:00,1758694800,812.00,812.45,811.20,812.00,811.80,1528,0,188599,0
Ok,24-09-2025 11:45:00,1758694500,810.55,811.95,810.00,811.45,813.04,681,0,187071,0
Ok,24-09-2025 11:40:00,1758694200,811.50,812.40,809.95,810.85,811.40,3372,0,186390,0
Ok,24-09-2025 11:35:00,1758693900,811.35,812.45,811.35,812.30,813.07,740,0,183018,0
Ok,24-09-2025 11:30:00,1758693600,811.80,812.60,811.10,811.50,811.90,3084,0,182278,0
Ok,24-09-2025 11:25:00,1758693300,812.00,812.40,810.00,811.25,810.58,6891,0,179194,0
Ok,24-09-2025 11:20:00,1758693000,809.80,812.20,809.50,812.20,810.24,19236,0,172303,0
Ok,24-09-2025 11:15:00,1758692700,809.95,810.15,809.55,810.00,809.86,2849,0,153067,0
Ok,24-09-2025 11:10:00,1758692400,809.75,810.15,809.65,810.15,809.92,2001,0,150218,0
Ok,24-09-2025 11:05:00,1758692100,808.25,810.30,808.25,810.15,809.78,5849,0,148217,0
Ok,24-09-2025 11:00:00,1758691800,809.50,809.60,808.10,808.35,809.18,1215,0,142368,0
Ok,24-09-2025 10:55:00,1758691500,809.05,810.05,808.75,809.65,807.17,2075,0,141153,0
Ok,24-09-2025 10:50:00,1758691200,809.30,809.85,808.50,809.45,811.79,1883,0,139078,0
Ok,24-09-2025 10:45:00,1758690900,809.60,809.90,808.95,809.40,809.29,1154,0,137195,0
Ok,24-09-2025 10:40:00,1758690600,808.85,809.85,808.30,809.50,808.94,1319,0,136041,0
Ok,24-09-2025 10:35:00,1758690300,811.50,811.60,808.55,809.10,809.92,10420,0,134722,0
