stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,334.65,335.75,332.00,332.20,333.92,3906,0,142894,0
Ok,24-09-2025 15:20:00,1758707400,334.95,335.75,334.00,334.70,334.74,4855,0,138988,0
Ok,24-09-2025 15:15:00,1758707100,334.85,336.00,334.85,335.20,335.57,4292,0,134133,0
Ok,24-09-2025 15:10:00,1758706800,335.30,335.30,334.55,335.00,334.73,1751,0,129841,0
Ok,24-09-2025 15:05:00,1758706500,333.60,335.40,333.25,335.05,334.91,6543,0,128090,0
Ok,24-09-2025 15:00:00,1758706200,333.00,333.55,333.00,333.35,333.51,437,0,121547,0
Ok,24-09-2025 14:55:00,1758705900,333.50,333.55,333.00,333.30,332.53,640,0,121110,0
Ok,24-09-2025 14:50:00,1758705600,333.65,333.65,333.20,333.55,336.32,137,0,120470,0
Ok,24-09-2025 14:45:00,1758705300,333.60,333.80,333.60,333.65,322.80,89,0,120333,0
Ok,24-09-2025 14:40:00,1758705000,333.95,333.95,333.70,333.75,336.33,41,0,120244,0
Ok,24-09-2025 14:35:00,1758704700,333.40,333.65,333.05,333.50,336.33,311,0,120203,0
Ok,24-09-2025 14:30:00,1758704400,333.40,333.55,332.25,333.10,333.05,3565,0,119892,0
Ok,24-09-2025 14:25:00,1758704100,334.05,334.05,333.45,333.45,330.82,207,0,116327,0
Ok,24-09-2025 14:20:00,1758703800,333.75,334.15,333.70,333.95,336.44,68,0,116120,0
Ok,24-09-2025 14:15:00,1758703500,334.30,334.30,333.80,334.10,336.44,62,0,116052,0
Ok,24-09-2025 14:10:00,1758703200,333.70,334.30,333.70,334.30,334.34,11041,0,115990,0
Ok,24-09-2025 14:05:00,1758702900,333.70,333.70,333.65,333.70,336.66,67,0,104949,0
Ok,24-09-2025 14:00:00,1758702600,333.70,333.70,333.60,333.70,336.66,26,0,104882,0
Ok,24-09-2025 13:55:00,1758702300,334.55,334.55,333.45,333.70,333.72,1762,0,104856,0
Ok,24-09-2025 13:50:00,1758702000,334.60,334.80,334.10,334.70,334.70,1020,0,103094,0
Ok,24-09-2025 13:45:00,1758701700,335.05,335.15,335.05,335.15,336.73,29,0,102074,0
Ok,24-09-2025 13:40:00,1758701400,335.70,335.70,334.85,335.20,334.92,1666,0,102045,0
Ok,24-09-2025 13:35:00,1758701100,335.70,335.70,335.50,335.50,336.76,25,0,100379,0
Ok,24-09-2025 13:30:00,1758700800,335.50,335.75,335.15,335.70,336.76,152,0,100354,0
Ok,24-09-2025 13:25:00,1758700500,336.05,336.10,335.00,335.55,334.40,843,0,100202,0
Ok,24-09-2025 13:20:00,1758700200,336.00,336.05,335.60,336.05,336.78,56,0,99359,0
Ok,24-09-2025 13:15:00,1758699900,335.60,336.15,335.60,336.00,336.78,72,0,99303,0
Ok,24-09-2025 13:10:00,1758699600,336.15,336.15,336.15,336.15,0.00,0,0,99231,0
Ok,24-09-2025 13:05:00,1758699300,336.10,336.15,335.80,336.15,336.78,249,0,99231,0
Ok,24-09-2025 13:00:00,1758699000,335.55,336.10,335.00,336.10,335.32,1349,0,98982,0
Ok,24-09-2025 12:55:00,1758698700,335.10,335.55,335.10,335.55,336.80,68,0,97633,0
Ok,24-09-2025 12:50:00,1758698400,335.35,335.65,335.35,335.60,336.80,175,0,97565,0
Ok,24-09-2025 12:45:00,1758698100,335.15,335.15,335.15,335.15,0.00,0,0,97390,0
Ok,24-09-2025 12:40:00,1758697800,335.55,335.55,335.15,335.15,336.80,7,0,97390,0
Ok,24-09-2025 12:35:00,1758697500,334.80,335.65,334.80,335.55,334.75,473,0,97383,0
Ok,24-09-2025 12:30:00,1758697200,335.45,335.95,334.60,335.20,335.00,1590,0,96910,0
Ok,24-09-2025 12:25:00,1758696900,335.95,336.20,335.30,335.95,336.12,1321,0,95320,0
Ok,24-09-2025 12:20:00,1758696600,335.60,336.00,335.60,335.75,335.41,650,0,93999,0
Ok,24-09-2025 12:15:00,1758696300,335.30,335.65,335.10,335.60,336.86,112,0,93349,0
Ok,24-09-2025 12:10:00,1758696000,335.35,335.40,334.40,335.30,335.02,1008,0,93237,0
Ok,24-09-2025 12:05:00,1758695700,335.80,335.95,335.40,335.50,333.45,269,0,92229,0
Ok,24-09-2025 12:00:00,1758695400,335.55,336.30,335.35,335.35,336.89,463,0,91960,0
Ok,24-09-2025 11:55:00,1758695100,335.35,335.50,335.35,335.50,334.07,325,0,91497,0
Ok,24-09-2025 11:50:00,1758694800,334.50,335.50,334.50,335.35,334.39,1079,0,91172,0
Ok,24-09-2025 11:45:00,1758694500,334.75,334.75,334.50,334.50,336.93,81,0,90093,0
Ok,24-09-2025 11:40:00,1758694200,334.70,335.15,334.50,334.80,336.93,329,0,90012,0
Ok,24-09-2025 11:35:00,1758693900,334.40,334.60,333.70,334.60,332.74,427,0,89683,0
Ok,24-09-2025 11:30:00,1758693600,334.55,334.95,334.20,334.45,336.95,236,0,89256,0
Ok,24-09-2025 11:25:00,1758693300,334.90,334.90,334.45,334.85,336.95,107,0,89020,0
Ok,24-09-2025 11:20:00,1758693000,335.60,335.80,334.90,334.90,330.51,138,0,88913,0
Ok,24-09-2025 11:15:00,1758692700,334.85,336.45,334.85,336.10,336.12,1048,0,88775,0
Ok,24-09-2025 11:10:00,1758692400,333.90,335.15,333.90,334.95,334.59,2864,0,87727,0
Ok,24-09-2025 11:05:00,1758692100,334.35,334.35,333.35,333.80,334.95,403,0,84863,0
Ok,24-09-2025 11:00:00,1758691800,334.80,334.90,334.15,334.20,334.14,861,0,84460,0
Ok,24-09-2025 10:55:00,1758691500,334.65,335.10,334.05,334.80,334.74,1407,0,83599,0
Ok,24-09-2025 10:50:00,1758691200,335.35,335.50,334.85,334.85,335.16,1239,0,82192,0
Ok,24-09-2025 10:45:00,1758690900,336.90,336.90,335.05,335.35,335.99,3345,0,80953,0
Ok,24-09-2025 10:40:00,1758690600,336.75,336.80,336.40,336.50,337.21,679,0,77608,0
Ok,24-09-2025 10:35:00,1758690300,337.00,337.40,336.10,336.75,336.60,2460,0,76929,0
Ok,24-09-2025 10:30:00,1758690000,337.10,337.95,337.10,337.20,337.23,1020,0,74469,0
