stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,455.00,455.20,453.55,454.00,454.25,6181,0,350779,0
Ok,24-09-2025 15:20:00,1758707400,455.95,455.95,455.00,455.20,455.65,7767,0,344598,0
Ok,24-09-2025 15:15:00,1758707100,456.15,456.25,455.60,455.90,455.65,3706,0,336831,0
Ok,24-09-2025 15:10:00,1758706800,457.00,457.35,456.00,456.30,456.56,6469,0,333125,0
Ok,24-09-2025 15:05:00,1758706500,457.55,458.00,457.00,457.35,457.46,13755,0,326656,0
Ok,24-09-2025 15:00:00,1758706200,457.00,458.15,456.50,456.80,457.54,11666,0,312901,0
Ok,24-09-2025 14:55:00,1758705900,457.25,457.25,456.55,456.85,457.63,2581,0,301235,0
Ok,24-09-2025 14:50:00,1758705600,457.70,457.70,457.00,457.00,456.47,2898,0,298654,0
Ok,24-09-2025 14:45:00,1758705300,457.50,457.70,457.50,457.50,458.13,3491,0,295756,0
Ok,24-09-2025 14:40:00,1758705000,458.40,459.00,457.50,457.55,458.41,7230,0,292265,0
Ok,24-09-2025 14:35:00,1758704700,458.20,459.20,458.20,458.75,458.89,4494,0,285035,0
Ok,24-09-2025 14:30:00,1758704400,458.20,458.70,458.00,458.50,458.35,8164,0,280541,0
Ok,24-09-2025 14:25:00,1758704100,458.10,458.25,458.00,458.05,458.34,3936,0,272377,0
Ok,24-09-2025 14:20:00,1758703800,458.15,458.15,457.80,458.00,457.16,2952,0,268441,0
Ok,24-09-2025 14:15:00,1758703500,458.15,458.35,458.00,458.00,458.29,2588,0,265489,0
Ok,24-09-2025 14:10:00,1758703200,458.20,458.65,457.75,457.80,459.19,1767,0,262901,0
Ok,24-09-2025 14:05:00,1758702900,456.90,459.20,456.50,458.05,457.86,14917,0,261134,0
Ok,24-09-2025 14:00:00,1758702600,455.85,457.40,455.30,457.40,456.75,3793,0,246217,0
Ok,24-09-2025 13:55:00,1758702300,456.50,456.65,455.85,456.15,456.11,3386,0,242424,0
Ok,24-09-2025 13:50:00,1758702000,456.20,456.50,456.00,456.25,456.11,2474,0,239038,0
Ok,24-09-2025 13:45:00,1758701700,455.35,455.95,455.00,455.75,455.28,11036,0,236564,0
Ok,24-09-2025 13:40:00,1758701400,455.45,455.70,455.30,455.35,456.15,271,0,225528,0
Ok,24-09-2025 13:35:00,1758701100,455.25,455.70,455.25,455.70,456.15,411,0,225257,0
Ok,24-09-2025 13:30:00,1758700800,455.40,455.70,455.05,455.35,454.89,1779,0,224846,0
Ok,24-09-2025 13:25:00,1758700500,455.90,455.90,455.45,455.70,456.16,1341,0,223067,0
Ok,24-09-2025 13:20:00,1758700200,454.95,455.70,454.95,455.70,454.40,1256,0,221726,0
Ok,24-09-2025 13:15:00,1758699900,455.40,455.40,454.60,454.90,456.17,564,0,220470,0
Ok,24-09-2025 13:10:00,1758699600,453.70,455.85,453.70,455.55,455.02,3790,0,219906,0
Ok,24-09-2025 13:05:00,1758699300,454.50,454.50,454.00,454.00,456.19,283,0,216116,0
Ok,24-09-2025 13:00:00,1758699000,453.80,454.50,453.45,454.50,453.18,2136,0,215833,0
Ok,24-09-2025 12:55:00,1758698700,453.55,453.85,453.55,453.85,453.76,866,0,213697,0
Ok,24-09-2025 12:50:00,1758698400,453.65,453.95,453.60,453.90,454.35,1128,0,212831,0
Ok,24-09-2025 12:45:00,1758698100,453.55,454.00,453.50,453.50,452.87,1872,0,211703,0
Ok,24-09-2025 12:40:00,1758697800,453.85,454.00,453.25,453.95,453.78,1677,0,209831,0
Ok,24-09-2025 12:35:00,1758697500,453.50,454.25,453.15,454.00,453.74,2425,0,208154,0
Ok,24-09-2025 12:30:00,1758697200,453.05,453.50,453.05,453.15,456.32,391,0,205729,0
Ok,24-09-2025 12:25:00,1758696900,453.30,453.40,453.05,453.05,453.14,645,0,205338,0
Ok,24-09-2025 12:20:00,1758696600,453.70,454.50,453.20,453.50,453.31,3346,0,204693,0
Ok,24-09-2025 12:15:00,1758696300,453.40,453.70,453.35,453.60,456.38,213,0,201347,0
Ok,24-09-2025 12:10:00,1758696000,452.70,454.00,452.70,453.40,454.36,995,0,201134,0
Ok,24-09-2025 12:05:00,1758695700,452.80,453.25,452.75,452.75,452.34,493,0,200139,0
Ok,24-09-2025 12:00:00,1758695400,453.20,453.45,452.80,452.80,452.87,3349,0,199646,0
Ok,24-09-2025 11:55:00,1758695100,453.50,453.50,453.15,453.50,451.57,401,0,196297,0
Ok,24-09-2025 11:50:00,1758694800,453.50,453.60,453.20,453.30,453.80,2183,0,195896,0
Ok,24-09-2025 11:45:00,1758694500,453.65,453.85,453.60,453.60,452.10,440,0,193713,0
Ok,24-09-2025 11:40:00,1758694200,454.30,454.40,453.25,453.60,454.16,2441,0,193273,0
Ok,24-09-2025 11:35:00,1758693900,455.50,456.00,454.05,454.05,455.08,3869,0,190832,0
Ok,24-09-2025 11:30:00,1758693600,456.10,456.10,455.70,455.90,456.57,810,0,186963,0
Ok,24-09-2025 11:25:00,1758693300,455.75,456.10,455.75,456.05,455.80,2394,0,186153,0
Ok,24-09-2025 11:20:00,1758693000,455.70,456.10,455.60,455.80,456.00,14836,0,183759,0
Ok,24-09-2025 11:15:00,1758692700,456.00,456.30,455.50,456.00,455.87,6542,0,168923,0
Ok,24-09-2025 11:10:00,1758692400,455.55,455.95,455.40,455.95,456.66,643,0,162381,0
Ok,24-09-2025 11:05:00,1758692100,456.20,456.20,455.30,455.30,455.65,3185,0,161738,0
Ok,24-09-2025 11:00:00,1758691800,456.10,456.25,456.10,456.15,456.68,1005,0,158553,0
Ok,24-09-2025 10:55:00,1758691500,455.45,456.50,455.45,456.25,455.64,5878,0,157548,0
Ok,24-09-2025 10:50:00,1758691200,455.70,455.70,455.20,455.30,455.55,1295,0,151670,0
Ok,24-09-2025 10:45:00,1758690900,456.10,456.10,455.60,455.60,455.31,1056,0,150375,0
Ok,24-09-2025 10:40:00,1758690600,456.55,457.30,456.15,456.15,456.90,8426,0,149319,0
Ok,24-09-2025 10:35:00,1758690300,456.75,456.85,456.10,456.85,456.73,1844,0,140893,0
Ok,24-09-2025 10:30:00,1758690000,455.85,456.40,455.30,456.10,455.95,6815,0,139049,0
Ok,24-09-2025 10:25:00,1758689700,455.15,455.90,455.05,455.65,455.44,3875,0,132234,0
Ok,24-09-2025 10:20:00,1758689400,457.15,457.15,455.20,455.20,455.81,1279,0,128359,0
Ok,24-09-2025 10:15:00,1758689100,457.50,458.00,457.10,457.10,457.78,14071,0,127080,0
Ok,24-09-2025 10:10:00,1758688800,457.30,457.95,456.00,457.95,456.98,10868,0,113009,0
Ok,24-09-2025 10:05:00,1758688500,456.65,457.80,456.65,457.15,456.90,4071,0,102141,0
Ok,24-09-2025 10:00:00,1758688200,457.00,457.20,455.70,456.45,455.99,6903,0,98070,0
Ok,24-09-2025 09:55:00,1758687900,457.50,458.00,456.95,457.25,457.24,9132,0,91167,0
Ok,24-09-2025 09:50:00,1758687600,457.90,457.90,457.15,457.15,457.37,4239,0,82035,0
Ok,24-09-2025 09:45:00,1758687300,457.60,457.65,455.50,457.55,456.46,13907,0,77796,0
Ok,24-09-2025 09:40:00,1758687000,458.15,458.15,456.60,457.25,457.32,4341,0,63889,0
Ok,24-09-2025 09:35:00,1758686700,459.30,459.30,457.70,458.55,458.14,12164,0,59548,0
Ok,24-09-2025 09:30:00,1758686400,455.95,459.70,455.80,459.00,457.97,10983,0,47384,0
Ok,24-09-2025 09:25:00,1758686100,456.40,456.60,455.50,455.70,456.03,10516,0,36401,0
Ok,24-09-2025 09:20:00,1758685800,454.15,457.85,453.25,456.50,456.12,14344,0,25885,0
Ok,24-09-2025 09:15:00,1758685500,455.35,456.75,454.20,454.20,454.98,9805,0,11541,0
