stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,991.05,991.65,979.00,981.00,988.20,1936,0,87293,0
Ok,24-09-2025 15:20:00,1758707400,991.50,996.00,990.40,990.40,994.68,6074,0,85357,0
Ok,24-09-2025 15:15:00,1758707100,989.60,993.65,989.00,993.65,989.36,505,0,79283,0
Ok,24-09-2025 15:10:00,1758706800,989.00,989.00,989.00,989.00,989.65,229,0,78778,0
Ok,24-09-2025 15:05:00,1758706500,989.00,989.75,989.00,989.05,989.40,733,0,78549,0
Ok,24-09-2025 15:00:00,1758706200,978.75,994.90,977.10,985.65,988.91,8622,0,77816,0
Ok,24-09-2025 14:55:00,1758705900,977.10,979.15,976.10,978.75,976.38,1009,0,69194,0
Ok,24-09-2025 14:50:00,1758705600,983.20,983.20,980.00,980.00,982.58,200,0,68185,0
Ok,24-09-2025 14:45:00,1758705300,985.05,985.05,983.20,983.20,986.00,236,0,67985,0
Ok,24-09-2025 14:40:00,1758705000,985.75,986.25,985.05,986.25,986.00,56,0,67749,0
Ok,24-09-2025 14:35:00,1758704700,985.60,988.20,985.60,985.75,989.44,1349,0,67693,0
Ok,24-09-2025 14:30:00,1758704400,984.10,985.60,983.75,985.60,984.67,527,0,66344,0
Ok,24-09-2025 14:25:00,1758704100,985.15,986.50,984.10,984.10,985.94,118,0,65817,0
Ok,24-09-2025 14:20:00,1758703800,985.60,986.20,985.15,985.15,985.94,16,0,65699,0
Ok,24-09-2025 14:15:00,1758703500,987.65,987.65,985.50,985.65,985.94,102,0,65683,0
Ok,24-09-2025 14:10:00,1758703200,988.60,988.60,987.65,987.65,985.94,19,0,65581,0
Ok,24-09-2025 14:05:00,1758702900,990.00,990.00,988.60,988.60,990.05,474,0,65562,0
Ok,24-09-2025 14:00:00,1758702600,991.75,991.75,990.00,990.00,985.91,21,0,65088,0
Ok,24-09-2025 13:55:00,1758702300,994.05,994.05,990.00,991.75,992.60,290,0,65067,0
Ok,24-09-2025 13:50:00,1758702000,995.00,996.30,995.00,995.30,993.06,90,0,64777,0
Ok,24-09-2025 13:45:00,1758701700,996.30,997.40,994.75,995.90,996.73,178,0,64687,0
Ok,24-09-2025 13:40:00,1758701400,998.25,1005.90,992.40,996.35,999.48,6693,0,64509,0
Ok,24-09-2025 13:35:00,1758701100,992.50,997.40,992.50,997.40,994.93,430,0,57816,0
Ok,24-09-2025 13:30:00,1758700800,992.95,992.95,988.70,991.50,990.10,10053,0,57386,0
Ok,24-09-2025 13:25:00,1758700500,992.90,996.95,990.00,993.85,991.56,2438,0,47333,0
Ok,24-09-2025 13:20:00,1758700200,993.35,993.35,993.00,993.00,982.45,14,0,44895,0
Ok,24-09-2025 13:15:00,1758699900,981.05,993.35,981.00,993.35,987.51,1037,0,44881,0
Ok,24-09-2025 13:10:00,1758699600,984.80,984.80,981.05,982.70,982.32,878,0,43844,0
Ok,24-09-2025 13:05:00,1758699300,984.80,984.80,984.80,984.80,982.33,80,0,42966,0
Ok,24-09-2025 13:00:00,1758699000,992.45,995.55,983.15,983.15,988.75,2453,0,42886,0
Ok,24-09-2025 12:55:00,1758698700,993.50,1000.00,990.00,990.85,997.26,5592,0,40433,0
Ok,24-09-2025 12:50:00,1758698400,985.35,999.00,985.35,993.00,993.96,8738,0,34841,0
Ok,24-09-2025 12:45:00,1758698100,985.00,985.00,984.20,984.20,984.68,206,0,26103,0
Ok,24-09-2025 12:40:00,1758697800,985.60,985.60,985.35,985.35,985.54,47,0,25897,0
Ok,24-09-2025 12:35:00,1758697500,986.90,986.90,986.90,986.90,989.28,35,0,25850,0
Ok,24-09-2025 12:30:00,1758697200,986.95,986.95,986.90,986.90,997.96,11,0,25815,0
Ok,24-09-2025 12:25:00,1758696900,985.55,986.95,985.55,986.95,987.37,40,0,25804,0
