stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:05:00,1758706500,1000.35,1001.50,1000.00,1000.90,1001.60,13477,0,336505,0
Ok,24-09-2025 15:00:00,1758706200,1000.70,1000.95,999.30,1000.70,1000.09,6281,0,323028,0
Ok,24-09-2025 14:55:00,1758705900,1000.60,1000.60,999.55,1000.00,999.52,3900,0,316747,0
Ok,24-09-2025 14:50:00,1758705600,1000.05,1000.95,999.95,1000.55,1001.15,1553,0,312847,0
Ok,24-09-2025 14:45:00,1758705300,1000.75,1001.65,999.55,1000.45,999.78,4487,0,311294,0
Ok,24-09-2025 14:40:00,1758705000,1001.00,1001.75,1000.05,1000.65,1001.17,3094,0,306807,0
Ok,24-09-2025 14:35:00,1758704700,999.60,1001.95,999.60,1001.45,1001.17,3427,0,303713,0
Ok,24-09-2025 14:30:00,1758704400,999.55,1000.45,999.10,1000.00,999.77,4250,0,300286,0
Ok,24-09-2025 14:25:00,1758704100,1000.00,1000.70,999.35,1000.00,999.90,2281,0,296036,0
Ok,24-09-2025 14:20:00,1758703800,1000.00,1000.10,999.05,999.95,1000.45,3907,0,293755,0
Ok,24-09-2025 14:15:00,1758703500,998.85,1000.90,998.70,1000.30,999.76,7807,0,289848,0
Ok,24-09-2025 14:10:00,1758703200,995.30,999.35,995.15,998.70,997.50,10180,0,282041,0
Ok,24-09-2025 14:05:00,1758702900,995.70,996.00,993.40,995.45,994.43,6495,0,271861,0
Ok,24-09-2025 14:00:00,1758702600,995.20,996.65,995.20,996.00,997.26,1230,0,265366,0
Ok,24-09-2025 13:55:00,1758702300,995.95,996.40,994.00,995.65,995.09,10555,0,264136,0
Ok,24-09-2025 13:50:00,1758702000,996.75,997.00,996.00,996.45,995.93,1705,0,253581,0
Ok,24-09-2025 13:45:00,1758701700,997.00,997.30,996.25,996.80,996.06,1718,0,251876,0
Ok,24-09-2025 13:40:00,1758701400,997.25,998.20,997.00,997.30,997.62,1732,0,250158,0
Ok,24-09-2025 13:35:00,1758701100,997.10,998.50,996.50,997.70,997.75,2924,0,248426,0
Ok,24-09-2025 13:30:00,1758700800,996.00,997.95,996.00,997.50,997.58,2748,0,245502,0
Ok,24-09-2025 13:25:00,1758700500,997.70,997.90,996.00,996.65,996.93,3732,0,242754,0
Ok,24-09-2025 13:20:00,1758700200,998.05,998.75,997.00,997.05,997.73,2153,0,239022,0
Ok,24-09-2025 13:15:00,1758699900,998.90,999.50,997.90,998.00,998.48,3791,0,236869,0
Ok,24-09-2025 13:10:00,1758699600,998.40,999.30,997.15,999.00,998.21,2294,0,233078,0
Ok,24-09-2025 13:05:00,1758699300,998.50,999.45,997.30,998.50,998.39,3510,0,230784,0
Ok,24-09-2025 13:00:00,1758699000,997.10,998.70,997.10,998.60,998.11,2137,0,227274,0
Ok,24-09-2025 12:55:00,1758698700,996.85,997.70,996.75,997.30,996.83,1211,0,225137,0
Ok,24-09-2025 12:50:00,1758698400,996.30,997.50,996.00,996.70,995.98,1040,0,223926,0
Ok,24-09-2025 12:45:00,1758698100,996.40,997.35,996.00,996.00,997.05,1646,0,222886,0
Ok,24-09-2025 12:40:00,1758697800,997.15,997.85,996.00,996.00,997.07,1626,0,221240,0
