stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 12:45:00,1758698100,534.50,534.65,534.00,534.10,534.61,12101,0,696094,0
Ok,24-09-2025 12:40:00,1758697800,534.50,534.80,534.05,534.35,534.26,15151,0,683993,0
Ok,24-09-2025 12:35:00,1758697500,534.55,534.80,534.25,534.25,534.43,15436,0,668842,0
Ok,24-09-2025 12:30:00,1758697200,534.55,535.00,534.15,534.50,534.79,17060,0,653406,0
Ok,24-09-2025 12:25:00,1758696900,534.30,534.80,534.25,534.50,534.43,11735,0,636346,0
Ok,24-09-2025 12:20:00,1758696600,534.15,534.40,533.95,534.25,533.89,11306,0,624611,0
Ok,24-09-2025 12:15:00,1758696300,533.85,534.40,533.50,534.00,533.87,12603,0,613305,0
Ok,24-09-2025 12:10:00,1758696000,533.55,533.85,533.50,533.55,534.13,7561,0,600702,0
Ok,24-09-2025 12:05:00,1758695700,533.50,534.00,533.45,533.70,533.66,17329,0,593141,0
Ok,24-09-2025 12:00:00,1758695400,534.25,534.60,533.55,533.55,534.00,27242,0,575812,0
Ok,24-09-2025 11:55:00,1758695100,534.40,534.65,534.10,534.30,534.30,6585,0,548570,0
Ok,24-09-2025 11:50:00,1758694800,534.15,534.60,533.95,534.25,534.03,27130,0,541985,0
Ok,24-09-2025 11:45:00,1758694500,535.00,535.25,534.20,534.20,534.69,9702,0,514855,0
Ok,24-09-2025 11:40:00,1758694200,534.70,535.25,534.40,535.10,534.71,12442,0,505153,0
Ok,24-09-2025 11:35:00,1758693900,534.75,535.25,534.50,535.15,535.09,16584,0,492711,0
Ok,24-09-2025 11:30:00,1758693600,534.60,535.00,534.50,534.65,534.37,7612,0,476127,0
Ok,24-09-2025 11:25:00,1758693300,535.10,535.40,534.60,534.80,535.27,11227,0,468515,0
Ok,24-09-2025 11:20:00,1758693000,535.60,535.60,535.00,535.20,535.10,10113,0,457288,0
Ok,24-09-2025 11:15:00,1758692700,535.50,535.75,535.00,535.40,535.53,9605,0,447175,0
Ok,24-09-2025 11:10:00,1758692400,534.30,535.95,534.00,535.55,535.34,26232,0,437570,0
Ok,24-09-2025 11:05:00,1758692100,535.55,535.70,534.00,534.00,534.73,29310,0,411338,0
Ok,24-09-2025 11:00:00,1758691800,536.05,536.30,535.10,535.30,535.44,8897,0,382028,0
Ok,24-09-2025 10:55:00,1758691500,535.65,536.25,535.50,536.25,536.02,15028,0,373131,0
Ok,24-09-2025 10:50:00,1758691200,536.05,536.70,535.55,535.85,536.11,16554,0,358103,0
Ok,24-09-2025 10:45:00,1758690900,536.75,537.00,535.65,535.75,536.26,21120,0,341549,0
Ok,24-09-2025 10:40:00,1758690600,537.65,537.95,536.30,536.70,536.97,25085,0,320429,0
Ok,24-09-2025 10:35:00,1758690300,538.60,538.60,537.45,537.75,538.21,83469,0,295344,0
Ok,24-09-2025 10:30:00,1758690000,539.55,539.75,538.20,538.45,538.73,16247,0,211875,0
Ok,24-09-2025 10:25:00,1758689700,540.70,540.90,539.75,539.80,540.17,8986,0,195628,0
Ok,24-09-2025 10:20:00,1758689400,540.65,541.10,540.60,540.90,541.09,3931,0,186642,0
Ok,24-09-2025 10:15:00,1758689100,539.75,541.00,539.50,540.60,540.33,9386,0,182711,0
Ok,24-09-2025 10:10:00,1758688800,540.30,540.30,539.55,539.80,539.88,6624,0,173325,0
Ok,24-09-2025 10:05:00,1758688500,539.80,541.25,539.50,540.45,540.47,9486,0,166701,0
Ok,24-09-2025 10:00:00,1758688200,539.30,539.65,538.85,539.30,539.38,4116,0,157215,0
Ok,24-09-2025 09:55:00,1758687900,538.50,540.00,538.40,539.25,539.15,14012,0,153099,0
Ok,24-09-2025 09:50:00,1758687600,539.40,539.75,538.65,538.70,538.99,14004,0,139087,0
Ok,24-09-2025 09:45:00,1758687300,538.70,539.50,537.80,539.35,538.33,21231,0,125083,0
Ok,24-09-2025 09:40:00,1758687000,539.85,539.85,538.50,538.65,538.77,10961,0,103852,0
Ok,24-09-2025 09:35:00,1758686700,540.20,540.25,539.50,539.70,539.91,14008,0,92891,0
Ok,24-09-2025 09:30:00,1758686400,540.05,540.55,539.50,540.10,540.06,20363,0,78883,0
Ok,24-09-2025 09:25:00,1758686100,541.75,541.75,540.00,540.30,540.49,19958,0,58520,0
Ok,24-09-2025 09:20:00,1758685800,542.50,542.60,540.35,541.80,541.28,22723,0,38562,0
Ok,24-09-2025 09:15:00,1758685500,543.70,544.75,542.60,542.60,568.78,15139,0,15839,0
