stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,277.65,283.00,276.10,278.00,278.54,5036,0,101941,0
Ok,24-09-2025 15:20:00,1758707400,276.85,278.00,276.85,277.65,277.43,1822,0,96905,0
Ok,24-09-2025 15:15:00,1758707100,277.90,278.00,276.55,276.55,277.44,1759,0,95083,0
Ok,24-09-2025 15:10:00,1758706800,278.45,278.45,277.45,277.55,279.51,5981,0,93324,0
Ok,24-09-2025 15:05:00,1758706500,277.85,277.95,276.80,277.50,277.83,3716,0,87343,0
Ok,24-09-2025 15:00:00,1758706200,276.95,277.45,276.25,277.45,277.68,2771,0,83627,0
Ok,24-09-2025 14:55:00,1758705900,276.80,277.10,276.50,276.50,274.39,244,0,80856,0
Ok,24-09-2025 14:50:00,1758705600,277.00,277.00,276.80,276.80,276.54,713,0,80612,0
Ok,24-09-2025 14:45:00,1758705300,277.55,277.55,277.10,277.40,277.50,446,0,79899,0
Ok,24-09-2025 14:40:00,1758705000,277.10,277.40,277.10,277.15,281.09,159,0,79453,0
Ok,24-09-2025 14:35:00,1758704700,276.15,277.30,276.05,277.30,276.36,4290,0,79294,0
Ok,24-09-2025 14:30:00,1758704400,277.60,278.00,276.50,276.50,277.22,2120,0,75004,0
Ok,24-09-2025 14:25:00,1758704100,277.65,277.65,277.60,277.60,0.00,0,0,72884,0
Ok,24-09-2025 14:20:00,1758703800,277.65,277.95,277.40,277.65,276.75,612,0,72884,0
Ok,24-09-2025 14:15:00,1758703500,277.60,277.60,277.60,277.60,281.52,45,0,72272,0
Ok,24-09-2025 14:10:00,1758703200,277.85,278.00,277.85,278.00,277.39,175,0,72227,0
Ok,24-09-2025 14:05:00,1758702900,277.80,277.95,277.80,277.85,281.53,126,0,72052,0
Ok,24-09-2025 14:00:00,1758702600,277.95,277.95,277.85,277.85,269.55,60,0,71926,0
Ok,24-09-2025 13:55:00,1758702300,277.75,278.00,277.75,278.00,281.54,113,0,71866,0
Ok,24-09-2025 13:50:00,1758702000,277.75,277.75,277.75,277.75,0.00,0,0,71753,0
Ok,24-09-2025 13:45:00,1758701700,277.80,277.80,277.75,277.75,270.84,67,0,71753,0
Ok,24-09-2025 13:40:00,1758701400,278.00,278.00,277.80,277.80,279.43,338,0,71686,0
Ok,24-09-2025 13:35:00,1758701100,278.00,278.50,277.90,277.90,277.95,1551,0,71348,0
Ok,24-09-2025 13:30:00,1758700800,278.15,278.80,278.15,278.80,278.47,220,0,69797,0
Ok,24-09-2025 13:25:00,1758700500,278.50,278.50,278.15,278.15,276.73,282,0,69577,0
Ok,24-09-2025 13:20:00,1758700200,278.60,278.60,278.50,278.50,281.67,75,0,69295,0
Ok,24-09-2025 13:15:00,1758699900,278.50,278.60,278.50,278.60,278.81,722,0,69220,0
Ok,24-09-2025 13:10:00,1758699600,278.10,278.50,278.10,278.50,281.70,8,0,68498,0
Ok,24-09-2025 13:05:00,1758699300,278.10,278.10,278.10,278.10,281.70,30,0,68490,0
Ok,24-09-2025 13:00:00,1758699000,278.50,278.50,278.20,278.20,275.85,117,0,68460,0
Ok,24-09-2025 12:55:00,1758698700,278.50,278.50,278.50,278.50,281.71,113,0,68343,0
Ok,24-09-2025 12:50:00,1758698400,278.85,278.85,278.85,278.85,0.00,0,0,68230,0
Ok,24-09-2025 12:45:00,1758698100,278.80,278.85,278.80,278.85,265.07,41,0,68230,0
Ok,24-09-2025 12:40:00,1758697800,278.50,278.80,278.30,278.80,278.35,202,0,68189,0
Ok,24-09-2025 12:35:00,1758697500,278.45,279.00,278.15,278.50,278.23,1150,0,67987,0
Ok,24-09-2025 12:30:00,1758697200,278.45,278.85,278.40,278.45,281.79,194,0,66837,0
Ok,24-09-2025 12:25:00,1758696900,278.45,278.45,278.45,278.45,0.00,0,0,66643,0
Ok,24-09-2025 12:20:00,1758696600,278.45,278.45,278.45,278.45,281.79,50,0,66643,0
Ok,24-09-2025 12:15:00,1758696300,279.00,279.00,279.00,279.00,281.79,20,0,66593,0
Ok,24-09-2025 12:10:00,1758696000,278.45,279.00,278.45,278.50,277.47,154,0,66573,0
Ok,24-09-2025 12:05:00,1758695700,278.15,278.90,278.00,278.45,278.78,438,0,66419,0
Ok,24-09-2025 12:00:00,1758695400,279.00,279.00,278.00,278.00,278.24,1091,0,65981,0
Ok,24-09-2025 11:55:00,1758695100,278.95,278.95,278.60,278.60,271.90,65,0,64890,0
Ok,24-09-2025 11:50:00,1758694800,278.60,279.00,278.60,278.95,281.89,129,0,64825,0
Ok,24-09-2025 11:45:00,1758694500,279.00,279.00,278.60,279.00,279.25,245,0,64696,0
Ok,24-09-2025 11:40:00,1758694200,279.00,279.00,279.00,279.00,273.42,76,0,64451,0
