stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,378.65,379.20,377.95,378.10,377.36,1204,0,145503,0
Ok,24-09-2025 15:20:00,1758707400,377.50,378.70,377.10,378.00,378.17,3986,0,144299,0
Ok,24-09-2025 15:15:00,1758707100,377.40,378.00,377.40,377.75,377.03,692,0,140313,0
Ok,24-09-2025 15:10:00,1758706800,377.00,377.50,375.25,377.50,376.50,5562,0,139621,0
Ok,24-09-2025 15:05:00,1758706500,377.70,377.95,377.30,377.60,378.42,4540,0,134059,0
Ok,24-09-2025 15:00:00,1758706200,376.15,377.60,375.90,377.35,376.68,1634,0,129519,0
Ok,24-09-2025 14:55:00,1758705900,377.20,377.40,376.40,376.40,376.36,752,0,127885,0
Ok,24-09-2025 14:50:00,1758705600,378.15,378.15,376.60,376.85,376.80,5478,0,127133,0
Ok,24-09-2025 14:45:00,1758705300,378.20,378.20,378.15,378.15,381.68,7,0,121655,0
Ok,24-09-2025 14:40:00,1758705000,379.00,379.00,377.75,378.20,378.26,2103,0,121648,0
Ok,24-09-2025 14:35:00,1758704700,378.95,379.40,378.95,379.00,381.74,314,0,119545,0
Ok,24-09-2025 14:30:00,1758704400,379.95,380.35,378.40,379.05,379.05,3454,0,119231,0
Ok,24-09-2025 14:25:00,1758704100,379.60,380.65,379.60,380.40,381.82,212,0,115777,0
Ok,24-09-2025 14:20:00,1758703800,380.50,380.50,380.30,380.30,379.01,411,0,115565,0
Ok,24-09-2025 14:15:00,1758703500,380.60,380.65,379.80,380.50,379.82,572,0,115154,0
Ok,24-09-2025 14:10:00,1758703200,379.30,380.25,379.30,380.25,381.84,36,0,114582,0
Ok,24-09-2025 14:05:00,1758702900,380.00,380.10,379.25,379.30,378.46,2986,0,114546,0
Ok,24-09-2025 14:00:00,1758702600,379.40,380.00,379.40,380.00,381.93,271,0,111560,0
Ok,24-09-2025 13:55:00,1758702300,380.65,380.90,379.50,379.50,381.93,376,0,111289,0
Ok,24-09-2025 13:50:00,1758702000,379.75,380.10,378.95,380.10,379.67,976,0,110913,0
Ok,24-09-2025 13:45:00,1758701700,380.10,380.50,380.10,380.10,381.95,36,0,109937,0
Ok,24-09-2025 13:40:00,1758701400,380.60,380.60,380.10,380.10,381.95,170,0,109901,0
Ok,24-09-2025 13:35:00,1758701100,380.60,380.60,380.60,380.60,381.95,1,0,109731,0
Ok,24-09-2025 13:30:00,1758700800,379.75,381.25,379.75,381.15,380.49,2223,0,109730,0
Ok,24-09-2025 13:25:00,1758700500,378.35,380.30,378.35,379.75,380.62,6708,0,107507,0
Ok,24-09-2025 13:20:00,1758700200,378.30,379.65,378.30,378.35,378.87,2165,0,100799,0
Ok,24-09-2025 13:15:00,1758699900,378.15,379.00,378.15,378.30,378.56,550,0,98634,0
Ok,24-09-2025 13:10:00,1758699600,378.45,378.45,378.15,378.15,375.15,140,0,98084,0
Ok,24-09-2025 13:05:00,1758699300,378.45,378.45,378.45,378.45,0.00,0,0,97944,0
Ok,24-09-2025 13:00:00,1758699000,377.05,378.45,377.05,378.45,378.44,783,0,97944,0
Ok,24-09-2025 12:55:00,1758698700,377.60,377.60,377.15,377.55,374.61,128,0,97161,0
Ok,24-09-2025 12:50:00,1758698400,377.10,377.60,377.10,377.60,382.21,50,0,97033,0
Ok,24-09-2025 12:45:00,1758698100,377.10,377.10,377.10,377.10,0.00,0,0,96983,0
Ok,24-09-2025 12:40:00,1758697800,377.85,377.85,377.10,377.10,376.62,346,0,96983,0
Ok,24-09-2025 12:35:00,1758697500,377.60,377.85,377.60,377.85,375.83,151,0,96637,0
Ok,24-09-2025 12:30:00,1758697200,377.80,377.80,377.60,377.60,377.77,216,0,96486,0
Ok,24-09-2025 12:25:00,1758696900,378.00,378.00,377.25,377.25,376.45,166,0,96270,0
Ok,24-09-2025 12:20:00,1758696600,378.00,378.00,378.00,378.00,0.00,0,0,96104,0
Ok,24-09-2025 12:15:00,1758696300,377.95,378.00,377.40,378.00,378.68,268,0,96104,0
Ok,24-09-2025 12:10:00,1758696000,377.00,377.95,377.00,377.95,376.79,349,0,95836,0
Ok,24-09-2025 12:05:00,1758695700,376.80,377.05,376.80,377.00,378.25,472,0,95487,0
Ok,24-09-2025 12:00:00,1758695400,378.05,378.05,377.00,377.00,377.53,594,0,95015,0
Ok,24-09-2025 11:55:00,1758695100,378.65,378.65,378.65,378.65,337.38,21,0,94421,0
Ok,24-09-2025 11:50:00,1758694800,377.95,378.70,377.95,378.70,378.68,257,0,94400,0
Ok,24-09-2025 11:45:00,1758694500,377.30,377.95,377.30,377.95,377.93,635,0,94143,0
Ok,24-09-2025 11:40:00,1758694200,377.20,377.20,376.30,377.00,376.75,2108,0,93508,0
Ok,24-09-2025 11:35:00,1758693900,377.55,377.70,377.05,377.65,377.92,593,0,91400,0
Ok,24-09-2025 11:30:00,1758693600,377.55,377.55,377.55,377.55,376.29,145,0,90807,0
Ok,24-09-2025 11:25:00,1758693300,377.70,377.70,377.55,377.55,382.56,15,0,90662,0
Ok,24-09-2025 11:20:00,1758693000,377.80,378.00,377.50,377.70,377.75,563,0,90647,0
Ok,24-09-2025 11:15:00,1758692700,378.20,379.35,378.00,378.00,378.85,1892,0,90084,0
Ok,24-09-2025 11:10:00,1758692400,378.10,378.65,378.10,378.20,377.53,1352,0,88192,0
Ok,24-09-2025 11:05:00,1758692100,380.00,380.40,378.00,378.00,379.57,4667,0,86840,0
Ok,24-09-2025 11:00:00,1758691800,380.45,380.45,380.00,380.00,380.27,1520,0,82173,0
Ok,24-09-2025 10:55:00,1758691500,380.30,381.35,380.30,380.45,379.84,512,0,80653,0
Ok,24-09-2025 10:50:00,1758691200,379.10,382.20,379.10,380.30,380.57,4091,0,80141,0
Ok,24-09-2025 10:45:00,1758690900,379.35,379.65,379.00,379.00,379.06,1106,0,76050,0
Ok,24-09-2025 10:40:00,1758690600,380.50,380.50,379.00,379.00,379.50,4413,0,74944,0
Ok,24-09-2025 10:35:00,1758690300,381.35,381.35,380.00,380.25,380.36,1802,0,70531,0
Ok,24-09-2025 10:30:00,1758690000,381.70,382.05,381.00,381.45,381.68,752,0,68729,0
Ok,24-09-2025 10:25:00,1758689700,382.05,382.15,381.70,381.70,381.87,821,0,67977,0
Ok,24-09-2025 10:20:00,1758689400,382.20,382.95,382.20,382.45,383.54,444,0,67156,0
Ok,24-09-2025 10:15:00,1758689100,382.30,382.50,381.35,381.35,381.91,2770,0,66712,0
Ok,24-09-2025 10:10:00,1758688800,384.00,384.70,382.30,382.30,383.14,1344,0,63942,0
Ok,24-09-2025 10:05:00,1758688500,385.30,386.50,383.85,385.60,385.29,22296,0,62598,0
Ok,24-09-2025 10:00:00,1758688200,384.90,385.95,384.35,385.95,384.95,3270,0,40302,0
Ok,24-09-2025 09:55:00,1758687900,383.40,384.90,383.15,384.40,384.26,2869,0,37032,0
Ok,24-09-2025 09:50:00,1758687600,382.70,384.55,381.95,384.00,383.84,879,0,34163,0
Ok,24-09-2025 09:45:00,1758687300,381.00,382.90,380.60,382.90,381.43,1116,0,33284,0
Ok,24-09-2025 09:40:00,1758687000,382.70,382.70,381.50,381.50,381.70,1496,0,32168,0
Ok,24-09-2025 09:35:00,1758686700,383.10,383.10,381.30,382.60,382.03,1773,0,30672,0
Ok,24-09-2025 09:30:00,1758686400,380.55,383.40,380.25,383.15,381.60,2396,0,28899,0
Ok,24-09-2025 09:25:00,1758686100,382.50,382.50,380.55,380.80,381.18,6741,0,26503,0
Ok,24-09-2025 09:20:00,1758685800,380.15,383.70,378.75,382.10,381.00,6600,0,19762,0
Ok,24-09-2025 09:15:00,1758685500,382.05,386.65,378.90,380.35,383.88,12667,0,13162,0
