stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,256.22,256.95,255.00,255.00,255.89,1028,0,53501,0
Ok,24-09-2025 15:20:00,1758707400,256.50,256.95,256.22,256.22,256.76,1676,0,52473,0
Ok,24-09-2025 15:15:00,1758707100,256.25,256.68,256.22,256.25,256.04,1010,0,50797,0
Ok,24-09-2025 15:10:00,1758706800,256.25,256.85,256.25,256.73,258.06,183,0,49787,0
Ok,24-09-2025 15:05:00,1758706500,255.51,257.21,255.50,256.25,256.34,855,0,49604,0
Ok,24-09-2025 15:00:00,1758706200,255.71,256.00,255.20,256.00,255.88,654,0,48749,0
Ok,24-09-2025 14:55:00,1758705900,255.01,255.45,255.01,255.19,250.36,62,0,48095,0
Ok,24-09-2025 14:50:00,1758705600,255.01,255.01,255.01,255.01,0.00,0,0,48033,0
Ok,24-09-2025 14:45:00,1758705300,255.03,255.73,255.01,255.01,254.26,124,0,48033,0
Ok,24-09-2025 14:40:00,1758705000,255.24,255.24,255.02,255.03,255.61,563,0,47909,0
Ok,24-09-2025 14:35:00,1758704700,255.50,255.50,255.24,255.24,255.89,207,0,47346,0
Ok,24-09-2025 14:30:00,1758704400,255.09,255.85,255.09,255.50,252.06,77,0,47139,0
Ok,24-09-2025 14:25:00,1758704100,255.01,255.01,255.01,255.01,255.17,310,0,47062,0
Ok,24-09-2025 14:20:00,1758703800,255.98,255.98,255.00,255.00,258.21,49,0,46752,0
Ok,24-09-2025 14:15:00,1758703500,256.00,256.00,256.00,256.00,0.00,0,0,46703,0
Ok,24-09-2025 14:10:00,1758703200,255.50,257.00,255.50,256.00,256.35,985,0,46703,0
Ok,24-09-2025 14:05:00,1758702900,255.03,255.50,255.00,255.50,255.28,609,0,45718,0
Ok,24-09-2025 14:00:00,1758702600,255.21,255.21,255.21,255.21,258.29,27,0,45109,0
Ok,24-09-2025 13:55:00,1758702300,255.01,256.10,255.01,255.98,258.29,39,0,45082,0
Ok,24-09-2025 13:50:00,1758702000,255.10,255.10,255.00,255.00,255.13,425,0,45043,0
