stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,365.00,365.50,365.00,365.20,365.22,12837,0,635695,0
Ok,24-09-2025 15:20:00,1758707400,365.35,366.60,365.00,365.40,365.70,21065,0,622858,0
Ok,24-09-2025 15:15:00,1758707100,367.00,367.00,365.00,365.00,366.39,16951,0,601793,0
Ok,24-09-2025 15:10:00,1758706800,367.00,367.00,366.95,366.95,365.52,7563,0,584842,0
Ok,24-09-2025 15:05:00,1758706500,367.05,367.20,366.80,366.95,367.85,6077,0,577279,0
Ok,24-09-2025 15:00:00,1758706200,367.00,367.45,366.85,367.00,367.35,11404,0,571202,0
Ok,24-09-2025 14:55:00,1758705900,367.25,367.40,366.95,367.25,365.94,2915,0,559798,0
Ok,24-09-2025 14:50:00,1758705600,367.45,367.70,367.00,367.00,367.40,11858,0,556883,0
Ok,24-09-2025 14:45:00,1758705300,367.20,368.00,366.95,367.40,367.42,11664,0,545025,0
Ok,24-09-2025 14:40:00,1758705000,367.05,367.45,366.95,366.95,367.09,6644,0,533361,0
Ok,24-09-2025 14:35:00,1758704700,366.95,367.50,366.95,367.05,367.90,2027,0,526717,0
Ok,24-09-2025 14:30:00,1758704400,366.95,367.20,366.85,366.85,366.34,3369,0,524690,0
Ok,24-09-2025 14:25:00,1758704100,366.95,367.20,366.95,367.05,367.91,1318,0,521321,0
Ok,24-09-2025 14:20:00,1758703800,367.45,367.75,366.80,366.80,366.28,3186,0,520003,0
Ok,24-09-2025 14:15:00,1758703500,367.25,367.65,366.95,367.30,367.92,3245,0,516817,0
Ok,24-09-2025 14:10:00,1758703200,367.15,367.80,366.65,366.95,367.45,11040,0,513572,0
Ok,24-09-2025 14:05:00,1758702900,365.50,366.80,365.35,366.80,366.07,8039,0,502532,0
Ok,24-09-2025 14:00:00,1758702600,366.15,366.20,365.50,365.55,365.78,4520,0,494493,0
Ok,24-09-2025 13:55:00,1758702300,366.60,366.95,365.65,366.05,365.56,8007,0,489973,0
Ok,24-09-2025 13:50:00,1758702000,368.95,369.20,366.80,366.80,368.79,17933,0,481966,0
Ok,24-09-2025 13:45:00,1758701700,369.00,369.25,369.00,369.00,368.99,13428,0,464033,0
Ok,24-09-2025 13:40:00,1758701400,369.50,369.50,369.00,369.00,367.96,1733,0,450605,0
Ok,24-09-2025 13:35:00,1758701100,367.40,370.00,367.40,369.15,369.07,26395,0,448872,0
Ok,24-09-2025 13:30:00,1758700800,365.90,367.45,365.90,367.45,366.66,6801,0,422477,0
Ok,24-09-2025 13:25:00,1758700500,365.75,366.25,365.35,365.85,365.80,5844,0,415676,0
Ok,24-09-2025 13:20:00,1758700200,366.40,366.40,365.40,365.75,365.73,7329,0,409832,0
Ok,24-09-2025 13:15:00,1758699900,366.05,366.45,366.05,366.05,367.98,458,0,402503,0
Ok,24-09-2025 13:10:00,1758699600,366.00,366.45,366.00,366.35,367.98,1267,0,402045,0
Ok,24-09-2025 13:05:00,1758699300,365.95,366.45,365.95,366.40,361.49,618,0,400778,0
Ok,24-09-2025 13:00:00,1758699000,365.85,365.90,365.55,365.90,365.88,3771,0,400160,0
