stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,741.00,741.40,740.15,740.50,741.25,60830,0,2414630,0
Ok,24-09-2025 15:20:00,1758707400,741.55,742.25,741.00,741.05,741.33,84145,0,2353800,0
Ok,24-09-2025 15:15:00,1758707100,741.30,741.95,740.85,741.35,741.59,86007,0,2269655,0
Ok,24-09-2025 15:10:00,1758706800,741.75,741.75,740.85,741.50,741.03,78865,0,2183648,0
Ok,24-09-2025 15:05:00,1758706500,740.30,741.90,740.15,741.70,741.25,121550,0,2104783,0
Ok,24-09-2025 15:00:00,1758706200,738.90,740.50,738.75,740.40,739.32,69588,0,1983233,0
Ok,24-09-2025 14:55:00,1758705900,740.60,740.75,738.45,738.80,738.81,95187,0,1913645,0
Ok,24-09-2025 14:50:00,1758705600,740.05,740.70,740.05,740.50,740.02,28511,0,1818458,0
Ok,24-09-2025 14:45:00,1758705300,741.60,742.10,740.00,740.00,740.88,49261,0,1789947,0
Ok,24-09-2025 14:40:00,1758705000,743.15,743.35,741.60,741.75,741.94,75582,0,1740686,0
Ok,24-09-2025 14:35:00,1758704700,742.85,743.50,742.55,742.95,743.15,36272,0,1665104,0
Ok,24-09-2025 14:30:00,1758704400,745.20,745.20,742.95,742.95,743.61,34727,0,1628832,0
Ok,24-09-2025 14:25:00,1758704100,745.05,745.40,744.70,745.10,744.57,17147,0,1594105,0
Ok,24-09-2025 14:20:00,1758703800,745.40,745.45,744.70,744.70,745.50,12345,0,1576958,0
Ok,24-09-2025 14:15:00,1758703500,745.10,745.45,744.75,745.10,745.50,15205,0,1564613,0
Ok,24-09-2025 14:10:00,1758703200,745.15,745.50,744.90,745.00,744.90,25521,0,1549408,0
Ok,24-09-2025 14:05:00,1758702900,745.60,745.65,745.05,745.35,745.51,49956,0,1523887,0
Ok,24-09-2025 14:00:00,1758702600,745.70,745.70,745.40,745.55,745.51,37411,0,1473931,0
Ok,24-09-2025 13:55:00,1758702300,746.15,746.40,745.60,745.65,745.51,14362,0,1436520,0
Ok,24-09-2025 13:50:00,1758702000,745.80,746.45,745.65,746.10,746.83,10598,0,1422158,0
Ok,24-09-2025 13:45:00,1758701700,745.50,746.30,745.30,745.75,745.50,18977,0,1411560,0
