stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,268.90,269.38,265.00,266.01,266.49,8205,0,478050,0
Ok,24-09-2025 15:20:00,1758707400,266.00,272.00,266.00,268.89,268.96,10521,0,469845,0
Ok,24-09-2025 15:15:00,1758707100,264.57,266.84,264.57,266.54,265.37,8010,0,459324,0
Ok,24-09-2025 15:10:00,1758706800,265.01,265.49,263.68,265.00,264.77,4641,0,451314,0
Ok,24-09-2025 15:05:00,1758706500,263.98,265.52,263.75,264.64,263.45,10288,0,446673,0
Ok,24-09-2025 15:00:00,1758706200,265.19,266.25,264.64,264.64,266.03,2465,0,436385,0
Ok,24-09-2025 14:55:00,1758705900,263.35,265.55,263.00,265.05,263.50,9869,0,433920,0
Ok,24-09-2025 14:50:00,1758705600,264.50,264.85,263.40,263.83,261.87,1402,0,424051,0
Ok,24-09-2025 14:45:00,1758705300,266.08,266.08,263.38,265.08,264.98,4275,0,422649,0
Ok,24-09-2025 14:40:00,1758705000,265.85,267.78,265.04,266.12,266.86,7527,0,418374,0
Ok,24-09-2025 14:35:00,1758704700,267.57,267.57,264.00,265.50,265.40,9350,0,410847,0
Ok,24-09-2025 14:30:00,1758704400,268.61,269.31,267.44,267.44,268.04,4851,0,401497,0
Ok,24-09-2025 14:25:00,1758704100,269.85,269.98,269.27,269.96,270.10,1905,0,396646,0
Ok,24-09-2025 14:20:00,1758703800,269.89,270.50,269.06,269.85,269.79,2214,0,394741,0
Ok,24-09-2025 14:15:00,1758703500,269.23,269.60,268.05,269.33,269.19,3316,0,392527,0
Ok,24-09-2025 14:10:00,1758703200,270.47,272.00,268.41,269.00,269.48,7743,0,389211,0
Ok,24-09-2025 14:05:00,1758702900,272.56,273.00,268.41,269.12,270.47,8936,0,381468,0
Ok,24-09-2025 14:00:00,1758702600,270.43,273.00,269.56,271.56,271.37,8413,0,372532,0
Ok,24-09-2025 13:55:00,1758702300,270.00,271.50,269.53,269.53,270.14,13678,0,364119,0
Ok,24-09-2025 13:50:00,1758702000,268.01,274.27,268.00,269.95,272.70,18723,0,350441,0
Ok,24-09-2025 13:45:00,1758701700,270.43,271.00,267.80,269.00,269.16,5743,0,331718,0
Ok,24-09-2025 13:40:00,1758701400,268.36,272.39,265.30,269.71,268.13,25704,0,325975,0
Ok,24-09-2025 13:35:00,1758701100,276.30,277.00,265.21,268.37,270.53,59501,0,300271,0
Ok,24-09-2025 13:30:00,1758700800,271.30,279.50,271.30,275.98,275.81,61171,0,240770,0
Ok,24-09-2025 13:25:00,1758700500,271.39,279.83,270.83,271.62,275.58,46028,0,179599,0
Ok,24-09-2025 13:20:00,1758700200,263.10,274.65,262.90,271.69,269.29,23331,0,133571,0
Ok,24-09-2025 13:15:00,1758699900,263.24,263.88,262.11,263.01,262.10,3033,0,110240,0
Ok,24-09-2025 13:10:00,1758699600,262.98,264.00,262.73,263.92,263.81,6794,0,107207,0
Ok,24-09-2025 13:05:00,1758699300,264.00,264.00,261.64,263.74,263.08,2839,0,100413,0
Ok,24-09-2025 13:00:00,1758699000,262.00,264.00,261.50,262.65,262.97,5173,0,97574,0
Ok,24-09-2025 12:55:00,1758698700,259.25,262.00,258.78,261.65,261.56,2267,0,92401,0
Ok,24-09-2025 12:50:00,1758698400,257.75,260.07,257.75,260.07,259.03,843,0,90134,0
Ok,24-09-2025 12:45:00,1758698100,257.45,258.34,257.01,258.34,257.28,608,0,89291,0
Ok,24-09-2025 12:40:00,1758697800,258.24,258.24,257.04,257.14,259.32,252,0,88683,0
Ok,24-09-2025 12:35:00,1758697500,257.44,257.54,257.42,257.43,255.81,18,0,88431,0
Ok,24-09-2025 12:30:00,1758697200,257.00,257.75,257.00,257.44,255.81,209,0,88413,0
Ok,24-09-2025 12:25:00,1758696900,257.20,257.20,257.00,257.00,257.31,1153,0,88204,0
