stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,220.99,221.37,220.20,220.20,220.70,3846,0,50737,0
Ok,24-09-2025 15:20:00,1758707400,221.07,221.07,220.57,220.87,220.83,2111,0,46891,0
Ok,24-09-2025 15:15:00,1758707100,220.92,221.26,220.59,221.16,220.76,3177,0,44780,0
Ok,24-09-2025 15:10:00,1758706800,221.69,221.74,221.15,221.16,222.04,805,0,41603,0
Ok,24-09-2025 15:05:00,1758706500,221.20,221.46,221.00,221.46,221.42,658,0,40798,0
Ok,24-09-2025 15:00:00,1758706200,221.10,221.20,221.00,221.20,220.63,283,0,40140,0
Ok,24-09-2025 14:55:00,1758705900,221.00,221.00,221.00,221.00,222.06,69,0,39857,0
Ok,24-09-2025 14:50:00,1758705600,221.00,221.00,221.00,221.00,220.36,234,0,39788,0
Ok,24-09-2025 14:45:00,1758705300,221.17,221.20,221.00,221.00,222.07,183,0,39554,0
Ok,24-09-2025 14:40:00,1758705000,220.92,221.16,220.92,220.92,217.44,85,0,39371,0
Ok,24-09-2025 14:35:00,1758704700,220.92,220.92,220.92,220.92,0.00,0,0,39286,0
Ok,24-09-2025 14:30:00,1758704400,220.92,220.92,220.92,220.92,0.00,0,0,39286,0
Ok,24-09-2025 14:25:00,1758704100,221.19,221.39,220.92,220.92,221.58,785,0,39286,0
Ok,24-09-2025 14:20:00,1758703800,221.39,221.39,220.92,220.92,212.46,40,0,38501,0
Ok,24-09-2025 14:15:00,1758703500,221.33,221.39,221.03,221.39,222.10,343,0,38461,0
Ok,24-09-2025 14:10:00,1758703200,221.20,221.20,220.86,220.86,219.17,130,0,38118,0
Ok,24-09-2025 14:05:00,1758702900,221.28,221.28,220.88,220.88,222.11,234,0,37988,0
Ok,24-09-2025 14:00:00,1758702600,221.28,221.28,221.28,221.28,222.11,20,0,37754,0
Ok,24-09-2025 13:55:00,1758702300,220.80,220.80,220.79,220.79,220.82,577,0,37734,0
Ok,24-09-2025 13:50:00,1758702000,220.89,221.07,220.80,220.80,220.84,572,0,37157,0
Ok,24-09-2025 13:45:00,1758701700,221.25,221.54,221.25,221.49,222.15,191,0,36585,0
Ok,24-09-2025 13:40:00,1758701400,221.50,221.50,221.50,221.50,215.42,54,0,36394,0
Ok,24-09-2025 13:35:00,1758701100,220.89,221.50,220.89,221.50,221.47,527,0,36340,0
Ok,24-09-2025 13:30:00,1758700800,221.25,221.30,220.89,220.89,222.17,126,0,35813,0
Ok,24-09-2025 13:25:00,1758700500,221.25,221.25,221.25,221.25,222.17,20,0,35687,0
Ok,24-09-2025 13:20:00,1758700200,220.79,221.18,220.79,220.89,219.30,124,0,35667,0
Ok,24-09-2025 13:15:00,1758699900,221.05,221.26,220.60,221.26,220.49,417,0,35543,0
Ok,24-09-2025 13:10:00,1758699600,221.05,221.05,221.05,221.05,222.20,21,0,35126,0
Ok,24-09-2025 13:05:00,1758699300,220.85,221.50,220.66,221.05,221.23,1395,0,35105,0
Ok,24-09-2025 13:00:00,1758699000,220.90,220.90,220.85,220.85,222.24,17,0,33710,0
Ok,24-09-2025 12:55:00,1758698700,220.92,220.92,220.90,220.90,222.24,58,0,33693,0
Ok,24-09-2025 12:50:00,1758698400,220.50,220.80,220.50,220.76,222.24,6,0,33635,0
Ok,24-09-2025 12:45:00,1758698100,220.99,220.99,220.50,220.51,220.53,774,0,33629,0
Ok,24-09-2025 12:40:00,1758697800,220.99,220.99,220.99,220.99,222.28,18,0,32855,0
Ok,24-09-2025 12:35:00,1758697500,220.89,221.00,220.89,220.99,221.08,808,0,32837,0
Ok,24-09-2025 12:30:00,1758697200,221.00,221.00,221.00,221.00,0.00,0,0,32029,0
Ok,24-09-2025 12:25:00,1758696900,221.44,221.44,221.00,221.00,221.13,798,0,32029,0
Ok,24-09-2025 12:20:00,1758696600,221.01,221.55,221.01,221.55,220.25,149,0,31231,0
Ok,24-09-2025 12:15:00,1758696300,221.01,221.24,221.01,221.01,222.35,53,0,31082,0
Ok,24-09-2025 12:10:00,1758696000,220.83,221.25,220.77,221.25,222.35,81,0,31029,0
Ok,24-09-2025 12:05:00,1758695700,220.40,220.99,220.40,220.83,220.70,554,0,30948,0
Ok,24-09-2025 12:00:00,1758695400,220.53,220.84,220.50,220.50,220.33,725,0,30394,0
Ok,24-09-2025 11:55:00,1758695100,221.55,221.55,220.60,220.75,221.15,904,0,29669,0
Ok,24-09-2025 11:50:00,1758694800,220.98,221.76,220.98,221.76,221.94,540,0,28765,0
Ok,24-09-2025 11:45:00,1758694500,220.99,220.99,220.61,220.99,219.61,196,0,28225,0
Ok,24-09-2025 11:40:00,1758694200,220.60,220.96,220.60,220.92,221.26,449,0,28029,0
Ok,24-09-2025 11:35:00,1758693900,221.61,221.61,221.19,221.19,220.99,1215,0,27580,0
Ok,24-09-2025 11:30:00,1758693600,221.36,221.40,221.36,221.37,222.59,29,0,26365,0
Ok,24-09-2025 11:25:00,1758693300,221.57,221.57,221.36,221.36,222.59,1,0,26336,0
Ok,24-09-2025 11:20:00,1758693000,221.50,221.62,221.36,221.57,220.34,117,0,26335,0
Ok,24-09-2025 11:15:00,1758692700,221.76,221.76,221.66,221.66,222.60,37,0,26218,0
Ok,24-09-2025 11:10:00,1758692400,221.47,221.76,221.47,221.76,222.60,122,0,26181,0
Ok,24-09-2025 11:05:00,1758692100,221.60,221.60,221.16,221.20,221.59,756,0,26059,0
Ok,24-09-2025 11:00:00,1758691800,221.60,222.00,221.60,221.60,221.29,375,0,25303,0
Ok,24-09-2025 10:55:00,1758691500,221.94,222.10,221.42,221.60,221.63,8387,0,24928,0
Ok,24-09-2025 10:50:00,1758691200,223.15,223.15,222.48,222.48,223.16,64,0,16541,0
Ok,24-09-2025 10:45:00,1758690900,223.39,223.39,222.81,223.15,222.67,336,0,16477,0
Ok,24-09-2025 10:40:00,1758690600,222.81,223.43,222.81,223.43,223.17,55,0,16141,0
Ok,24-09-2025 10:35:00,1758690300,222.45,223.19,222.45,223.03,222.91,604,0,16086,0
Ok,24-09-2025 10:30:00,1758690000,222.55,222.97,222.50,222.97,222.84,1290,0,15482,0
Ok,24-09-2025 10:25:00,1758689700,223.00,223.00,222.50,222.50,222.82,360,0,14192,0
Ok,24-09-2025 10:20:00,1758689400,223.19,223.19,222.79,223.00,222.78,611,0,13832,0
Ok,24-09-2025 10:15:00,1758689100,222.79,222.86,222.79,222.86,222.58,202,0,13221,0
Ok,24-09-2025 10:10:00,1758688800,222.93,222.99,222.76,222.79,222.83,2138,0,13019,0
Ok,24-09-2025 10:05:00,1758688500,223.24,223.38,222.93,222.93,222.77,192,0,10881,0
Ok,24-09-2025 10:00:00,1758688200,222.85,223.20,222.81,222.81,222.97,563,0,10689,0
Ok,24-09-2025 09:55:00,1758687900,223.29,223.29,223.00,223.29,223.36,132,0,10126,0
Ok,24-09-2025 09:50:00,1758687600,223.56,223.56,223.22,223.22,223.35,819,0,9994,0
Ok,24-09-2025 09:45:00,1758687300,223.30,223.32,223.02,223.25,223.21,608,0,9175,0
Ok,24-09-2025 09:40:00,1758687000,223.45,223.45,223.40,223.40,223.37,415,0,8567,0
Ok,24-09-2025 09:35:00,1758686700,224.09,224.09,223.94,223.95,223.37,38,0,8152,0
Ok,24-09-2025 09:30:00,1758686400,222.77,224.24,222.70,224.09,223.44,2683,0,8114,0
Ok,24-09-2025 09:25:00,1758686100,223.34,223.36,222.34,222.70,222.85,1239,0,5431,0
Ok,24-09-2025 09:20:00,1758685800,223.33,224.13,222.55,223.60,223.16,2154,0,4192,0
Ok,24-09-2025 09:15:00,1758685500,222.31,224.32,222.31,223.19,248.40,1836,0,2038,0
