stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,715.55,716.45,714.00,715.95,715.59,18427,0,772748,0
Ok,24-09-2025 15:20:00,1758707400,715.60,716.10,715.10,715.75,715.29,20833,0,754321,0
Ok,24-09-2025 15:15:00,1758707100,715.60,716.00,715.20,715.45,715.73,14634,0,733488,0
Ok,24-09-2025 15:10:00,1758706800,715.20,715.85,715.05,715.55,715.64,10871,0,718854,0
Ok,24-09-2025 15:05:00,1758706500,715.35,715.95,714.65,715.45,715.43,19320,0,707983,0
Ok,24-09-2025 15:00:00,1758706200,714.60,715.60,714.20,715.25,714.93,11841,0,688663,0
Ok,24-09-2025 14:55:00,1758705900,715.50,716.00,714.55,714.65,714.96,11529,0,676822,0
Ok,24-09-2025 14:50:00,1758705600,717.00,717.00,715.45,715.95,716.34,9179,0,665293,0
Ok,24-09-2025 14:45:00,1758705300,716.00,717.20,715.70,716.95,716.46,6337,0,656114,0
Ok,24-09-2025 14:40:00,1758705000,717.05,717.45,715.85,715.85,716.28,22341,0,649777,0
Ok,24-09-2025 14:35:00,1758704700,717.35,717.80,717.05,717.45,718.62,3978,0,627436,0
Ok,24-09-2025 14:30:00,1758704400,717.75,717.75,717.05,717.30,717.30,4713,0,623458,0
Ok,24-09-2025 14:25:00,1758704100,718.15,718.15,717.50,717.50,717.49,5382,0,618745,0
Ok,24-09-2025 14:20:00,1758703800,718.60,718.60,717.70,717.75,717.55,5600,0,613363,0
Ok,24-09-2025 14:15:00,1758703500,718.60,718.90,718.10,718.10,718.65,6224,0,607763,0
Ok,24-09-2025 14:10:00,1758703200,718.80,718.95,718.20,718.20,718.65,4550,0,601539,0
Ok,24-09-2025 14:05:00,1758702900,719.40,719.40,718.05,718.35,718.65,6658,0,596989,0
Ok,24-09-2025 14:00:00,1758702600,719.45,719.55,718.90,719.45,719.54,6509,0,590331,0
Ok,24-09-2025 13:55:00,1758702300,719.85,720.30,718.80,719.25,719.27,9074,0,583822,0
Ok,24-09-2025 13:50:00,1758702000,720.20,720.45,719.75,720.30,719.69,5314,0,574748,0
Ok,24-09-2025 13:45:00,1758701700,720.15,720.65,719.60,720.25,720.43,6214,0,569434,0
Ok,24-09-2025 13:40:00,1758701400,720.75,721.05,720.20,720.60,719.75,4814,0,563220,0
Ok,24-09-2025 13:35:00,1758701100,720.75,721.70,720.35,720.35,721.42,7746,0,558406,0
Ok,24-09-2025 13:30:00,1758700800,720.50,721.20,720.50,721.00,721.02,8757,0,550660,0
Ok,24-09-2025 13:25:00,1758700500,720.70,720.95,720.10,720.30,719.67,4628,0,541903,0
Ok,24-09-2025 13:20:00,1758700200,720.20,721.20,720.15,720.80,720.92,21210,0,537275,0
