stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,740.34,742.00,739.50,742.00,740.34,5167,0,216193,0
Ok,24-09-2025 15:20:00,1758707400,739.98,740.79,739.00,740.00,740.36,16687,0,211026,0
Ok,24-09-2025 15:15:00,1758707100,740.30,740.31,738.50,739.96,739.56,8452,0,194339,0
Ok,24-09-2025 15:10:00,1758706800,740.55,740.77,740.10,740.32,740.25,6742,0,185887,0
Ok,24-09-2025 15:05:00,1758706500,740.81,741.12,740.22,740.92,740.58,6893,0,179145,0
Ok,24-09-2025 15:00:00,1758706200,740.29,740.82,739.85,740.82,740.06,10756,0,172252,0
Ok,24-09-2025 14:55:00,1758705900,741.20,741.20,740.05,740.28,740.68,6554,0,161496,0
Ok,24-09-2025 14:50:00,1758705600,741.38,741.52,741.00,741.23,741.36,2031,0,154942,0
Ok,24-09-2025 14:45:00,1758705300,741.81,741.84,741.39,741.39,741.30,2416,0,152911,0
Ok,24-09-2025 14:40:00,1758705000,742.86,742.89,741.61,741.84,742.14,6805,0,150495,0
Ok,24-09-2025 14:35:00,1758704700,742.48,743.07,742.43,742.60,742.83,2442,0,143690,0
Ok,24-09-2025 14:30:00,1758704400,743.12,743.23,742.40,742.50,742.79,4537,0,141248,0
Ok,24-09-2025 14:25:00,1758704100,743.45,743.45,743.01,743.11,743.24,4632,0,136711,0
Ok,24-09-2025 14:20:00,1758703800,744.00,744.10,743.39,743.39,743.25,895,0,132079,0
Ok,24-09-2025 14:15:00,1758703500,743.85,744.10,743.71,744.10,743.78,1370,0,131184,0
Ok,24-09-2025 14:10:00,1758703200,744.00,744.10,743.86,743.90,744.74,944,0,129814,0
Ok,24-09-2025 14:05:00,1758702900,744.09,744.50,744.04,744.10,743.43,982,0,128870,0
Ok,24-09-2025 14:00:00,1758702600,744.38,744.59,744.00,744.50,743.95,4724,0,127888,0
Ok,24-09-2025 13:55:00,1758702300,744.50,744.80,744.10,744.10,744.78,789,0,123164,0
Ok,24-09-2025 13:50:00,1758702000,744.48,744.67,744.18,744.56,744.78,650,0,122375,0
Ok,24-09-2025 13:45:00,1758701700,744.91,744.97,744.40,744.43,744.78,935,0,121725,0
Ok,24-09-2025 13:40:00,1758701400,745.00,745.31,744.97,744.97,744.78,932,0,120790,0
Ok,24-09-2025 13:35:00,1758701100,745.20,745.20,745.00,745.13,744.78,416,0,119858,0
Ok,24-09-2025 13:30:00,1758700800,745.23,745.30,745.00,745.00,744.78,743,0,119442,0
Ok,24-09-2025 13:25:00,1758700500,745.42,745.42,745.00,745.10,747.12,503,0,118699,0
Ok,24-09-2025 13:20:00,1758700200,745.46,745.46,745.00,745.01,744.77,882,0,118196,0
Ok,24-09-2025 13:15:00,1758699900,745.24,745.69,745.01,745.20,745.81,1110,0,117314,0
Ok,24-09-2025 13:10:00,1758699600,745.02,745.30,744.80,745.24,744.76,558,0,116204,0
Ok,24-09-2025 13:05:00,1758699300,745.40,745.41,745.00,745.25,744.76,407,0,115646,0
Ok,24-09-2025 13:00:00,1758699000,744.85,745.50,744.76,745.41,744.76,1680,0,115239,0
Ok,24-09-2025 12:55:00,1758698700,744.75,744.85,744.75,744.80,744.76,604,0,113559,0
Ok,24-09-2025 12:50:00,1758698400,744.59,744.88,744.20,744.85,744.76,1969,0,112955,0
Ok,24-09-2025 12:45:00,1758698100,744.69,744.76,744.20,744.57,744.76,295,0,110986,0
Ok,24-09-2025 12:40:00,1758697800,744.88,744.88,744.50,744.50,744.76,681,0,110691,0
Ok,24-09-2025 12:35:00,1758697500,744.31,744.95,744.20,744.95,744.76,549,0,110010,0
Ok,24-09-2025 12:30:00,1758697200,744.55,744.70,744.10,744.61,744.76,690,0,109461,0
Ok,24-09-2025 12:25:00,1758696900,744.23,744.83,744.20,744.50,744.76,834,0,108771,0
Ok,24-09-2025 12:20:00,1758696600,744.75,744.88,744.20,744.79,743.76,1073,0,107937,0
Ok,24-09-2025 12:15:00,1758696300,744.53,744.77,744.20,744.77,744.77,1048,0,106864,0
Ok,24-09-2025 12:10:00,1758696000,743.86,744.60,743.46,744.52,744.77,412,0,105816,0
Ok,24-09-2025 12:05:00,1758695700,743.25,743.86,743.20,743.41,743.50,824,0,105404,0
Ok,24-09-2025 12:00:00,1758695400,744.14,744.15,743.24,743.24,743.87,2265,0,104580,0
Ok,24-09-2025 11:55:00,1758695100,743.50,744.08,743.50,743.99,742.91,541,0,102315,0
Ok,24-09-2025 11:50:00,1758694800,743.36,744.15,743.26,743.90,744.81,603,0,101774,0
Ok,24-09-2025 11:45:00,1758694500,743.72,743.90,743.21,743.90,742.66,469,0,101171,0
Ok,24-09-2025 11:40:00,1758694200,743.34,743.76,743.16,743.52,743.83,1011,0,100702,0
Ok,24-09-2025 11:35:00,1758693900,743.39,743.42,743.00,743.41,743.27,1267,0,99691,0
Ok,24-09-2025 11:30:00,1758693600,743.50,743.50,743.07,743.50,742.82,966,0,98424,0
Ok,24-09-2025 11:25:00,1758693300,743.70,743.72,743.09,743.49,743.58,1498,0,97458,0
Ok,24-09-2025 11:20:00,1758693000,744.00,744.00,742.91,743.60,743.35,3605,0,95960,0
Ok,24-09-2025 11:15:00,1758692700,743.86,744.30,743.34,744.16,744.23,1273,0,92355,0
Ok,24-09-2025 11:10:00,1758692400,742.70,743.96,742.36,743.94,742.83,1269,0,91082,0
Ok,24-09-2025 11:05:00,1758692100,743.90,744.11,742.40,742.40,743.13,5042,0,89813,0
Ok,24-09-2025 11:00:00,1758691800,744.49,744.49,743.53,743.53,744.22,3734,0,84771,0
Ok,24-09-2025 10:55:00,1758691500,743.86,744.49,743.78,744.48,743.73,1698,0,81037,0
Ok,24-09-2025 10:50:00,1758691200,744.48,744.86,743.78,743.93,744.06,2781,0,79339,0
Ok,24-09-2025 10:45:00,1758690900,744.93,745.36,743.50,743.79,744.48,4949,0,76558,0
Ok,24-09-2025 10:40:00,1758690600,744.53,745.67,743.50,743.50,744.48,5156,0,71609,0
Ok,24-09-2025 10:35:00,1758690300,745.19,745.19,744.59,744.88,744.91,1594,0,66453,0
Ok,24-09-2025 10:30:00,1758690000,745.48,745.48,745.07,745.07,745.33,447,0,64859,0
Ok,24-09-2025 10:25:00,1758689700,745.76,746.02,745.04,745.04,745.33,583,0,64412,0
Ok,24-09-2025 10:20:00,1758689400,746.07,746.48,744.83,745.93,745.67,1779,0,63829,0
Ok,24-09-2025 10:15:00,1758689100,745.84,746.00,745.33,746.00,745.71,1524,0,62050,0
Ok,24-09-2025 10:10:00,1758688800,746.14,746.17,745.21,745.85,745.80,2328,0,60526,0
Ok,24-09-2025 10:05:00,1758688500,745.21,746.50,745.21,746.10,746.00,1585,0,58198,0
Ok,24-09-2025 10:00:00,1758688200,745.00,745.90,744.58,745.67,745.26,2748,0,56613,0
Ok,24-09-2025 09:55:00,1758687900,744.00,744.86,744.00,744.86,744.89,1398,0,53865,0
Ok,24-09-2025 09:50:00,1758687600,744.84,744.85,743.50,744.52,744.17,5535,0,52467,0
