stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,463.75,464.05,460.70,464.00,464.07,2568,0,58903,0
Ok,24-09-2025 15:20:00,1758707400,463.00,464.00,463.00,464.00,462.59,716,0,56335,0
Ok,24-09-2025 15:15:00,1758707100,462.10,464.00,462.10,462.90,462.99,925,0,55619,0
Ok,24-09-2025 15:10:00,1758706800,462.20,463.60,462.05,462.05,462.39,1067,0,54694,0
Ok,24-09-2025 15:05:00,1758706500,460.00,463.40,460.00,462.20,461.78,4029,0,53627,0
Ok,24-09-2025 15:00:00,1758706200,460.00,460.10,460.00,460.00,459.13,311,0,49598,0
Ok,24-09-2025 14:55:00,1758705900,459.00,460.90,458.55,460.35,459.88,1868,0,49287,0
Ok,24-09-2025 14:50:00,1758705600,460.10,460.50,459.45,459.45,460.02,1955,0,47419,0
Ok,24-09-2025 14:45:00,1758705300,460.45,460.45,460.45,460.45,459.06,1,0,45464,0
Ok,24-09-2025 14:40:00,1758705000,459.15,460.55,459.15,460.55,459.97,972,0,45463,0
Ok,24-09-2025 14:35:00,1758704700,460.10,460.10,459.15,459.95,459.80,1125,0,44491,0
Ok,24-09-2025 14:30:00,1758704400,458.95,460.35,458.25,460.05,459.27,4491,0,43366,0
Ok,24-09-2025 14:25:00,1758704100,459.40,459.40,458.00,458.95,458.24,516,0,38875,0
Ok,24-09-2025 14:20:00,1758703800,459.45,459.45,459.00,459.40,459.00,1,0,38359,0
Ok,24-09-2025 14:15:00,1758703500,459.95,459.95,459.45,459.45,459.00,1,0,38358,0
Ok,24-09-2025 14:10:00,1758703200,459.95,459.95,459.95,459.95,459.00,18,0,38357,0
Ok,24-09-2025 14:05:00,1758702900,459.70,459.70,459.10,459.10,459.00,5,0,38339,0
Ok,24-09-2025 14:00:00,1758702600,459.80,459.95,459.70,459.70,459.53,1374,0,38334,0
Ok,24-09-2025 13:55:00,1758702300,458.80,458.80,458.00,458.65,455.71,113,0,36960,0
Ok,24-09-2025 13:50:00,1758702000,459.00,459.00,458.15,458.80,458.99,134,0,36847,0
Ok,24-09-2025 13:45:00,1758701700,458.25,459.15,458.25,459.00,458.99,231,0,36713,0
Ok,24-09-2025 13:40:00,1758701400,459.25,459.25,458.40,458.40,458.99,224,0,36482,0
Ok,24-09-2025 13:35:00,1758701100,459.25,459.25,459.25,459.25,0.00,0,0,36258,0
Ok,24-09-2025 13:30:00,1758700800,459.70,459.85,459.10,459.25,458.99,89,0,36258,0
Ok,24-09-2025 13:25:00,1758700500,458.05,460.20,458.05,459.60,459.41,828,0,36169,0
Ok,24-09-2025 13:20:00,1758700200,458.20,458.60,458.00,458.60,458.98,188,0,35341,0
Ok,24-09-2025 13:15:00,1758699900,458.25,458.80,458.20,458.20,458.98,33,0,35153,0
Ok,24-09-2025 13:10:00,1758699600,458.55,458.75,458.10,458.25,458.98,47,0,35120,0
Ok,24-09-2025 13:05:00,1758699300,458.00,459.95,457.85,459.25,458.98,2048,0,35073,0
Ok,24-09-2025 13:00:00,1758699000,458.00,458.00,458.00,458.00,458.98,32,0,33025,0
Ok,24-09-2025 12:55:00,1758698700,457.85,457.85,457.85,457.85,0.00,0,0,32993,0
Ok,24-09-2025 12:50:00,1758698400,457.85,457.85,457.85,457.85,458.98,2,0,32993,0
Ok,24-09-2025 12:45:00,1758698100,457.60,458.35,457.05,457.85,457.42,420,0,32991,0
Ok,24-09-2025 12:40:00,1758697800,458.60,458.60,458.00,458.00,459.00,72,0,32571,0
Ok,24-09-2025 12:35:00,1758697500,458.05,458.60,458.05,458.60,459.00,10,0,32499,0
Ok,24-09-2025 12:30:00,1758697200,458.60,458.60,458.05,458.05,459.00,1,0,32489,0
Ok,24-09-2025 12:25:00,1758696900,458.75,458.75,458.00,458.60,459.00,128,0,32488,0
Ok,24-09-2025 12:20:00,1758696600,456.50,458.75,456.50,458.75,457.27,734,0,32360,0
Ok,24-09-2025 12:15:00,1758696300,456.00,456.85,456.00,456.85,456.14,749,0,31626,0
Ok,24-09-2025 12:10:00,1758696000,455.85,456.00,455.85,456.00,455.48,254,0,30877,0
Ok,24-09-2025 12:05:00,1758695700,455.45,455.85,455.45,455.85,456.25,211,0,30623,0
Ok,24-09-2025 12:00:00,1758695400,455.05,455.05,455.05,455.05,459.16,4,0,30412,0
Ok,24-09-2025 11:55:00,1758695100,455.00,455.00,454.40,454.80,454.03,294,0,30408,0
Ok,24-09-2025 11:50:00,1758694800,454.10,455.10,454.05,455.00,454.35,2297,0,30114,0
Ok,24-09-2025 11:45:00,1758694500,455.85,456.00,454.10,454.10,454.78,4209,0,27817,0
Ok,24-09-2025 11:40:00,1758694200,456.70,456.70,455.55,455.55,456.00,416,0,23608,0
