stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,893.95,895.00,892.50,894.95,893.82,15728,0,552852,0
Ok,24-09-2025 15:20:00,1758707400,894.50,894.50,892.90,893.50,893.36,22696,0,537124,0
Ok,24-09-2025 15:15:00,1758707100,895.00,895.20,893.80,893.80,894.43,14713,0,514428,0
Ok,24-09-2025 15:10:00,1758706800,895.95,895.95,894.60,895.20,895.70,6436,0,499715,0
Ok,24-09-2025 15:05:00,1758706500,895.50,895.90,895.25,895.30,895.66,6150,0,493279,0
Ok,24-09-2025 15:00:00,1758706200,895.00,895.75,894.65,895.55,894.44,8449,0,487129,0
Ok,24-09-2025 14:55:00,1758705900,896.20,896.20,895.00,895.30,895.70,5816,0,478680,0
Ok,24-09-2025 14:50:00,1758705600,896.50,896.75,895.30,896.05,895.81,6117,0,472864,0
Ok,24-09-2025 14:45:00,1758705300,896.90,897.05,896.50,896.80,895.98,3350,0,466747,0
Ok,24-09-2025 14:40:00,1758705000,896.95,897.50,896.45,896.55,897.38,3667,0,463397,0
Ok,24-09-2025 14:35:00,1758704700,896.40,897.00,896.40,897.00,897.38,4342,0,459730,0
Ok,24-09-2025 14:30:00,1758704400,896.80,896.85,895.70,896.75,895.78,8426,0,455388,0
Ok,24-09-2025 14:25:00,1758704100,897.15,897.30,896.45,896.55,897.41,3328,0,446962,0
Ok,24-09-2025 14:20:00,1758703800,897.65,897.80,897.00,897.05,897.41,1330,0,443634,0
Ok,24-09-2025 14:15:00,1758703500,897.80,898.00,897.60,897.80,897.41,988,0,442304,0
Ok,24-09-2025 14:10:00,1758703200,897.90,898.00,897.25,897.60,897.41,3525,0,441316,0
Ok,24-09-2025 14:05:00,1758702900,898.10,898.55,897.00,897.85,897.88,9012,0,437791,0
Ok,24-09-2025 14:00:00,1758702600,898.60,898.75,898.20,898.50,899.57,1962,0,428779,0
Ok,24-09-2025 13:55:00,1758702300,897.95,898.70,897.95,898.25,897.39,1291,0,426817,0
Ok,24-09-2025 13:50:00,1758702000,898.30,898.30,897.70,898.25,898.50,3789,0,425526,0
Ok,24-09-2025 13:45:00,1758701700,898.35,898.50,897.65,898.00,897.38,1747,0,421737,0
Ok,24-09-2025 13:40:00,1758701400,898.95,899.45,898.00,898.00,897.38,980,0,419990,0
Ok,24-09-2025 13:35:00,1758701100,898.80,899.90,898.70,899.30,899.27,10733,0,419010,0
Ok,24-09-2025 13:30:00,1758700800,899.00,899.00,898.65,898.70,898.88,5165,0,408277,0
Ok,24-09-2025 13:25:00,1758700500,897.55,899.00,897.45,898.65,898.36,7485,0,403112,0
Ok,24-09-2025 13:20:00,1758700200,897.60,897.70,896.85,897.15,897.29,1359,0,395627,0
Ok,24-09-2025 13:15:00,1758699900,897.00,897.75,896.75,897.65,897.29,2428,0,394268,0
Ok,24-09-2025 13:10:00,1758699600,897.30,897.30,896.40,896.85,896.26,3787,0,391840,0
Ok,24-09-2025 13:05:00,1758699300,897.40,897.75,897.00,897.05,898.14,4541,0,388053,0
Ok,24-09-2025 13:00:00,1758699000,897.00,897.50,897.00,897.25,897.29,4115,0,383512,0
Ok,24-09-2025 12:55:00,1758698700,897.00,897.15,896.90,897.15,897.29,2018,0,379397,0
Ok,24-09-2025 12:50:00,1758698400,896.70,897.00,896.30,896.95,895.22,1817,0,377379,0
Ok,24-09-2025 12:45:00,1758698100,896.25,896.80,896.05,896.65,896.44,4371,0,375562,0
Ok,24-09-2025 12:40:00,1758697800,896.10,896.30,895.85,896.00,896.38,3995,0,371191,0
Ok,24-09-2025 12:35:00,1758697500,895.75,896.20,895.75,896.20,896.21,3290,0,367196,0
Ok,24-09-2025 12:30:00,1758697200,896.15,896.20,895.45,896.00,895.05,1591,0,363906,0
Ok,24-09-2025 12:25:00,1758696900,896.00,896.20,895.45,896.20,895.21,1696,0,362315,0
Ok,24-09-2025 12:20:00,1758696600,896.00,896.30,895.50,895.90,897.35,1462,0,360619,0
Ok,24-09-2025 12:15:00,1758696300,896.00,896.50,895.90,896.25,895.32,1763,0,359157,0
Ok,24-09-2025 12:10:00,1758696000,895.40,896.45,895.30,896.45,895.66,4160,0,357394,0
Ok,24-09-2025 12:05:00,1758695700,895.90,896.20,895.65,895.70,894.96,4344,0,353234,0
Ok,24-09-2025 12:00:00,1758695400,896.35,896.75,895.00,896.00,895.90,4576,0,348890,0
Ok,24-09-2025 11:55:00,1758695100,896.45,897.10,896.30,896.75,897.43,1379,0,344314,0
Ok,24-09-2025 11:50:00,1758694800,897.15,897.15,896.35,896.35,896.66,4439,0,342935,0
Ok,24-09-2025 11:45:00,1758694500,896.70,897.20,896.50,897.10,896.68,4418,0,338496,0
Ok,24-09-2025 11:40:00,1758694200,896.50,897.35,896.45,896.50,896.62,4001,0,334078,0
Ok,24-09-2025 11:35:00,1758693900,896.70,897.15,896.40,896.80,897.46,1468,0,330077,0
Ok,24-09-2025 11:30:00,1758693600,897.30,897.50,896.95,896.95,897.46,2344,0,328609,0
Ok,24-09-2025 11:25:00,1758693300,897.20,897.60,897.05,897.10,897.46,2024,0,326265,0
Ok,24-09-2025 11:20:00,1758693000,898.05,898.10,897.10,897.70,895.80,1949,0,324241,0
Ok,24-09-2025 11:15:00,1758692700,898.15,898.50,897.50,898.00,898.62,5485,0,322292,0
Ok,24-09-2025 11:10:00,1758692400,896.35,898.25,896.35,898.25,897.12,9630,0,316807,0
Ok,24-09-2025 11:05:00,1758692100,898.15,898.15,896.00,896.30,897.22,24557,0,307177,0
Ok,24-09-2025 11:00:00,1758691800,899.60,899.70,897.95,898.00,898.44,8506,0,282620,0
Ok,24-09-2025 10:55:00,1758691500,899.60,899.95,899.15,899.85,899.18,3115,0,274114,0
Ok,24-09-2025 10:50:00,1758691200,898.60,899.80,898.40,899.50,899.14,7666,0,270999,0
Ok,24-09-2025 10:45:00,1758690900,899.70,899.80,898.25,898.45,898.56,6456,0,263333,0
Ok,24-09-2025 10:40:00,1758690600,898.80,899.85,898.70,899.80,899.18,16946,0,256877,0
Ok,24-09-2025 10:35:00,1758690300,898.75,898.95,898.15,898.60,898.14,2551,0,239931,0
Ok,24-09-2025 10:30:00,1758690000,898.90,899.00,898.25,898.45,899.02,5099,0,237380,0
Ok,24-09-2025 10:25:00,1758689700,898.45,898.95,898.05,898.95,898.44,7080,0,232281,0
Ok,24-09-2025 10:20:00,1758689400,898.30,899.35,898.05,898.60,899.18,7411,0,225201,0
Ok,24-09-2025 10:15:00,1758689100,898.20,898.50,898.05,898.10,897.69,6602,0,217790,0
Ok,24-09-2025 10:10:00,1758688800,898.10,898.50,897.65,898.25,897.68,6349,0,211188,0
Ok,24-09-2025 10:05:00,1758688500,897.55,898.25,897.35,898.05,897.92,12775,0,204839,0
Ok,24-09-2025 10:00:00,1758688200,896.75,898.00,895.50,897.25,896.02,9737,0,192064,0
Ok,24-09-2025 09:55:00,1758687900,895.50,896.80,895.30,896.40,897.01,6769,0,182327,0
Ok,24-09-2025 09:50:00,1758687600,895.60,895.75,894.50,895.45,895.08,19572,0,175558,0
Ok,24-09-2025 09:45:00,1758687300,895.95,896.00,894.20,895.50,894.62,30231,0,155986,0
Ok,24-09-2025 09:40:00,1758687000,899.80,899.80,895.65,896.00,896.72,15373,0,125755,0
Ok,24-09-2025 09:35:00,1758686700,900.00,900.65,899.05,899.95,899.99,16325,0,110382,0
Ok,24-09-2025 09:30:00,1758686400,895.90,900.50,895.80,900.15,897.89,31502,0,94057,0
Ok,24-09-2025 09:25:00,1758686100,898.45,898.45,895.80,896.70,897.03,8621,0,62555,0
Ok,24-09-2025 09:20:00,1758685800,898.15,898.80,893.90,898.35,896.07,31506,0,53934,0
Ok,24-09-2025 09:15:00,1758685500,898.15,902.05,898.00,898.00,900.07,21259,0,22428,0
