stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:05:00,1758706500,765.00,765.00,763.90,764.70,765.27,2336,0,266945,0
Ok,24-09-2025 15:00:00,1758706200,764.30,765.85,763.00,765.40,763.03,4821,0,264609,0
Ok,24-09-2025 14:55:00,1758705900,767.30,767.30,764.25,764.35,765.50,8524,0,259788,0
Ok,24-09-2025 14:50:00,1758705600,768.55,768.55,767.05,767.50,768.56,1929,0,251264,0
Ok,24-09-2025 14:45:00,1758705300,769.90,769.90,768.00,768.95,769.31,2767,0,249335,0
Ok,24-09-2025 14:40:00,1758705000,770.15,770.25,768.70,769.35,768.76,1933,0,246568,0
Ok,24-09-2025 14:35:00,1758704700,771.30,771.40,770.20,770.20,770.12,651,0,244635,0
Ok,24-09-2025 14:30:00,1758704400,771.50,771.90,771.10,771.10,771.99,1290,0,243984,0
Ok,24-09-2025 14:25:00,1758704100,773.10,773.10,771.80,771.90,773.89,426,0,242694,0
Ok,24-09-2025 14:20:00,1758703800,773.00,773.80,772.50,773.05,773.89,1205,0,242268,0
Ok,24-09-2025 14:15:00,1758703500,772.90,773.00,772.00,772.55,765.19,277,0,241063,0
Ok,24-09-2025 14:10:00,1758703200,772.95,774.30,772.95,773.00,773.90,1541,0,240786,0
Ok,24-09-2025 14:05:00,1758702900,778.00,778.05,772.00,772.00,774.65,3089,0,239245,0
Ok,24-09-2025 14:00:00,1758702600,778.00,778.20,778.00,778.00,776.53,888,0,236156,0
Ok,24-09-2025 13:55:00,1758702300,778.55,778.55,778.00,778.00,777.82,595,0,235268,0
Ok,24-09-2025 13:50:00,1758702000,778.50,778.60,778.00,778.00,778.21,1075,0,234673,0
Ok,24-09-2025 13:45:00,1758701700,778.00,778.00,778.00,778.00,780.91,659,0,233598,0
Ok,24-09-2025 13:40:00,1758701400,778.30,778.50,778.00,778.10,773.83,482,0,232939,0
Ok,24-09-2025 13:35:00,1758701100,778.70,778.95,778.10,778.10,780.79,333,0,232457,0
Ok,24-09-2025 13:30:00,1758700800,778.90,778.95,778.50,778.50,778.97,896,0,232124,0
Ok,24-09-2025 13:25:00,1758700500,778.40,779.00,778.40,778.70,779.36,827,0,231228,0
Ok,24-09-2025 13:20:00,1758700200,778.30,778.60,778.30,778.40,773.78,323,0,230401,0
Ok,24-09-2025 13:15:00,1758699900,779.00,779.45,778.35,778.60,780.95,957,0,230078,0
Ok,24-09-2025 13:10:00,1758699600,778.85,779.00,778.30,778.35,773.75,189,0,229121,0
Ok,24-09-2025 13:05:00,1758699300,778.30,778.75,778.30,778.30,778.24,508,0,228932,0
Ok,24-09-2025 13:00:00,1758699000,778.30,778.75,778.30,778.50,782.41,263,0,228424,0
Ok,24-09-2025 12:55:00,1758698700,778.70,778.75,778.30,778.30,776.30,882,0,228161,0
Ok,24-09-2025 12:50:00,1758698400,778.75,778.75,778.30,778.50,781.60,288,0,227279,0
Ok,24-09-2025 12:45:00,1758698100,778.90,779.10,778.30,778.55,777.75,559,0,226991,0
Ok,24-09-2025 12:40:00,1758697800,778.60,779.50,778.30,778.30,778.79,885,0,226432,0
Ok,24-09-2025 12:35:00,1758697500,777.00,779.00,777.00,778.75,778.58,1371,0,225547,0
Ok,24-09-2025 12:30:00,1758697200,777.85,777.95,777.00,777.00,777.50,580,0,224176,0
Ok,24-09-2025 12:25:00,1758696900,777.00,778.00,777.00,777.20,777.43,588,0,223596,0
Ok,24-09-2025 12:20:00,1758696600,777.10,777.55,777.00,777.00,776.89,3365,0,223008,0
Ok,24-09-2025 12:15:00,1758696300,776.55,778.85,776.10,777.00,777.09,6655,0,219643,0
Ok,24-09-2025 12:10:00,1758696000,775.50,776.95,775.50,776.10,776.01,5701,0,212988,0
Ok,24-09-2025 12:05:00,1758695700,775.30,775.50,775.25,775.25,773.40,263,0,207287,0
Ok,24-09-2025 12:00:00,1758695400,775.00,775.60,775.00,775.30,773.40,520,0,207024,0
Ok,24-09-2025 11:55:00,1758695100,776.55,776.80,774.95,775.10,776.73,1229,0,206504,0
Ok,24-09-2025 11:50:00,1758694800,775.95,776.55,775.95,776.10,775.51,955,0,205275,0
Ok,24-09-2025 11:45:00,1758694500,775.20,776.20,775.00,776.10,775.12,1157,0,204320,0
Ok,24-09-2025 11:40:00,1758694200,775.80,776.50,775.35,775.40,775.19,1099,0,203163,0
Ok,24-09-2025 11:35:00,1758693900,775.00,776.80,775.00,776.00,777.56,1900,0,202064,0
Ok,24-09-2025 11:30:00,1758693600,773.75,776.30,772.20,775.35,774.49,4950,0,200164,0
Ok,24-09-2025 11:25:00,1758693300,772.00,773.20,770.10,773.20,770.60,29222,0,195214,0
Ok,24-09-2025 11:20:00,1758693000,768.20,772.90,767.00,771.65,769.64,10981,0,165992,0
Ok,24-09-2025 11:15:00,1758692700,772.25,772.25,766.00,769.00,768.50,16959,0,155011,0
Ok,24-09-2025 11:10:00,1758692400,771.15,771.95,769.85,771.90,770.47,6522,0,138052,0
Ok,24-09-2025 11:05:00,1758692100,771.80,771.90,770.80,771.00,771.01,1660,0,131530,0
Ok,24-09-2025 11:00:00,1758691800,772.75,772.75,771.50,771.50,771.93,2100,0,129870,0
Ok,24-09-2025 10:55:00,1758691500,772.40,772.75,772.00,772.30,772.65,537,0,127770,0
Ok,24-09-2025 10:50:00,1758691200,771.50,772.45,771.20,772.00,771.11,645,0,127233,0
Ok,24-09-2025 10:45:00,1758690900,773.50,774.05,771.50,771.60,773.11,9067,0,126588,0
Ok,24-09-2025 10:40:00,1758690600,774.30,775.00,773.50,773.50,774.03,1977,0,117521,0
Ok,24-09-2025 10:35:00,1758690300,774.50,774.90,774.05,774.05,773.76,1558,0,115544,0
Ok,24-09-2025 10:30:00,1758690000,775.25,775.25,774.05,774.10,774.36,1278,0,113986,0
Ok,24-09-2025 10:25:00,1758689700,776.00,776.00,774.00,775.30,775.26,2751,0,112708,0
Ok,24-09-2025 10:20:00,1758689400,774.90,777.00,774.80,776.35,776.58,5506,0,109957,0
Ok,24-09-2025 10:15:00,1758689100,776.40,777.00,773.50,774.80,776.10,9377,0,104451,0
Ok,24-09-2025 10:10:00,1758688800,776.00,776.90,775.40,776.90,775.82,3779,0,95074,0
Ok,24-09-2025 10:05:00,1758688500,775.50,777.50,775.05,775.40,776.13,2491,0,91295,0
Ok,24-09-2025 10:00:00,1758688200,774.00,776.95,773.50,775.60,774.57,7174,0,88804,0
Ok,24-09-2025 09:55:00,1758687900,771.70,774.00,771.20,773.60,773.13,2457,0,81630,0
Ok,24-09-2025 09:50:00,1758687600,772.25,772.25,770.85,772.00,771.53,2760,0,79173,0
