stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,133.18,133.30,133.18,133.30,133.36,53118,0,1979094,0
Ok,24-09-2025 15:20:00,1758707400,133.01,133.24,133.00,133.10,132.99,127747,0,1925976,0
Ok,24-09-2025 15:15:00,1758707100,132.91,133.00,132.91,133.00,132.99,130424,0,1798229,0
Ok,24-09-2025 15:10:00,1758706800,133.09,133.09,133.00,133.00,132.99,72522,0,1667805,0
Ok,24-09-2025 15:05:00,1758706500,133.00,133.10,133.00,133.10,132.99,31959,0,1595283,0
Ok,24-09-2025 15:00:00,1758706200,133.04,133.10,133.00,133.00,132.99,21998,0,1563324,0
Ok,24-09-2025 14:55:00,1758705900,133.10,133.10,133.04,133.04,132.99,23112,0,1541326,0
Ok,24-09-2025 14:50:00,1758705600,133.09,133.10,132.95,133.10,132.99,73563,0,1518214,0
Ok,24-09-2025 14:45:00,1758705300,133.10,133.15,132.91,133.04,133.21,62153,0,1444651,0
Ok,24-09-2025 14:40:00,1758705000,133.15,133.15,132.96,133.13,133.15,74233,0,1382498,0
Ok,24-09-2025 14:35:00,1758704700,132.98,133.18,132.93,133.14,132.97,48043,0,1308265,0
Ok,24-09-2025 14:30:00,1758704400,133.00,133.00,132.95,132.98,132.97,15067,0,1260222,0
Ok,24-09-2025 14:25:00,1758704100,132.99,133.09,132.99,133.07,132.97,15003,0,1245155,0
Ok,24-09-2025 14:20:00,1758703800,132.97,132.97,132.95,132.95,132.97,15291,0,1230152,0
Ok,24-09-2025 14:15:00,1758703500,132.95,132.99,132.86,132.99,132.97,13838,0,1214861,0
Ok,24-09-2025 14:10:00,1758703200,132.95,132.95,132.83,132.95,132.97,15382,0,1201023,0
Ok,24-09-2025 14:05:00,1758702900,132.95,132.95,132.94,132.95,132.97,11915,0,1185641,0
Ok,24-09-2025 14:00:00,1758702600,132.95,132.95,132.90,132.95,132.97,12996,0,1173726,0
Ok,24-09-2025 13:55:00,1758702300,132.98,132.98,132.86,132.94,132.97,12359,0,1160730,0
Ok,24-09-2025 13:50:00,1758702000,133.07,133.08,132.99,132.99,132.97,12605,0,1148371,0
Ok,24-09-2025 13:45:00,1758701700,133.14,133.14,133.04,133.04,132.97,13121,0,1135766,0
Ok,24-09-2025 13:40:00,1758701400,133.17,133.17,132.99,133.10,132.97,23030,0,1122645,0
Ok,24-09-2025 13:35:00,1758701100,133.16,133.18,133.16,133.18,133.99,10644,0,1099615,0
Ok,24-09-2025 13:30:00,1758700800,133.18,133.18,133.03,133.16,132.96,9751,0,1088971,0
Ok,24-09-2025 13:25:00,1758700500,133.19,133.20,133.00,133.19,132.96,11712,0,1079220,0
Ok,24-09-2025 13:20:00,1758700200,133.25,133.27,133.20,133.20,132.96,11183,0,1067508,0
Ok,24-09-2025 13:15:00,1758699900,133.19,133.26,133.15,133.24,133.33,27432,0,1056325,0
Ok,24-09-2025 13:10:00,1758699600,133.08,133.20,133.08,133.20,132.95,9436,0,1028893,0
Ok,24-09-2025 13:05:00,1758699300,132.93,133.04,132.93,133.04,132.95,9478,0,1019457,0
Ok,24-09-2025 13:00:00,1758699000,132.90,132.97,132.90,132.92,132.95,10505,0,1009979,0
Ok,24-09-2025 12:55:00,1758698700,132.95,132.95,132.75,132.90,132.95,13395,0,999474,0
Ok,24-09-2025 12:50:00,1758698400,132.96,132.97,132.91,132.91,132.95,23350,0,986079,0
Ok,24-09-2025 12:45:00,1758698100,132.96,132.97,132.80,132.96,132.95,11572,0,962729,0
Ok,24-09-2025 12:40:00,1758697800,132.97,132.97,132.90,132.97,132.95,24736,0,951157,0
Ok,24-09-2025 12:35:00,1758697500,132.92,132.97,132.92,132.97,132.95,12889,0,926421,0
Ok,24-09-2025 12:30:00,1758697200,132.80,132.80,132.77,132.80,132.95,11692,0,913532,0
Ok,24-09-2025 12:25:00,1758696900,132.99,133.00,132.79,132.80,132.46,18297,0,901840,0
Ok,24-09-2025 12:20:00,1758696600,132.98,133.01,132.91,133.00,133.78,10612,0,883543,0
Ok,24-09-2025 12:15:00,1758696300,132.98,132.98,132.97,132.98,132.95,9704,0,872931,0
Ok,24-09-2025 12:10:00,1758696000,132.90,132.98,132.81,132.98,132.51,19278,0,863227,0
Ok,24-09-2025 12:05:00,1758695700,132.85,132.90,132.85,132.90,132.96,21103,0,843949,0
Ok,24-09-2025 12:00:00,1758695400,132.80,132.85,132.75,132.85,132.96,12500,0,822846,0
Ok,24-09-2025 11:55:00,1758695100,132.97,133.02,132.75,132.75,132.96,22004,0,810346,0
Ok,24-09-2025 11:50:00,1758694800,133.10,133.10,132.91,133.02,132.96,15330,0,788342,0
Ok,24-09-2025 11:45:00,1758694500,133.14,133.14,133.01,133.08,132.96,6672,0,773012,0
Ok,24-09-2025 11:40:00,1758694200,133.15,133.15,132.90,133.06,132.96,10802,0,766340,0
Ok,24-09-2025 11:35:00,1758693900,133.20,133.20,133.10,133.14,132.96,9015,0,755538,0
Ok,24-09-2025 11:30:00,1758693600,133.28,133.30,133.09,133.18,133.42,15567,0,746523,0
Ok,24-09-2025 11:25:00,1758693300,133.25,133.25,133.12,133.25,132.95,5163,0,730956,0
Ok,24-09-2025 11:20:00,1758693000,133.19,133.23,133.18,133.23,132.95,7179,0,725793,0
Ok,24-09-2025 11:15:00,1758692700,133.21,133.29,133.19,133.19,133.66,9952,0,718614,0
Ok,24-09-2025 11:10:00,1758692400,133.00,133.26,132.99,133.24,132.96,172900,0,708662,0
Ok,24-09-2025 11:05:00,1758692100,133.00,133.00,133.00,133.00,133.11,27316,0,535762,0
Ok,24-09-2025 11:00:00,1758691800,133.00,133.00,133.00,133.00,132.92,10688,0,508446,0
Ok,24-09-2025 10:55:00,1758691500,132.93,133.00,132.93,132.99,132.92,11432,0,497758,0
Ok,24-09-2025 10:50:00,1758691200,132.90,132.90,132.90,132.90,132.92,36911,0,486326,0
Ok,24-09-2025 10:45:00,1758690900,132.89,132.90,132.89,132.90,132.92,18105,0,449415,0
Ok,24-09-2025 10:40:00,1758690600,132.90,132.90,132.89,132.90,132.74,23101,0,431310,0
Ok,24-09-2025 10:35:00,1758690300,132.90,132.90,132.89,132.89,132.93,9988,0,408209,0
Ok,24-09-2025 10:30:00,1758690000,132.80,132.89,132.79,132.86,132.93,11915,0,398221,0
