stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:05:00,1758706500,899.85,900.60,896.50,897.85,898.98,21706,0,658865,0
Ok,24-09-2025 15:00:00,1758706200,900.50,900.75,897.75,900.00,899.20,30289,0,637159,0
Ok,24-09-2025 14:55:00,1758705900,901.10,901.35,900.10,900.10,900.64,9981,0,606870,0
Ok,24-09-2025 14:50:00,1758705600,901.15,902.10,900.45,901.00,901.07,18703,0,596889,0
Ok,24-09-2025 14:45:00,1758705300,901.85,902.60,901.00,901.30,901.61,6650,0,578186,0
Ok,24-09-2025 14:40:00,1758705000,904.00,904.00,901.75,901.75,902.50,10587,0,571536,0
Ok,24-09-2025 14:35:00,1758704700,903.20,904.75,903.00,903.70,903.81,5282,0,560949,0
Ok,24-09-2025 14:30:00,1758704400,905.85,905.95,902.65,903.05,903.64,13148,0,555667,0
Ok,24-09-2025 14:25:00,1758704100,904.25,906.90,904.25,905.90,905.59,6201,0,542519,0
Ok,24-09-2025 14:20:00,1758703800,905.90,906.05,904.25,904.80,905.20,19582,0,536318,0
Ok,24-09-2025 14:15:00,1758703500,905.30,906.80,905.30,906.20,905.86,8697,0,516736,0
Ok,24-09-2025 14:10:00,1758703200,907.10,907.35,905.10,905.80,906.76,6447,0,508039,0
Ok,24-09-2025 14:05:00,1758702900,907.15,907.60,906.40,906.55,906.81,5550,0,501592,0
Ok,24-09-2025 14:00:00,1758702600,907.85,907.85,906.50,906.90,907.12,9698,0,496042,0
Ok,24-09-2025 13:55:00,1758702300,908.65,908.90,907.40,907.50,908.43,7915,0,486344,0
Ok,24-09-2025 13:50:00,1758702000,908.65,909.20,908.30,908.60,909.26,1169,0,478429,0
Ok,24-09-2025 13:45:00,1758701700,907.50,909.30,907.15,908.80,907.67,9063,0,477260,0
Ok,24-09-2025 13:40:00,1758701400,909.35,909.90,907.20,907.85,909.20,3270,0,468197,0
Ok,24-09-2025 13:35:00,1758701100,908.60,910.95,908.05,909.80,908.91,2022,0,464927,0
Ok,24-09-2025 13:30:00,1758700800,907.70,908.80,907.20,907.90,908.21,6885,0,462905,0
Ok,24-09-2025 13:25:00,1758700500,907.85,907.85,907.00,907.50,906.93,2719,0,456020,0
Ok,24-09-2025 13:20:00,1758700200,907.90,908.00,907.05,907.60,907.67,2270,0,453301,0
Ok,24-09-2025 13:15:00,1758699900,907.95,908.20,907.20,908.05,908.17,2449,0,451031,0
Ok,24-09-2025 13:10:00,1758699600,907.95,908.00,907.45,908.00,907.52,2891,0,448582,0
Ok,24-09-2025 13:05:00,1758699300,908.80,908.80,907.80,908.00,909.21,2937,0,445691,0
Ok,24-09-2025 13:00:00,1758699000,907.85,909.15,907.65,908.15,907.05,2625,0,442754,0
Ok,24-09-2025 12:55:00,1758698700,908.60,909.80,908.00,908.35,909.74,2159,0,440129,0
Ok,24-09-2025 12:50:00,1758698400,908.75,909.60,908.50,908.80,908.90,1772,0,437970,0
Ok,24-09-2025 12:45:00,1758698100,910.65,910.65,908.35,909.00,909.20,3723,0,436198,0
Ok,24-09-2025 12:40:00,1758697800,910.60,910.95,910.00,910.55,910.42,2483,0,432475,0
Ok,24-09-2025 12:35:00,1758697500,909.50,911.00,909.50,911.00,909.66,3023,0,429992,0
Ok,24-09-2025 12:30:00,1758697200,909.00,909.80,909.00,909.65,910.33,1182,0,426969,0
Ok,24-09-2025 12:25:00,1758696900,910.20,910.30,908.60,909.45,910.05,2176,0,425787,0
Ok,24-09-2025 12:20:00,1758696600,910.10,910.40,909.55,910.30,909.74,3976,0,423611,0
Ok,24-09-2025 12:15:00,1758696300,909.25,910.30,908.80,909.55,909.53,3723,0,419635,0
Ok,24-09-2025 12:10:00,1758696000,907.80,909.25,907.60,908.75,907.87,3342,0,415912,0
Ok,24-09-2025 12:05:00,1758695700,906.85,907.70,906.80,907.50,907.46,4922,0,412570,0
Ok,24-09-2025 12:00:00,1758695400,909.05,909.35,906.85,907.00,908.45,7005,0,407648,0
Ok,24-09-2025 11:55:00,1758695100,909.50,909.50,907.90,909.00,908.62,11041,0,400643,0
Ok,24-09-2025 11:50:00,1758694800,909.00,909.50,908.75,909.40,908.64,2008,0,389602,0
Ok,24-09-2025 11:45:00,1758694500,908.50,909.90,908.50,909.45,910.68,1021,0,387594,0
Ok,24-09-2025 11:40:00,1758694200,910.00,910.30,908.00,908.40,908.97,8921,0,386573,0
Ok,24-09-2025 11:35:00,1758693900,910.30,910.80,909.50,909.90,910.04,4902,0,377652,0
Ok,24-09-2025 11:30:00,1758693600,910.80,911.05,910.00,910.00,910.86,1951,0,372750,0
Ok,24-09-2025 11:25:00,1758693300,910.50,911.00,910.00,910.35,910.22,15160,0,370799,0
Ok,24-09-2025 11:20:00,1758693000,909.65,911.30,908.60,911.00,909.89,15036,0,355639,0
Ok,24-09-2025 11:15:00,1758692700,909.30,910.85,909.10,909.90,909.48,7139,0,340603,0
Ok,24-09-2025 11:10:00,1758692400,906.30,910.30,906.30,910.25,908.77,11971,0,333464,0
Ok,24-09-2025 11:05:00,1758692100,908.60,908.60,906.15,906.50,907.22,12037,0,321493,0
Ok,24-09-2025 11:00:00,1758691800,911.80,911.80,908.15,908.15,909.17,33083,0,309456,0
Ok,24-09-2025 10:55:00,1758691500,912.30,912.35,911.00,911.35,911.74,6714,0,276373,0
Ok,24-09-2025 10:50:00,1758691200,911.95,913.30,911.50,911.95,912.60,5188,0,269659,0
Ok,24-09-2025 10:45:00,1758690900,912.50,912.95,911.10,911.75,911.99,11139,0,264471,0
Ok,24-09-2025 10:40:00,1758690600,914.70,914.70,912.80,912.80,913.53,17790,0,253332,0
Ok,24-09-2025 10:35:00,1758690300,914.20,915.70,914.15,914.95,914.67,3617,0,235542,0
Ok,24-09-2025 10:30:00,1758690000,916.25,916.35,914.20,914.25,915.18,5427,0,231925,0
Ok,24-09-2025 10:25:00,1758689700,917.30,917.90,915.50,916.30,916.90,5268,0,226498,0
Ok,24-09-2025 10:20:00,1758689400,917.45,918.85,917.05,918.35,917.93,3653,0,221230,0
Ok,24-09-2025 10:15:00,1758689100,917.65,917.65,916.30,917.30,917.03,7411,0,217577,0
Ok,24-09-2025 10:10:00,1758688800,919.10,919.30,917.10,917.30,918.51,10205,0,210166,0
Ok,24-09-2025 10:05:00,1758688500,918.20,919.90,918.00,918.80,919.09,9415,0,199961,0
Ok,24-09-2025 10:00:00,1758688200,917.90,918.50,916.00,918.00,917.64,4086,0,190546,0
Ok,24-09-2025 09:55:00,1758687900,914.50,918.70,914.50,917.60,917.58,20294,0,186460,0
Ok,24-09-2025 09:50:00,1758687600,915.70,916.60,914.00,914.40,915.86,8751,0,166166,0
Ok,24-09-2025 09:45:00,1758687300,913.00,915.85,911.10,915.35,912.67,20866,0,157415,0
Ok,24-09-2025 09:40:00,1758687000,917.10,917.10,912.20,913.30,913.84,14237,0,136549,0
Ok,24-09-2025 09:35:00,1758686700,915.70,918.00,915.05,917.80,916.45,9479,0,122312,0
Ok,24-09-2025 09:30:00,1758686400,915.65,916.10,913.60,915.15,914.91,18792,0,112833,0
Ok,24-09-2025 09:25:00,1758686100,919.80,919.80,914.20,916.00,916.20,29594,0,94041,0
Ok,24-09-2025 09:20:00,1758685800,920.55,921.35,916.90,919.45,918.66,31070,0,64447,0
Ok,24-09-2025 09:15:00,1758685500,920.00,925.65,920.00,920.15,922.52,31419,0,33377,0
