stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,167.20,167.95,167.20,167.95,167.84,3524,0,165759,0
Ok,24-09-2025 15:20:00,1758707400,167.41,167.63,167.20,167.63,167.17,2420,0,162235,0
Ok,24-09-2025 15:15:00,1758707100,167.90,167.99,167.50,167.50,167.85,29642,0,159815,0
Ok,24-09-2025 15:10:00,1758706800,168.00,168.08,167.79,167.99,168.11,26610,0,130173,0
Ok,24-09-2025 15:05:00,1758706500,167.73,168.00,167.72,167.99,168.00,12349,0,103563,0
Ok,24-09-2025 15:00:00,1758706200,167.50,167.83,167.50,167.83,166.51,2174,0,91214,0
Ok,24-09-2025 14:55:00,1758705900,167.53,167.53,167.29,167.29,167.78,1310,0,89040,0
Ok,24-09-2025 14:50:00,1758705600,167.50,167.80,167.50,167.55,167.78,590,0,87730,0
Ok,24-09-2025 14:45:00,1758705300,168.00,168.00,167.50,167.50,167.78,6387,0,87140,0
Ok,24-09-2025 14:40:00,1758705000,168.00,168.00,168.00,168.00,167.78,701,0,80753,0
Ok,24-09-2025 14:35:00,1758704700,167.94,168.12,167.84,168.12,168.56,1003,0,80052,0
Ok,24-09-2025 14:30:00,1758704400,167.92,167.94,167.92,167.94,167.77,3,0,79049,0
Ok,24-09-2025 14:25:00,1758704100,167.75,167.92,167.54,167.92,167.77,1507,0,79046,0
Ok,24-09-2025 14:20:00,1758703800,167.76,168.02,167.76,167.76,167.77,3181,0,77539,0
Ok,24-09-2025 14:15:00,1758703500,167.56,167.56,167.51,167.51,167.77,208,0,74358,0
Ok,24-09-2025 14:10:00,1758703200,167.56,167.56,167.56,167.56,167.77,83,0,74150,0
Ok,24-09-2025 14:05:00,1758702900,167.41,167.74,167.05,167.74,166.80,1512,0,74067,0
Ok,24-09-2025 14:00:00,1758702600,167.50,167.67,167.41,167.41,167.79,934,0,72555,0
Ok,24-09-2025 13:55:00,1758702300,167.50,167.60,167.50,167.60,167.79,1830,0,71621,0
Ok,24-09-2025 13:50:00,1758702000,167.33,167.33,167.32,167.32,167.09,1000,0,69791,0
Ok,24-09-2025 13:45:00,1758701700,167.33,167.35,167.33,167.35,167.80,86,0,68791,0
