stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,217.79,217.79,215.76,216.27,216.42,12140,0,179892,0
Ok,24-09-2025 15:20:00,1758707400,217.50,218.36,217.34,217.77,218.60,31040,0,167752,0
Ok,24-09-2025 15:15:00,1758707100,217.14,218.78,217.14,217.36,217.86,8822,0,136712,0
Ok,24-09-2025 15:10:00,1758706800,218.92,219.02,217.20,217.20,218.41,12612,0,127890,0
Ok,24-09-2025 15:05:00,1758706500,219.15,219.15,218.31,218.50,218.82,3684,0,115278,0
Ok,24-09-2025 15:00:00,1758706200,218.86,218.86,218.56,218.72,220.08,294,0,111594,0
Ok,24-09-2025 14:55:00,1758705900,218.88,219.00,218.88,219.00,218.78,851,0,111300,0
Ok,24-09-2025 14:50:00,1758705600,219.02,219.02,218.69,218.69,220.09,655,0,110449,0
Ok,24-09-2025 14:45:00,1758705300,219.00,219.90,218.75,219.02,219.05,2083,0,109794,0
Ok,24-09-2025 14:40:00,1758705000,219.10,219.10,219.01,219.01,220.11,195,0,107711,0
Ok,24-09-2025 14:35:00,1758704700,219.00,219.05,218.92,219.05,218.90,1767,0,107516,0
Ok,24-09-2025 14:30:00,1758704400,219.18,219.18,218.51,218.99,220.13,508,0,105749,0
Ok,24-09-2025 14:25:00,1758704100,219.13,219.13,219.00,219.00,217.06,343,0,105241,0
Ok,24-09-2025 14:20:00,1758703800,218.22,218.48,218.08,218.48,214.49,1829,0,104898,0
Ok,24-09-2025 14:15:00,1758703500,218.30,218.40,218.22,218.22,220.24,351,0,103069,0
Ok,24-09-2025 14:10:00,1758703200,218.55,218.68,218.30,218.30,220.24,5420,0,102718,0
Ok,24-09-2025 14:05:00,1758702900,217.67,217.74,217.67,217.74,220.24,15,0,97298,0
Ok,24-09-2025 14:00:00,1758702600,217.65,217.65,217.65,217.65,0.00,0,0,97283,0
Ok,24-09-2025 13:55:00,1758702300,217.65,217.65,217.65,217.65,189.84,32,0,97283,0
Ok,24-09-2025 13:50:00,1758702000,217.71,217.79,217.71,217.72,220.25,236,0,97251,0
Ok,24-09-2025 13:45:00,1758701700,217.71,217.71,217.71,217.71,0.00,0,0,97015,0
Ok,24-09-2025 13:40:00,1758701400,217.71,217.71,217.71,217.71,0.00,0,0,97015,0
Ok,24-09-2025 13:35:00,1758701100,217.70,217.71,217.70,217.71,220.25,36,0,97015,0
Ok,24-09-2025 13:30:00,1758700800,218.00,218.15,217.79,217.79,216.96,294,0,96979,0
Ok,24-09-2025 13:25:00,1758700500,218.00,218.00,218.00,218.00,0.00,0,0,96685,0
Ok,24-09-2025 13:20:00,1758700200,217.57,218.00,217.57,218.00,220.26,98,0,96685,0
Ok,24-09-2025 13:15:00,1758699900,217.57,217.57,217.57,217.57,0.00,0,0,96587,0
Ok,24-09-2025 13:10:00,1758699600,217.57,217.57,217.57,217.57,0.00,0,0,96587,0
Ok,24-09-2025 13:05:00,1758699300,218.00,218.43,217.57,217.57,218.47,538,0,96587,0
Ok,24-09-2025 13:00:00,1758699000,217.56,218.00,217.56,218.00,212.49,1100,0,96049,0
Ok,24-09-2025 12:55:00,1758698700,217.04,217.76,217.04,217.69,220.01,2707,0,94949,0
Ok,24-09-2025 12:50:00,1758698400,217.25,217.60,217.06,217.06,218.15,414,0,92242,0
Ok,24-09-2025 12:45:00,1758698100,217.01,217.25,217.01,217.25,220.38,200,0,91828,0
Ok,24-09-2025 12:40:00,1758697800,217.19,217.64,217.01,217.01,216.19,653,0,91628,0
Ok,24-09-2025 12:35:00,1758697500,217.02,217.61,217.01,217.01,217.21,2228,0,90975,0
Ok,24-09-2025 12:30:00,1758697200,217.06,217.06,217.02,217.02,220.49,60,0,88747,0
Ok,24-09-2025 12:25:00,1758696900,217.43,217.43,217.10,217.10,218.03,360,0,88687,0
Ok,24-09-2025 12:20:00,1758696600,217.03,217.53,217.03,217.22,217.89,1007,0,88327,0
Ok,24-09-2025 12:15:00,1758696300,217.39,217.39,217.17,217.17,220.53,52,0,87320,0
Ok,24-09-2025 12:10:00,1758696000,216.75,217.39,216.75,217.39,216.83,935,0,87268,0
Ok,24-09-2025 12:05:00,1758695700,216.81,216.81,216.75,216.75,220.57,47,0,86333,0
Ok,24-09-2025 12:00:00,1758695400,216.80,217.02,216.80,217.02,217.36,269,0,86286,0
Ok,24-09-2025 11:55:00,1758695100,217.10,217.10,217.00,217.00,215.96,371,0,86017,0
Ok,24-09-2025 11:50:00,1758694800,217.00,217.10,217.00,217.10,220.60,53,0,85646,0
Ok,24-09-2025 11:45:00,1758694500,217.08,217.08,217.00,217.06,217.24,760,0,85593,0
Ok,24-09-2025 11:40:00,1758694200,216.80,216.80,216.80,216.80,102.85,36,0,84833,0
Ok,24-09-2025 11:35:00,1758693900,216.71,217.25,216.71,216.96,220.68,1016,0,84797,0
Ok,24-09-2025 11:30:00,1758693600,216.60,216.75,216.60,216.72,220.68,16,0,83781,0
Ok,24-09-2025 11:25:00,1758693300,216.51,216.51,216.51,216.51,0.00,0,0,83765,0
Ok,24-09-2025 11:20:00,1758693000,216.81,216.81,216.41,216.51,216.90,442,0,83765,0
Ok,24-09-2025 11:15:00,1758692700,216.72,216.89,216.72,216.81,214.88,143,0,83323,0
Ok,24-09-2025 11:10:00,1758692400,216.51,216.99,216.51,216.99,216.95,221,0,83180,0
Ok,24-09-2025 11:05:00,1758692100,217.04,217.12,216.55,216.65,217.15,1823,0,82959,0
Ok,24-09-2025 11:00:00,1758691800,217.60,217.60,217.06,217.06,209.69,73,0,81136,0
Ok,24-09-2025 10:55:00,1758691500,217.55,217.64,217.55,217.64,220.81,100,0,81063,0
Ok,24-09-2025 10:50:00,1758691200,217.68,218.05,217.55,217.55,207.96,1242,0,80963,0
Ok,24-09-2025 10:45:00,1758690900,218.50,218.50,217.67,217.93,220.68,4587,0,79721,0
Ok,24-09-2025 10:40:00,1758690600,218.57,218.57,218.46,218.46,218.16,521,0,75134,0
Ok,24-09-2025 10:35:00,1758690300,218.59,218.59,218.20,218.40,218.30,1601,0,74613,0
Ok,24-09-2025 10:30:00,1758690000,218.45,218.60,218.45,218.60,221.11,1,0,73012,0
Ok,24-09-2025 10:25:00,1758689700,218.31,218.45,218.31,218.45,218.62,583,0,73011,0
Ok,24-09-2025 10:20:00,1758689400,219.33,219.33,218.49,218.49,219.04,1368,0,72428,0
Ok,24-09-2025 10:15:00,1758689100,218.91,219.50,218.91,219.33,219.12,1025,0,71060,0
Ok,24-09-2025 10:10:00,1758688800,218.60,219.19,218.22,218.91,218.59,2600,0,70035,0
Ok,24-09-2025 10:05:00,1758688500,220.82,220.93,218.91,219.08,220.12,11521,0,67435,0
Ok,24-09-2025 10:00:00,1758688200,220.82,220.82,220.82,220.82,0.00,0,0,55914,0
Ok,24-09-2025 09:55:00,1758687900,220.82,220.82,220.82,220.82,0.00,0,0,55914,0
Ok,24-09-2025 09:50:00,1758687600,220.98,220.98,220.82,220.82,221.54,35,0,55914,0
Ok,24-09-2025 09:45:00,1758687300,220.83,221.06,220.46,220.98,220.93,1797,0,55879,0
Ok,24-09-2025 09:40:00,1758687000,222.06,222.06,221.04,221.07,221.56,1437,0,54082,0
Ok,24-09-2025 09:35:00,1758686700,220.85,223.37,220.85,222.16,222.83,20408,0,52645,0
Ok,24-09-2025 09:30:00,1758686400,220.24,221.47,220.24,221.19,221.08,918,0,32237,0
Ok,24-09-2025 09:25:00,1758686100,220.52,220.57,220.19,220.19,219.91,378,0,31319,0
Ok,24-09-2025 09:20:00,1758685800,218.22,221.21,218.07,220.55,219.62,8732,0,30941,0
Ok,24-09-2025 09:15:00,1758685500,219.91,224.00,218.22,218.37,221.19,22030,0,22209,0
