stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 15:25:00,1758707700,151.48,151.74,151.27,151.74,151.68,23598,0,2534382,0
Ok,24-09-2025 15:20:00,1758707400,150.85,151.50,150.85,151.50,150.61,31928,0,2510784,0
Ok,24-09-2025 15:15:00,1758707100,151.35,151.50,150.70,150.84,151.80,20481,0,2478856,0
Ok,24-09-2025 15:10:00,1758706800,150.76,151.38,150.65,151.28,151.08,183503,0,2458375,0
Ok,24-09-2025 15:05:00,1758706500,150.45,150.86,150.45,150.74,150.65,214761,0,2274872,0
Ok,24-09-2025 15:00:00,1758706200,150.26,150.55,149.85,150.55,150.44,178609,0,2060111,0
Ok,24-09-2025 14:55:00,1758705900,150.86,150.86,150.35,150.38,150.56,9185,0,1881502,0
Ok,24-09-2025 14:50:00,1758705600,150.27,150.75,150.27,150.72,150.56,16792,0,1872317,0
Ok,24-09-2025 14:45:00,1758705300,150.91,151.02,150.22,150.22,150.56,9183,0,1855525,0
Ok,24-09-2025 14:40:00,1758705000,150.49,150.89,150.49,150.82,150.56,6886,0,1846342,0
Ok,24-09-2025 14:35:00,1758704700,150.50,150.60,150.12,150.12,150.56,8343,0,1839456,0
Ok,24-09-2025 14:30:00,1758704400,150.68,150.89,150.50,150.50,150.56,99702,0,1831113,0
Ok,24-09-2025 14:25:00,1758704100,150.82,150.82,150.52,150.60,150.56,45792,0,1731411,0
Ok,24-09-2025 14:20:00,1758703800,151.00,151.29,150.79,150.79,151.07,62766,0,1685619,0
Ok,24-09-2025 14:15:00,1758703500,150.83,150.98,150.82,150.98,150.95,73502,0,1622853,0
Ok,24-09-2025 14:10:00,1758703200,150.76,150.91,150.74,150.83,150.98,32085,0,1549351,0
Ok,24-09-2025 14:05:00,1758702900,150.84,151.09,150.84,150.92,150.80,48354,0,1517266,0
Ok,24-09-2025 14:00:00,1758702600,150.55,150.84,150.55,150.84,150.78,49611,0,1468912,0
Ok,24-09-2025 13:55:00,1758702300,150.57,150.68,150.56,150.56,150.49,310,0,1419301,0
Ok,24-09-2025 13:50:00,1758702000,150.74,150.74,150.57,150.57,150.49,1168,0,1418991,0
Ok,24-09-2025 13:45:00,1758701700,150.92,150.92,150.56,150.70,150.49,8436,0,1417823,0
Ok,24-09-2025 13:40:00,1758701400,151.02,151.06,150.91,151.03,150.49,2425,0,1409387,0
