stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,316.70,316.80,315.90,316.15,316.17,37192,0,2412426,0
Ok,25-09-2025 15:20:00,1758793800,316.55,317.00,316.45,316.75,316.87,79112,0,2375234,0
Ok,25-09-2025 15:15:00,1758793500,316.40,316.70,316.05,316.70,316.25,51511,0,2296122,0
Ok,25-09-2025 15:10:00,1758793200,316.55,316.80,314.55,316.55,316.49,239181,0,2244611,0
Ok,25-09-2025 15:05:00,1758792900,316.60,316.75,316.10,316.50,316.95,81876,0,2005430,0
Ok,25-09-2025 15:00:00,1758792600,316.55,317.70,316.25,316.50,317.36,58422,0,1923554,0
Ok,25-09-2025 14:55:00,1758792300,317.05,317.45,316.55,316.70,316.04,14968,0,1865132,0
Ok,25-09-2025 14:50:00,1758792000,317.45,317.50,316.60,317.30,317.16,28270,0,1850164,0
Ok,25-09-2025 14:45:00,1758791700,317.40,317.95,317.25,317.45,317.31,23813,0,1821894,0
Ok,25-09-2025 14:40:00,1758791400,317.70,317.85,317.25,317.50,319.08,8722,0,1798081,0
Ok,25-09-2025 14:35:00,1758791100,317.50,317.80,317.40,317.80,316.98,12817,0,1789359,0
Ok,25-09-2025 14:30:00,1758790800,317.90,318.00,317.50,317.65,317.24,13438,0,1776542,0
Ok,25-09-2025 14:25:00,1758790500,317.90,318.20,317.70,317.85,318.24,11842,0,1763104,0
Ok,25-09-2025 14:20:00,1758790200,318.35,318.80,317.90,318.00,318.30,11891,0,1751262,0
Ok,25-09-2025 14:15:00,1758789900,318.95,318.95,318.15,318.20,319.07,15872,0,1739371,0
Ok,25-09-2025 14:10:00,1758789600,319.00,319.00,318.70,319.00,314.12,2408,0,1723499,0
Ok,25-09-2025 14:05:00,1758789300,318.90,319.30,318.85,319.20,321.28,2356,0,1721091,0
Ok,25-09-2025 14:00:00,1758789000,318.55,319.00,318.55,318.85,319.08,7805,0,1718735,0
Ok,25-09-2025 13:55:00,1758788700,318.50,318.70,318.30,318.50,319.38,8948,0,1710930,0
Ok,25-09-2025 13:50:00,1758788400,319.00,319.30,317.90,318.45,318.33,11408,0,1701982,0
Ok,25-09-2025 13:45:00,1758788100,317.85,318.65,317.75,318.55,317.18,8144,0,1690574,0
Ok,25-09-2025 13:40:00,1758787800,317.85,317.85,317.65,317.85,321.34,816,0,1682430,0
Ok,25-09-2025 13:35:00,1758787500,318.00,318.00,317.70,317.70,321.34,2367,0,1681614,0
Ok,25-09-2025 13:30:00,1758787200,317.95,318.25,317.70,317.85,317.62,17895,0,1679247,0
Ok,25-09-2025 13:25:00,1758786900,317.65,318.00,317.25,318.00,315.09,5275,0,1661352,0
Ok,25-09-2025 13:20:00,1758786600,318.25,318.45,318.00,318.00,321.40,3240,0,1656077,0
Ok,25-09-2025 13:15:00,1758786300,318.30,318.30,318.00,318.20,313.57,2110,0,1652837,0
Ok,25-09-2025 13:10:00,1758786000,318.35,318.55,318.10,318.10,321.41,3826,0,1650727,0
Ok,25-09-2025 13:05:00,1758785700,318.65,319.20,318.30,318.40,317.13,3843,0,1646901,0
Ok,25-09-2025 13:00:00,1758785400,318.90,318.90,318.30,318.55,314.68,2435,0,1643058,0
Ok,25-09-2025 12:55:00,1758785100,319.10,319.75,318.30,318.35,320.24,13850,0,1640623,0
Ok,25-09-2025 12:50:00,1758784800,319.45,319.60,318.85,318.85,316.82,3516,0,1626773,0
Ok,25-09-2025 12:45:00,1758784500,318.95,319.95,318.70,319.10,319.15,7035,0,1623257,0
Ok,25-09-2025 12:40:00,1758784200,318.75,319.10,318.55,318.90,319.62,8766,0,1616222,0
Ok,25-09-2025 12:35:00,1758783900,318.25,318.85,318.25,318.85,317.20,7508,0,1607456,0
Ok,25-09-2025 12:30:00,1758783600,318.50,318.50,318.25,318.30,321.49,2177,0,1599948,0
Ok,25-09-2025 12:25:00,1758783300,318.15,318.50,318.15,318.30,318.14,9486,0,1597771,0
Ok,25-09-2025 12:20:00,1758783000,318.10,318.50,318.10,318.15,317.81,4283,0,1588285,0
Ok,25-09-2025 12:15:00,1758782700,318.20,318.50,318.10,318.15,321.52,3456,0,1584002,0
Ok,25-09-2025 12:10:00,1758782400,318.05,318.50,318.05,318.45,318.39,5040,0,1580546,0
Ok,25-09-2025 12:05:00,1758782100,318.65,318.90,318.00,318.10,318.23,18903,0,1575506,0
Ok,25-09-2025 12:00:00,1758781800,319.20,319.35,318.55,318.70,316.38,2998,0,1556603,0
Ok,25-09-2025 11:55:00,1758781500,319.50,319.85,319.20,319.20,319.80,8729,0,1553605,0
Ok,25-09-2025 11:50:00,1758781200,320.25,320.55,319.05,319.45,319.90,18187,0,1544876,0
Ok,25-09-2025 11:45:00,1758780900,323.30,323.30,320.25,320.30,322.50,95617,0,1526689,0
Ok,25-09-2025 11:40:00,1758780600,323.25,323.55,323.20,323.20,323.17,17331,0,1431072,0
Ok,25-09-2025 11:35:00,1758780300,323.25,323.25,323.20,323.20,323.22,78570,0,1413741,0
Ok,25-09-2025 11:30:00,1758780000,323.20,323.30,323.20,323.20,323.51,25178,0,1335171,0
Ok,25-09-2025 11:25:00,1758779700,323.30,323.35,323.20,323.30,324.93,7347,0,1309993,0
Ok,25-09-2025 11:20:00,1758779400,324.05,324.10,323.20,323.25,322.26,14423,0,1302646,0
Ok,25-09-2025 11:15:00,1758779100,323.70,324.30,323.50,324.15,323.84,25366,0,1288223,0
Ok,25-09-2025 11:10:00,1758778800,323.25,323.75,323.20,323.50,323.44,34503,0,1262857,0
