stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,274.42,275.28,274.33,275.28,274.52,10992,0,221943,0
Ok,25-09-2025 15:20:00,1758793800,274.95,275.33,274.40,274.70,274.69,6380,0,210951,0
Ok,25-09-2025 15:15:00,1758793500,274.50,275.37,274.35,275.37,274.49,4605,0,204571,0
Ok,25-09-2025 15:10:00,1758793200,274.77,274.77,274.12,274.72,274.58,9666,0,199966,0
Ok,25-09-2025 15:05:00,1758792900,274.63,274.96,274.50,274.76,274.61,4659,0,190300,0
Ok,25-09-2025 15:00:00,1758792600,275.59,275.66,274.70,274.98,275.05,4746,0,185641,0
Ok,25-09-2025 14:55:00,1758792300,275.39,275.59,274.98,275.35,275.18,6513,0,180895,0
Ok,25-09-2025 14:50:00,1758792000,275.61,275.61,275.16,275.16,274.32,1517,0,174382,0
Ok,25-09-2025 14:45:00,1758791700,275.49,275.69,275.36,275.58,275.47,872,0,172865,0
Ok,25-09-2025 14:40:00,1758791400,275.23,275.62,275.06,275.10,275.47,2017,0,171993,0
Ok,25-09-2025 14:35:00,1758791100,275.46,275.59,275.16,275.50,275.47,606,0,169976,0
Ok,25-09-2025 14:30:00,1758790800,275.76,275.87,275.18,275.18,275.47,954,0,169370,0
Ok,25-09-2025 14:25:00,1758790500,275.60,275.82,275.42,275.70,275.47,911,0,168416,0
Ok,25-09-2025 14:20:00,1758790200,275.98,276.02,275.70,275.70,275.47,920,0,167505,0
Ok,25-09-2025 14:15:00,1758789900,275.99,276.03,275.77,276.00,276.37,1812,0,166585,0
Ok,25-09-2025 14:10:00,1758789600,275.94,276.00,275.76,275.96,275.46,1538,0,164773,0
Ok,25-09-2025 14:05:00,1758789300,276.15,276.20,275.84,275.89,276.27,1986,0,163235,0
Ok,25-09-2025 14:00:00,1758789000,276.32,276.44,276.20,276.21,276.85,1140,0,161249,0
Ok,25-09-2025 13:55:00,1758788700,276.75,276.75,276.26,276.47,275.44,739,0,160109,0
Ok,25-09-2025 13:50:00,1758788400,276.67,276.76,276.30,276.66,276.40,1626,0,159370,0
Ok,25-09-2025 13:45:00,1758788100,275.93,276.39,275.93,276.39,276.13,4312,0,157744,0
Ok,25-09-2025 13:40:00,1758787800,275.77,276.00,275.77,276.00,275.95,2755,0,153432,0
Ok,25-09-2025 13:35:00,1758787500,275.83,275.83,275.60,275.76,275.40,864,0,150677,0
Ok,25-09-2025 13:30:00,1758787200,275.40,275.84,275.39,275.81,275.40,580,0,149813,0
Ok,25-09-2025 13:25:00,1758786900,275.59,275.60,275.18,275.60,275.39,832,0,149233,0
Ok,25-09-2025 13:20:00,1758786600,275.58,275.58,275.10,275.56,275.40,1437,0,148401,0
Ok,25-09-2025 13:15:00,1758786300,275.60,275.61,275.07,275.60,275.17,6418,0,146964,0
Ok,25-09-2025 13:10:00,1758786000,275.55,275.79,275.28,275.61,275.41,1008,0,140546,0
Ok,25-09-2025 13:05:00,1758785700,275.73,275.80,275.49,275.78,275.41,794,0,139538,0
Ok,25-09-2025 13:00:00,1758785400,275.83,275.83,275.35,275.76,275.41,5612,0,138744,0
Ok,25-09-2025 12:55:00,1758785100,275.53,275.82,275.50,275.82,276.36,1377,0,133132,0
Ok,25-09-2025 12:50:00,1758784800,275.19,275.65,275.12,275.54,275.40,1147,0,131755,0
Ok,25-09-2025 12:45:00,1758784500,275.36,275.48,275.11,275.48,275.40,436,0,130608,0
Ok,25-09-2025 12:40:00,1758784200,275.50,275.50,275.14,275.37,275.39,970,0,130172,0
Ok,25-09-2025 12:35:00,1758783900,275.42,275.50,275.24,275.50,275.40,519,0,129202,0
Ok,25-09-2025 12:30:00,1758783600,275.09,275.46,275.01,275.38,274.37,1244,0,128683,0
Ok,25-09-2025 12:25:00,1758783300,275.32,275.47,275.14,275.45,275.41,1424,0,127439,0
Ok,25-09-2025 12:20:00,1758783000,275.44,275.48,275.15,275.27,275.41,5127,0,126015,0
Ok,25-09-2025 12:15:00,1758782700,275.00,275.45,274.93,275.45,275.41,1165,0,120888,0
Ok,25-09-2025 12:10:00,1758782400,275.06,275.25,274.92,275.25,273.90,793,0,119723,0
Ok,25-09-2025 12:05:00,1758782100,275.11,275.22,274.61,275.07,275.42,564,0,118930,0
Ok,25-09-2025 12:00:00,1758781800,275.20,275.25,274.67,275.09,275.06,3281,0,118366,0
Ok,25-09-2025 11:55:00,1758781500,275.00,275.26,275.00,275.24,275.43,1669,0,115085,0
Ok,25-09-2025 11:50:00,1758781200,275.44,275.44,274.74,275.25,274.70,3081,0,113416,0
Ok,25-09-2025 11:45:00,1758780900,275.22,275.41,274.86,275.41,275.45,367,0,110335,0
Ok,25-09-2025 11:40:00,1758780600,275.46,275.46,274.85,274.89,275.02,2572,0,109968,0
Ok,25-09-2025 11:35:00,1758780300,275.47,275.47,275.04,275.46,275.46,771,0,107396,0
Ok,25-09-2025 11:30:00,1758780000,275.50,275.50,275.25,275.48,275.46,1168,0,106625,0
Ok,25-09-2025 11:25:00,1758779700,275.50,275.81,275.20,275.50,275.46,1805,0,105457,0
Ok,25-09-2025 11:20:00,1758779400,275.80,275.81,275.50,275.81,275.46,1047,0,103652,0
Ok,25-09-2025 11:15:00,1758779100,275.45,275.80,275.34,275.80,276.02,1785,0,102605,0
Ok,25-09-2025 11:10:00,1758778800,275.28,275.72,274.95,275.40,275.45,470,0,100820,0
Ok,25-09-2025 11:05:00,1758778500,274.53,275.23,274.53,275.23,274.64,2432,0,100350,0
Ok,25-09-2025 11:00:00,1758778200,274.86,274.99,274.56,274.89,275.47,683,0,97918,0
Ok,25-09-2025 10:55:00,1758777900,274.94,275.00,274.47,274.87,274.61,4374,0,97235,0
Ok,25-09-2025 10:50:00,1758777600,274.68,274.92,274.53,274.92,274.78,1264,0,92861,0
