stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,110.50,110.50,110.05,110.05,110.45,95,0,102349,0
Ok,25-09-2025 15:20:00,1758793800,110.45,110.55,110.45,110.50,110.45,786,0,102254,0
Ok,25-09-2025 15:15:00,1758793500,110.45,110.50,110.45,110.50,110.49,90000,0,101468,0
Ok,25-09-2025 15:10:00,1758793200,110.35,110.35,110.35,110.35,110.05,10,0,11468,0
Ok,25-09-2025 15:05:00,1758792900,110.30,110.35,110.30,110.35,110.20,705,0,11458,0
Ok,25-09-2025 15:00:00,1758792600,110.30,110.30,110.00,110.00,110.50,223,0,10753,0
Ok,25-09-2025 14:55:00,1758792300,110.35,110.35,110.30,110.30,110.03,14,0,10530,0
Ok,25-09-2025 14:50:00,1758792000,110.35,110.35,110.35,110.35,0.00,0,0,10516,0
Ok,25-09-2025 14:45:00,1758791700,110.35,110.35,110.35,110.35,0.00,0,0,10516,0
Ok,25-09-2025 14:40:00,1758791400,110.35,110.35,110.35,110.35,0.00,0,0,10516,0
Ok,25-09-2025 14:35:00,1758791100,110.35,110.35,110.35,110.35,0.00,0,0,10516,0
Ok,25-09-2025 14:30:00,1758790800,110.35,110.35,110.35,110.35,0.00,0,0,10516,0
Ok,25-09-2025 14:25:00,1758790500,110.45,110.45,110.35,110.35,110.03,1,0,10516,0
Ok,25-09-2025 14:20:00,1758790200,110.45,110.45,110.45,110.45,0.00,0,0,10515,0
Ok,25-09-2025 14:15:00,1758789900,110.45,110.45,110.45,110.45,0.00,0,0,10515,0
Ok,25-09-2025 14:10:00,1758789600,110.45,110.45,110.45,110.45,0.00,0,0,10515,0
Ok,25-09-2025 14:05:00,1758789300,110.45,110.45,110.45,110.45,0.00,0,0,10515,0
Ok,25-09-2025 14:00:00,1758789000,110.35,110.45,110.35,110.45,110.03,1,0,10515,0
Ok,25-09-2025 13:55:00,1758788700,110.35,110.35,110.35,110.35,0.00,0,0,10514,0
Ok,25-09-2025 13:50:00,1758788400,110.35,110.35,110.35,110.35,0.00,0,0,10514,0
Ok,25-09-2025 13:45:00,1758788100,110.35,110.35,110.35,110.35,0.00,0,0,10514,0
Ok,25-09-2025 13:40:00,1758787800,110.35,110.35,110.35,110.35,0.00,0,0,10514,0
Ok,25-09-2025 13:35:00,1758787500,110.35,110.35,110.35,110.35,110.03,10,0,10514,0
Ok,25-09-2025 13:30:00,1758787200,110.35,110.35,110.35,110.35,110.03,175,0,10504,0
Ok,25-09-2025 13:25:00,1758786900,110.30,110.30,110.30,110.30,111.31,80,0,10329,0
Ok,25-09-2025 13:20:00,1758786600,109.95,110.30,109.95,110.30,110.02,100,0,10249,0
Ok,25-09-2025 13:15:00,1758786300,109.95,109.95,109.95,109.95,109.87,4649,0,10149,0
Ok,25-09-2025 13:10:00,1758786000,109.90,109.90,109.90,109.90,0.00,0,0,5500,0
Ok,25-09-2025 13:05:00,1758785700,109.90,109.90,109.90,109.90,0.00,0,0,5500,0
Ok,25-09-2025 13:00:00,1758785400,109.90,109.90,109.90,109.90,0.00,0,0,5500,0
Ok,25-09-2025 12:55:00,1758785100,109.90,109.90,109.90,109.90,0.00,0,0,5500,0
Ok,25-09-2025 12:50:00,1758784800,109.90,109.90,109.90,109.90,0.00,0,0,5500,0
Ok,25-09-2025 12:45:00,1758784500,109.65,109.90,109.65,109.90,110.14,445,0,5500,0
Ok,25-09-2025 12:40:00,1758784200,109.65,109.65,109.65,109.65,0.00,0,0,5055,0
Ok,25-09-2025 12:35:00,1758783900,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 12:30:00,1758783600,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 12:25:00,1758783300,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 12:20:00,1758783000,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 12:15:00,1758782700,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 12:10:00,1758782400,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 12:05:00,1758782100,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 12:00:00,1758781800,109.95,109.95,109.95,109.95,0.00,0,0,5055,0
Ok,25-09-2025 11:55:00,1758781500,110.10,110.10,109.95,109.95,110.14,127,0,5055,0
Ok,25-09-2025 11:50:00,1758781200,110.10,110.10,110.10,110.10,0.00,0,0,4928,0
Ok,25-09-2025 11:45:00,1758780900,110.00,110.10,110.00,110.10,110.14,2,0,4928,0
Ok,25-09-2025 11:40:00,1758780600,110.00,110.00,110.00,110.00,110.14,1,0,4926,0
Ok,25-09-2025 11:35:00,1758780300,109.85,109.85,109.85,109.85,0.00,0,0,4925,0
Ok,25-09-2025 11:30:00,1758780000,109.85,109.85,109.85,109.85,0.00,0,0,4925,0
Ok,25-09-2025 11:25:00,1758779700,109.85,109.90,109.85,109.85,110.14,11,0,4925,0
Ok,25-09-2025 11:20:00,1758779400,109.85,109.85,109.85,109.85,109.65,100,0,4914,0
Ok,25-09-2025 11:15:00,1758779100,109.85,109.85,109.85,109.85,0.00,0,0,4814,0
Ok,25-09-2025 11:10:00,1758778800,109.75,109.90,109.75,109.85,110.15,115,0,4814,0
Ok,25-09-2025 11:05:00,1758778500,109.75,109.75,109.75,109.75,0.00,0,0,4699,0
Ok,25-09-2025 11:00:00,1758778200,109.75,109.75,109.75,109.75,110.15,7,0,4699,0
Ok,25-09-2025 10:55:00,1758777900,109.75,109.75,109.75,109.75,0.00,0,0,4692,0
Ok,25-09-2025 10:50:00,1758777600,109.75,109.75,109.75,109.75,0.00,0,0,4692,0
Ok,25-09-2025 10:45:00,1758777300,109.75,109.75,109.75,109.75,0.00,0,0,4692,0
Ok,25-09-2025 10:40:00,1758777000,109.75,109.75,109.75,109.75,0.00,0,0,4692,0
Ok,25-09-2025 10:35:00,1758776700,109.75,109.75,109.75,109.75,0.00,0,0,4692,0
Ok,25-09-2025 10:30:00,1758776400,109.80,109.80,109.75,109.75,108.69,32,0,4692,0
Ok,25-09-2025 10:25:00,1758776100,109.75,109.75,109.75,109.75,0.00,0,0,4660,0
Ok,25-09-2025 10:20:00,1758775800,109.75,109.75,109.75,109.75,0.00,0,0,4660,0
Ok,25-09-2025 10:15:00,1758775500,109.75,109.75,109.75,109.75,110.16,10,0,4660,0
Ok,25-09-2025 10:10:00,1758775200,109.70,109.70,109.70,109.70,110.16,18,0,4650,0
Ok,25-09-2025 10:05:00,1758774900,109.70,109.70,109.70,109.70,110.16,48,0,4632,0
Ok,25-09-2025 10:00:00,1758774600,109.70,109.70,109.45,109.45,109.47,315,0,4584,0
Ok,25-09-2025 09:55:00,1758774300,109.60,109.70,109.60,109.70,110.21,6,0,4269,0
Ok,25-09-2025 09:50:00,1758774000,109.60,109.65,109.60,109.60,110.21,10,0,4263,0
Ok,25-09-2025 09:45:00,1758773700,109.60,109.65,109.60,109.60,109.56,360,0,4253,0
Ok,25-09-2025 09:40:00,1758773400,109.55,109.60,109.55,109.60,109.66,354,0,3893,0
Ok,25-09-2025 09:35:00,1758773100,110.00,110.00,109.60,109.60,110.12,2731,0,3539,0
Ok,25-09-2025 09:30:00,1758772800,111.75,111.75,110.70,110.70,0.00,0,0,808,0
Ok,25-09-2025 09:25:00,1758772500,111.80,111.80,111.80,111.80,111.02,1,0,808,0
Ok,25-09-2025 09:20:00,1758772200,110.55,110.55,110.55,110.55,0.00,0,0,807,0
Ok,25-09-2025 09:15:00,1758771900,111.50,111.50,110.55,110.55,111.01,807,0,807,0
