stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,380.40,382.15,371.00,372.00,376.36,3691,0,53481,0
Ok,25-09-2025 15:20:00,1758793800,382.05,382.70,380.00,380.40,381.26,1472,0,49790,0
Ok,25-09-2025 15:15:00,1758793500,382.50,383.00,381.65,381.65,382.43,2587,0,48318,0
Ok,25-09-2025 15:10:00,1758793200,384.25,384.25,382.50,382.50,383.83,1453,0,45731,0
Ok,25-09-2025 15:05:00,1758792900,384.65,384.65,384.45,384.45,385.91,171,0,44278,0
Ok,25-09-2025 15:00:00,1758792600,384.20,385.25,384.20,384.65,385.92,85,0,44107,0
Ok,25-09-2025 14:55:00,1758792300,383.50,385.00,383.50,384.20,384.03,1152,0,44022,0
Ok,25-09-2025 14:50:00,1758792000,382.70,383.50,382.70,382.80,377.91,32,0,42870,0
Ok,25-09-2025 14:45:00,1758791700,382.50,383.40,382.50,382.70,383.33,267,0,42838,0
Ok,25-09-2025 14:40:00,1758791400,383.05,383.70,383.05,383.05,391.36,19,0,42571,0
Ok,25-09-2025 14:35:00,1758791100,383.05,383.05,383.00,383.05,382.85,50,0,42552,0
Ok,25-09-2025 14:30:00,1758790800,383.05,383.05,383.05,383.05,0.00,0,0,42502,0
Ok,25-09-2025 14:25:00,1758790500,383.10,383.10,382.50,383.05,382.06,182,0,42502,0
Ok,25-09-2025 14:20:00,1758790200,384.00,384.00,383.05,383.10,384.13,174,0,42320,0
Ok,25-09-2025 14:15:00,1758789900,383.60,383.70,383.60,383.70,382.04,444,0,42146,0
Ok,25-09-2025 14:10:00,1758789600,383.00,383.60,383.00,383.60,391.54,61,0,41702,0
Ok,25-09-2025 14:05:00,1758789300,383.60,383.65,383.00,383.60,385.14,130,0,41641,0
Ok,25-09-2025 14:00:00,1758789000,383.60,383.60,383.60,383.60,391.56,1,0,41511,0
Ok,25-09-2025 13:55:00,1758788700,383.65,383.65,383.60,383.60,383.89,108,0,41510,0
Ok,25-09-2025 13:50:00,1758788400,383.70,383.70,383.65,383.65,382.99,430,0,41402,0
Ok,25-09-2025 13:45:00,1758788100,382.65,382.65,382.65,382.65,0.00,0,0,40972,0
Ok,25-09-2025 13:40:00,1758787800,383.00,383.55,382.65,382.65,383.64,51,0,40972,0
Ok,25-09-2025 13:35:00,1758787500,383.45,383.45,382.55,383.00,391.68,17,0,40921,0
Ok,25-09-2025 13:30:00,1758787200,382.60,383.70,382.60,383.45,376.53,27,0,40904,0
Ok,25-09-2025 13:25:00,1758786900,382.50,383.65,382.50,382.60,391.69,9,0,40877,0
Ok,25-09-2025 13:20:00,1758786600,382.50,382.95,382.50,382.50,374.67,24,0,40868,0
Ok,25-09-2025 13:15:00,1758786300,382.50,382.50,382.50,382.50,382.84,138,0,40844,0
Ok,25-09-2025 13:10:00,1758786000,383.15,383.15,382.30,382.35,380.43,36,0,40706,0
Ok,25-09-2025 13:05:00,1758785700,383.15,383.15,382.70,382.70,383.70,101,0,40670,0
Ok,25-09-2025 13:00:00,1758785400,383.00,383.15,382.65,382.65,382.94,46,0,40569,0
Ok,25-09-2025 12:55:00,1758785100,383.60,383.70,383.00,383.00,391.77,36,0,40523,0
Ok,25-09-2025 12:50:00,1758784800,384.15,384.20,384.15,384.15,391.77,2,0,40487,0
Ok,25-09-2025 12:45:00,1758784500,384.00,385.15,384.00,384.15,384.43,274,0,40485,0
Ok,25-09-2025 12:40:00,1758784200,385.05,385.05,384.30,384.30,384.54,220,0,40211,0
Ok,25-09-2025 12:35:00,1758783900,385.25,385.25,385.05,385.05,391.86,10,0,39991,0
Ok,25-09-2025 12:30:00,1758783600,385.00,385.25,384.50,385.25,382.78,44,0,39981,0
Ok,25-09-2025 12:25:00,1758783300,385.00,385.00,385.00,385.00,0.00,0,0,39937,0
Ok,25-09-2025 12:20:00,1758783000,385.00,385.00,384.55,385.00,391.87,5,0,39937,0
Ok,25-09-2025 12:15:00,1758782700,384.90,385.25,384.45,385.25,385.75,195,0,39932,0
Ok,25-09-2025 12:10:00,1758782400,384.90,384.90,384.90,384.90,382.44,42,0,39737,0
Ok,25-09-2025 12:05:00,1758782100,385.15,385.25,384.45,384.55,384.99,285,0,39695,0
Ok,25-09-2025 12:00:00,1758781800,383.15,384.80,382.75,384.35,384.38,207,0,39410,0
Ok,25-09-2025 11:55:00,1758781500,383.75,384.60,383.35,383.95,383.36,181,0,39203,0
Ok,25-09-2025 11:50:00,1758781200,386.55,386.55,383.40,383.40,385.06,333,0,39022,0
Ok,25-09-2025 11:45:00,1758780900,386.55,386.55,385.45,386.55,386.89,295,0,38689,0
Ok,25-09-2025 11:40:00,1758780600,387.00,387.20,385.20,386.15,385.40,283,0,38394,0
Ok,25-09-2025 11:35:00,1758780300,388.60,389.50,387.25,387.25,388.31,98,0,38111,0
Ok,25-09-2025 11:30:00,1758780000,390.05,390.95,389.95,389.95,390.61,475,0,38013,0
Ok,25-09-2025 11:25:00,1758779700,389.40,391.65,389.40,390.30,390.07,858,0,37538,0
Ok,25-09-2025 11:20:00,1758779400,387.95,388.25,387.95,388.25,387.15,214,0,36680,0
Ok,25-09-2025 11:15:00,1758779100,385.50,388.20,385.50,387.10,388.00,337,0,36466,0
Ok,25-09-2025 11:10:00,1758778800,385.10,386.00,385.05,386.00,385.73,109,0,36129,0
Ok,25-09-2025 11:05:00,1758778500,385.40,385.40,384.20,384.45,383.58,82,0,36020,0
Ok,25-09-2025 11:00:00,1758778200,385.20,386.25,383.10,385.40,385.23,1587,0,35938,0
Ok,25-09-2025 10:55:00,1758777900,381.50,385.90,381.50,385.10,381.93,1141,0,34351,0
Ok,25-09-2025 10:50:00,1758777600,383.30,383.30,380.85,381.50,381.48,480,0,33210,0
Ok,25-09-2025 10:45:00,1758777300,382.30,384.10,382.30,383.40,383.95,210,0,32730,0
Ok,25-09-2025 10:40:00,1758777000,383.30,383.30,382.00,383.00,382.13,145,0,32520,0
Ok,25-09-2025 10:35:00,1758776700,383.80,383.80,383.30,383.30,382.58,60,0,32375,0
