stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,156.60,157.95,156.01,157.17,156.43,14396,0,432764,0
Ok,25-09-2025 15:20:00,1758793800,156.01,156.95,156.01,156.65,155.91,15588,0,418368,0
Ok,25-09-2025 15:15:00,1758793500,157.50,157.50,156.60,156.60,157.13,11479,0,402780,0
Ok,25-09-2025 15:10:00,1758793200,157.01,157.51,156.90,157.51,157.08,5936,0,391301,0
Ok,25-09-2025 15:05:00,1758792900,157.79,157.82,156.64,156.64,156.88,8274,0,385365,0
Ok,25-09-2025 15:00:00,1758792600,157.59,157.97,157.00,157.03,157.75,35724,0,377091,0
Ok,25-09-2025 14:55:00,1758792300,157.33,158.98,156.73,157.54,157.84,106302,0,341367,0
Ok,25-09-2025 14:50:00,1758792000,157.50,158.47,156.25,157.31,157.71,55072,0,235065,0
Ok,25-09-2025 14:45:00,1758791700,157.25,158.98,156.45,157.74,157.46,40769,0,179993,0
Ok,25-09-2025 14:40:00,1758791400,155.01,157.51,155.00,157.51,156.06,23606,0,139224,0
Ok,25-09-2025 14:35:00,1758791100,154.98,155.01,154.91,155.01,154.97,951,0,115618,0
Ok,25-09-2025 14:30:00,1758790800,154.01,154.98,154.00,154.98,154.86,24510,0,114667,0
Ok,25-09-2025 14:25:00,1758790500,154.01,154.01,154.01,154.01,0.00,0,0,90157,0
Ok,25-09-2025 14:20:00,1758790200,154.22,154.22,154.01,154.01,153.46,200,0,90157,0
Ok,25-09-2025 14:15:00,1758789900,154.03,154.22,154.03,154.22,153.46,10,0,89957,0
Ok,25-09-2025 14:10:00,1758789600,154.02,154.03,154.02,154.03,153.46,100,0,89947,0
Ok,25-09-2025 14:05:00,1758789300,154.02,154.02,154.02,154.02,153.46,85,0,89847,0
Ok,25-09-2025 14:00:00,1758789000,154.01,154.02,154.01,154.02,153.46,300,0,89762,0
Ok,25-09-2025 13:55:00,1758788700,154.29,154.29,154.06,154.06,153.46,30,0,89462,0
Ok,25-09-2025 13:50:00,1758788400,154.29,154.29,154.28,154.29,153.46,175,0,89432,0
Ok,25-09-2025 13:45:00,1758788100,154.29,154.29,154.29,154.29,0.00,0,0,89257,0
Ok,25-09-2025 13:40:00,1758787800,154.29,154.29,154.29,154.29,0.00,0,0,89257,0
Ok,25-09-2025 13:35:00,1758787500,154.29,154.29,154.29,154.29,156.00,349,0,89257,0
Ok,25-09-2025 13:30:00,1758787200,154.29,154.29,154.29,154.29,0.00,0,0,88908,0
Ok,25-09-2025 13:25:00,1758786900,154.79,154.79,154.29,154.29,153.45,516,0,88908,0
Ok,25-09-2025 13:20:00,1758786600,154.50,154.60,154.50,154.60,154.41,901,0,88392,0
Ok,25-09-2025 13:15:00,1758786300,154.01,154.18,154.01,154.18,0.00,0,0,87491,0
Ok,25-09-2025 13:10:00,1758786000,154.01,154.01,154.01,154.01,159.67,140,0,87491,0
Ok,25-09-2025 13:05:00,1758785700,154.01,154.18,154.01,154.18,153.43,5,0,87351,0
Ok,25-09-2025 13:00:00,1758785400,154.01,154.01,154.01,154.01,153.43,70,0,87346,0
Ok,25-09-2025 12:55:00,1758785100,154.01,154.01,154.00,154.00,153.43,560,0,87276,0
Ok,25-09-2025 12:50:00,1758784800,154.01,154.01,154.01,154.01,153.43,130,0,86716,0
Ok,25-09-2025 12:45:00,1758784500,154.01,154.01,154.01,154.01,0.00,0,0,86586,0
Ok,25-09-2025 12:40:00,1758784200,154.18,154.18,154.01,154.01,154.75,650,0,86586,0
Ok,25-09-2025 12:35:00,1758783900,154.18,154.18,154.18,154.18,153.42,1,0,85936,0
Ok,25-09-2025 12:30:00,1758783600,154.52,154.52,154.18,154.18,153.42,32,0,85935,0
Ok,25-09-2025 12:25:00,1758783300,154.17,154.17,154.17,154.17,0.00,0,0,85903,0
Ok,25-09-2025 12:20:00,1758783000,154.53,154.53,154.17,154.17,153.42,23,0,85903,0
Ok,25-09-2025 12:15:00,1758782700,154.53,154.53,154.53,154.53,0.00,0,0,85880,0
Ok,25-09-2025 12:10:00,1758782400,154.46,154.53,154.03,154.53,154.04,1351,0,85880,0
Ok,25-09-2025 12:05:00,1758782100,154.51,154.51,154.51,154.51,0.00,0,0,84529,0
Ok,25-09-2025 12:00:00,1758781800,154.55,154.55,154.51,154.51,153.41,326,0,84529,0
Ok,25-09-2025 11:55:00,1758781500,154.16,154.55,154.16,154.55,154.56,722,0,84203,0
Ok,25-09-2025 11:50:00,1758781200,154.53,154.53,154.16,154.16,0.00,0,0,83481,0
Ok,25-09-2025 11:45:00,1758780900,154.53,154.53,154.53,154.53,0.00,0,0,83481,0
Ok,25-09-2025 11:40:00,1758780600,154.18,154.53,154.18,154.53,157.75,191,0,83481,0
Ok,25-09-2025 11:35:00,1758780300,154.50,154.50,154.50,154.50,153.39,300,0,83290,0
Ok,25-09-2025 11:30:00,1758780000,153.64,154.30,153.64,154.30,153.77,3984,0,82990,0
