stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,281.00,281.05,281.00,281.05,280.59,28554,0,107363,0
Ok,25-09-2025 15:20:00,1758793800,281.05,281.45,281.00,281.10,281.32,2010,0,78809,0
Ok,25-09-2025 15:15:00,1758793500,281.05,281.05,281.00,281.00,280.54,695,0,76799,0
Ok,25-09-2025 15:10:00,1758793200,281.05,281.35,280.90,281.00,281.28,4745,0,76104,0
Ok,25-09-2025 15:05:00,1758792900,281.00,281.05,281.00,281.05,281.22,960,0,71359,0
Ok,25-09-2025 15:00:00,1758792600,281.10,281.10,281.00,281.05,280.48,396,0,70399,0
Ok,25-09-2025 14:55:00,1758792300,281.00,281.05,281.00,281.00,281.80,523,0,70003,0
Ok,25-09-2025 14:50:00,1758792000,281.00,281.00,281.00,281.00,280.47,1074,0,69480,0
Ok,25-09-2025 14:45:00,1758791700,281.00,281.00,281.00,281.00,281.67,562,0,68406,0
Ok,25-09-2025 14:40:00,1758791400,281.00,281.30,281.00,281.00,281.24,1678,0,67844,0
Ok,25-09-2025 14:35:00,1758791100,281.05,281.30,281.00,281.00,280.44,313,0,66166,0
Ok,25-09-2025 14:30:00,1758790800,281.35,281.35,281.00,281.05,280.44,48,0,65853,0
Ok,25-09-2025 14:25:00,1758790500,281.00,281.55,281.00,281.10,280.44,99,0,65805,0
Ok,25-09-2025 14:20:00,1758790200,281.30,281.30,281.05,281.05,280.44,138,0,65706,0
Ok,25-09-2025 14:15:00,1758789900,281.35,281.55,281.00,281.30,281.64,1062,0,65568,0
Ok,25-09-2025 14:10:00,1758789600,281.10,281.50,281.10,281.50,280.42,258,0,64506,0
Ok,25-09-2025 14:05:00,1758789300,281.30,281.70,281.00,281.10,281.88,858,0,64248,0
Ok,25-09-2025 14:00:00,1758789000,281.10,281.10,281.05,281.10,280.40,219,0,63390,0
Ok,25-09-2025 13:55:00,1758788700,281.55,281.55,281.00,281.05,281.09,896,0,63171,0
Ok,25-09-2025 13:50:00,1758788400,281.00,281.55,281.00,281.35,281.15,800,0,62275,0
Ok,25-09-2025 13:45:00,1758788100,280.60,281.35,280.55,281.05,280.97,1009,0,61475,0
Ok,25-09-2025 13:40:00,1758787800,278.90,281.05,278.90,280.50,279.94,4057,0,60466,0
Ok,25-09-2025 13:35:00,1758787500,278.65,278.85,278.30,278.50,275.70,120,0,56409,0
Ok,25-09-2025 13:30:00,1758787200,278.65,278.80,277.50,278.45,278.06,5430,0,56289,0
Ok,25-09-2025 13:25:00,1758786900,278.60,278.65,278.60,278.65,280.66,17,0,50859,0
Ok,25-09-2025 13:20:00,1758786600,279.00,279.00,278.60,278.60,279.69,519,0,50842,0
Ok,25-09-2025 13:15:00,1758786300,278.55,278.85,278.55,278.60,276.83,131,0,50323,0
Ok,25-09-2025 13:10:00,1758786000,278.75,279.20,278.55,278.65,278.83,272,0,50192,0
Ok,25-09-2025 13:05:00,1758785700,278.60,278.80,278.50,278.55,280.69,86,0,49920,0
Ok,25-09-2025 13:00:00,1758785400,278.70,278.85,278.60,278.60,280.69,20,0,49834,0
Ok,25-09-2025 12:55:00,1758785100,278.80,279.15,278.35,278.70,279.28,1378,0,49814,0
Ok,25-09-2025 12:50:00,1758784800,278.20,279.20,278.20,278.75,278.64,461,0,48436,0
Ok,25-09-2025 12:45:00,1758784500,278.90,278.90,278.05,278.55,278.35,1171,0,47975,0
Ok,25-09-2025 12:40:00,1758784200,280.05,280.10,278.65,278.65,278.76,6352,0,46804,0
Ok,25-09-2025 12:35:00,1758783900,279.00,280.15,279.00,280.15,280.42,566,0,40452,0
Ok,25-09-2025 12:30:00,1758783600,279.00,279.25,278.95,279.25,277.07,98,0,39886,0
Ok,25-09-2025 12:25:00,1758783300,279.10,279.25,278.95,279.25,281.15,31,0,39788,0
Ok,25-09-2025 12:20:00,1758783000,279.00,279.50,279.00,279.25,279.10,3060,0,39757,0
Ok,25-09-2025 12:15:00,1758782700,279.00,279.40,279.00,279.25,279.09,327,0,36697,0
Ok,25-09-2025 12:10:00,1758782400,279.20,279.45,279.00,279.25,278.82,847,0,36370,0
Ok,25-09-2025 12:05:00,1758782100,279.00,280.15,279.00,279.05,279.62,1351,0,35523,0
Ok,25-09-2025 12:00:00,1758781800,279.10,279.15,278.85,279.15,279.07,283,0,34172,0
Ok,25-09-2025 11:55:00,1758781500,279.50,279.50,278.85,278.90,279.18,2332,0,33889,0
Ok,25-09-2025 11:50:00,1758781200,279.70,279.70,279.55,279.55,281.66,75,0,31557,0
Ok,25-09-2025 11:45:00,1758780900,279.55,280.30,279.55,279.70,280.07,1155,0,31482,0
Ok,25-09-2025 11:40:00,1758780600,280.55,280.55,279.55,279.55,279.96,511,0,30327,0
Ok,25-09-2025 11:35:00,1758780300,280.15,280.55,279.95,280.40,280.14,368,0,29816,0
Ok,25-09-2025 11:30:00,1758780000,280.00,280.30,279.80,280.20,280.00,166,0,29448,0
Ok,25-09-2025 11:25:00,1758779700,280.45,280.45,279.90,280.10,279.96,476,0,29282,0
Ok,25-09-2025 11:20:00,1758779400,280.45,280.90,279.80,280.20,280.10,6031,0,28806,0
Ok,25-09-2025 11:15:00,1758779100,280.35,280.50,280.35,280.45,279.89,96,0,22775,0
Ok,25-09-2025 11:10:00,1758778800,280.95,280.95,280.35,280.50,280.93,336,0,22679,0
Ok,25-09-2025 11:05:00,1758778500,280.95,281.35,280.55,280.55,280.89,316,0,22343,0
Ok,25-09-2025 11:00:00,1758778200,281.30,281.30,280.95,280.95,281.40,242,0,22027,0
Ok,25-09-2025 10:55:00,1758777900,281.05,281.75,280.90,281.25,280.82,431,0,21785,0
Ok,25-09-2025 10:50:00,1758777600,281.15,281.15,280.90,280.90,281.05,1240,0,21354,0
Ok,25-09-2025 10:45:00,1758777300,281.15,281.15,280.85,280.90,280.58,323,0,20114,0
Ok,25-09-2025 10:40:00,1758777000,280.85,281.15,280.40,280.85,280.63,834,0,19791,0
Ok,25-09-2025 10:35:00,1758776700,281.50,281.50,280.35,280.70,280.96,1030,0,18957,0
Ok,25-09-2025 10:30:00,1758776400,281.70,281.85,281.50,281.65,279.79,63,0,17927,0
Ok,25-09-2025 10:25:00,1758776100,282.20,282.50,281.70,281.70,282.25,888,0,17864,0
Ok,25-09-2025 10:20:00,1758775800,282.20,282.50,282.20,282.30,282.66,42,0,16976,0
Ok,25-09-2025 10:15:00,1758775500,282.00,282.55,281.75,282.15,282.08,2310,0,16934,0
Ok,25-09-2025 10:10:00,1758775200,282.30,282.50,282.00,282.25,282.75,236,0,14624,0
Ok,25-09-2025 10:05:00,1758774900,282.15,282.30,281.65,282.05,281.93,678,0,14388,0
Ok,25-09-2025 10:00:00,1758774600,283.10,283.65,282.00,282.00,283.25,1989,0,13710,0
Ok,25-09-2025 09:55:00,1758774300,281.70,282.85,281.70,282.45,282.21,463,0,11721,0
Ok,25-09-2025 09:50:00,1758774000,281.80,281.90,281.55,281.65,281.74,647,0,11258,0
Ok,25-09-2025 09:45:00,1758773700,281.95,281.95,281.05,281.05,281.18,563,0,10611,0
Ok,25-09-2025 09:40:00,1758773400,282.05,282.30,281.00,281.60,281.44,1175,0,10048,0
Ok,25-09-2025 09:35:00,1758773100,281.60,282.10,281.10,281.80,281.77,1291,0,8873,0
Ok,25-09-2025 09:30:00,1758772800,282.00,282.45,281.70,281.85,281.94,2064,0,7582,0
Ok,25-09-2025 09:25:00,1758772500,283.35,284.05,282.15,282.15,283.46,1103,0,5518,0
Ok,25-09-2025 09:20:00,1758772200,283.55,284.25,283.20,283.75,283.66,1660,0,4415,0
Ok,25-09-2025 09:15:00,1758771900,283.50,285.50,283.15,283.30,284.08,2515,0,2755,0
