stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,361.15,365.00,360.75,362.00,361.55,2422,0,153697,0
Ok,25-09-2025 15:20:00,1758793800,361.00,361.80,360.05,361.75,361.04,2024,0,151275,0
Ok,25-09-2025 15:15:00,1758793500,360.60,362.00,360.50,362.00,361.45,1336,0,149251,0
Ok,25-09-2025 15:10:00,1758793200,362.85,363.25,360.35,361.00,361.99,2587,0,147915,0
Ok,25-09-2025 15:05:00,1758792900,363.10,363.45,363.10,363.45,364.86,94,0,145328,0
Ok,25-09-2025 15:00:00,1758792600,363.00,363.15,363.00,363.10,364.86,23,0,145234,0
Ok,25-09-2025 14:55:00,1758792300,363.10,363.55,362.55,363.05,364.86,62,0,145211,0
Ok,25-09-2025 14:50:00,1758792000,363.20,365.00,362.50,363.10,363.35,6480,0,145149,0
Ok,25-09-2025 14:45:00,1758791700,362.20,365.70,361.50,363.70,363.12,19222,0,138669,0
Ok,25-09-2025 14:40:00,1758791400,362.55,364.50,361.50,362.25,362.48,16271,0,119447,0
Ok,25-09-2025 14:35:00,1758791100,362.70,367.30,362.30,363.00,364.77,24528,0,103176,0
Ok,25-09-2025 14:30:00,1758790800,366.55,368.50,362.30,362.80,365.03,20951,0,78648,0
Ok,25-09-2025 14:25:00,1758790500,368.10,368.10,363.00,366.50,365.65,15342,0,57697,0
Ok,25-09-2025 14:20:00,1758790200,365.55,368.20,365.55,368.20,367.47,6293,0,42355,0
Ok,25-09-2025 14:15:00,1758789900,367.30,367.30,364.20,365.40,365.90,10179,0,36062,0
Ok,25-09-2025 14:10:00,1758789600,365.90,368.50,365.05,367.25,367.04,5188,0,25883,0
Ok,25-09-2025 14:05:00,1758789300,365.80,368.50,365.80,366.80,367.80,1811,0,20695,0
Ok,25-09-2025 14:00:00,1758789000,366.25,366.25,365.60,365.65,366.10,52,0,18884,0
Ok,25-09-2025 13:55:00,1758788700,367.95,367.95,366.50,366.50,367.63,122,0,18832,0
Ok,25-09-2025 13:50:00,1758788400,364.55,367.80,364.55,367.80,366.96,4302,0,18710,0
Ok,25-09-2025 13:45:00,1758788100,365.50,365.50,364.55,364.55,365.11,394,0,14408,0
Ok,25-09-2025 13:40:00,1758787800,365.50,365.50,365.50,365.50,0.00,0,0,14014,0
Ok,25-09-2025 13:35:00,1758787500,365.65,365.85,365.30,365.50,365.85,73,0,14014,0
Ok,25-09-2025 13:30:00,1758787200,365.90,365.90,365.65,365.65,364.69,120,0,13941,0
Ok,25-09-2025 13:25:00,1758786900,365.05,365.90,365.05,365.90,365.86,100,0,13821,0
Ok,25-09-2025 13:20:00,1758786600,365.05,365.05,365.05,365.05,0.00,0,0,13721,0
Ok,25-09-2025 13:15:00,1758786300,365.05,365.05,365.05,365.05,365.86,14,0,13721,0
