stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,318.00,320.00,318.00,320.00,319.83,15119,0,147119,0
Ok,25-09-2025 15:20:00,1758793800,318.50,318.90,318.45,318.60,317.85,3638,0,132000,0
Ok,25-09-2025 15:15:00,1758793500,318.25,318.80,318.00,318.60,319.15,2040,0,128362,0
Ok,25-09-2025 15:10:00,1758793200,318.20,318.25,317.85,318.15,318.00,1553,0,126322,0
Ok,25-09-2025 15:05:00,1758792900,318.00,318.25,318.00,318.25,318.01,512,0,124769,0
Ok,25-09-2025 15:00:00,1758792600,318.70,318.70,318.00,318.05,318.31,579,0,124257,0
Ok,25-09-2025 14:55:00,1758792300,318.65,318.85,318.65,318.70,315.64,256,0,123678,0
Ok,25-09-2025 14:50:00,1758792000,319.00,319.15,318.25,318.60,317.96,1456,0,123422,0
Ok,25-09-2025 14:45:00,1758791700,318.15,319.35,318.15,319.05,318.58,5447,0,121966,0
Ok,25-09-2025 14:40:00,1758791400,319.55,319.55,318.40,318.40,320.60,330,0,116519,0
Ok,25-09-2025 14:35:00,1758791100,319.85,320.00,319.50,320.00,319.98,20423,0,116189,0
Ok,25-09-2025 14:30:00,1758790800,319.25,320.00,319.25,319.50,319.83,13064,0,95766,0
Ok,25-09-2025 14:25:00,1758790500,318.15,319.70,318.15,319.50,319.67,3329,0,82702,0
Ok,25-09-2025 14:20:00,1758790200,318.10,318.15,317.65,318.05,317.96,268,0,79373,0
Ok,25-09-2025 14:15:00,1758789900,318.00,318.25,318.00,318.25,316.00,320,0,79105,0
Ok,25-09-2025 14:10:00,1758789600,318.60,318.60,317.75,318.20,318.09,1886,0,78785,0
Ok,25-09-2025 14:05:00,1758789300,319.05,319.05,318.50,318.50,319.37,466,0,76899,0
Ok,25-09-2025 14:00:00,1758789000,320.00,320.00,318.35,319.00,319.45,8277,0,76433,0
Ok,25-09-2025 13:55:00,1758788700,321.55,321.55,321.55,321.55,321.22,150,0,68156,0
Ok,25-09-2025 13:50:00,1758788400,320.95,321.25,320.95,320.95,321.22,1322,0,68006,0
Ok,25-09-2025 13:45:00,1758788100,321.25,321.25,321.15,321.20,321.61,1629,0,66684,0
Ok,25-09-2025 13:40:00,1758787800,321.20,321.25,321.00,321.25,321.21,614,0,65055,0
Ok,25-09-2025 13:35:00,1758787500,321.00,321.20,321.00,321.20,320.90,2085,0,64441,0
Ok,25-09-2025 13:30:00,1758787200,321.00,321.00,321.00,321.00,321.22,20,0,62356,0
Ok,25-09-2025 13:25:00,1758786900,321.20,321.20,321.00,321.00,321.22,102,0,62336,0
Ok,25-09-2025 13:20:00,1758786600,321.05,321.05,321.05,321.05,321.22,50,0,62234,0
Ok,25-09-2025 13:15:00,1758786300,321.50,321.50,321.05,321.20,321.22,153,0,62184,0
Ok,25-09-2025 13:10:00,1758786000,321.20,321.60,321.20,321.50,321.22,65,0,62031,0
Ok,25-09-2025 13:05:00,1758785700,320.95,321.25,320.95,321.20,321.22,200,0,61966,0
Ok,25-09-2025 13:00:00,1758785400,320.95,320.95,320.90,320.95,321.22,16,0,61766,0
Ok,25-09-2025 12:55:00,1758785100,320.50,320.80,320.50,320.80,321.22,36,0,61750,0
Ok,25-09-2025 12:50:00,1758784800,320.50,320.70,320.50,320.70,321.22,76,0,61714,0
Ok,25-09-2025 12:45:00,1758784500,320.95,320.95,320.20,320.50,321.22,40,0,61638,0
Ok,25-09-2025 12:40:00,1758784200,320.35,320.95,320.35,320.95,321.22,500,0,61598,0
Ok,25-09-2025 12:35:00,1758783900,320.35,320.35,320.15,320.35,318.96,270,0,61098,0
Ok,25-09-2025 12:30:00,1758783600,320.65,320.65,320.35,320.35,321.23,53,0,60828,0
Ok,25-09-2025 12:25:00,1758783300,320.35,320.35,320.35,320.35,321.23,8,0,60775,0
Ok,25-09-2025 12:20:00,1758783000,320.35,320.35,320.35,320.35,320.23,608,0,60767,0
Ok,25-09-2025 12:15:00,1758782700,320.35,320.40,320.35,320.40,321.24,40,0,60159,0
Ok,25-09-2025 12:10:00,1758782400,320.60,320.60,320.35,320.35,321.24,25,0,60119,0
Ok,25-09-2025 12:05:00,1758782100,320.15,320.85,320.15,320.60,321.24,367,0,60094,0
Ok,25-09-2025 12:00:00,1758781800,320.25,320.25,320.25,320.25,0.00,0,0,59727,0
Ok,25-09-2025 11:55:00,1758781500,320.20,320.25,320.20,320.25,318.13,192,0,59727,0
Ok,25-09-2025 11:50:00,1758781200,320.40,320.60,320.20,320.60,321.25,113,0,59535,0
Ok,25-09-2025 11:45:00,1758780900,320.40,320.65,320.40,320.40,321.25,97,0,59422,0
