stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,25-09-2025 15:25:00,1758794100,464.25,464.25,460.00,461.05,461.48,10187,0,304253,0
Ok,25-09-2025 15:20:00,1758793800,462.80,464.80,462.25,464.35,463.23,9098,0,294066,0
Ok,25-09-2025 15:15:00,1758793500,465.30,465.65,462.95,463.30,463.97,11954,0,284968,0
Ok,25-09-2025 15:10:00,1758793200,465.00,465.95,464.55,465.20,466.39,1630,0,273014,0
Ok,25-09-2025 15:05:00,1758792900,465.30,466.85,464.05,464.80,465.39,5844,0,271384,0
Ok,25-09-2025 15:00:00,1758792600,468.35,468.70,465.30,465.80,467.01,2770,0,265540,0
Ok,25-09-2025 14:55:00,1758792300,469.95,470.00,468.30,468.30,469.81,1501,0,262770,0
Ok,25-09-2025 14:50:00,1758792000,470.50,470.80,468.30,469.80,468.94,1619,0,261269,0
Ok,25-09-2025 14:45:00,1758791700,470.60,470.60,469.40,469.55,470.52,1909,0,259650,0
Ok,25-09-2025 14:40:00,1758791400,471.45,471.45,470.60,470.70,470.18,605,0,257741,0
Ok,25-09-2025 14:35:00,1758791100,470.00,472.20,470.00,471.45,469.17,807,0,257136,0
Ok,25-09-2025 14:30:00,1758790800,469.75,470.90,469.75,470.15,470.88,326,0,256329,0
Ok,25-09-2025 14:25:00,1758790500,470.70,470.90,470.00,470.00,471.99,756,0,256003,0
Ok,25-09-2025 14:20:00,1758790200,469.80,470.75,469.80,470.25,465.54,193,0,255247,0
Ok,25-09-2025 14:15:00,1758789900,470.20,470.20,469.65,469.65,465.29,189,0,255054,0
Ok,25-09-2025 14:10:00,1758789600,469.20,470.00,469.20,469.95,478.79,165,0,254865,0
Ok,25-09-2025 14:05:00,1758789300,469.90,470.35,469.40,469.40,469.35,539,0,254700,0
Ok,25-09-2025 14:00:00,1758789000,470.20,470.95,469.05,470.95,469.76,4690,0,254161,0
Ok,25-09-2025 13:55:00,1758788700,472.00,472.00,470.75,470.80,469.54,528,0,249471,0
Ok,25-09-2025 13:50:00,1758788400,470.70,472.45,470.70,472.20,471.63,1010,0,248943,0
Ok,25-09-2025 13:45:00,1758788100,470.25,470.65,470.20,470.65,479.03,55,0,247933,0
Ok,25-09-2025 13:40:00,1758787800,471.30,471.30,470.25,470.55,479.03,113,0,247878,0
Ok,25-09-2025 13:35:00,1758787500,471.75,471.75,471.20,471.30,470.68,1182,0,247765,0
Ok,25-09-2025 13:30:00,1758787200,471.20,471.50,471.20,471.50,479.07,207,0,246583,0
Ok,25-09-2025 13:25:00,1758786900,470.20,470.85,470.20,470.85,453.93,98,0,246376,0
