stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,396.15,396.25,395.75,395.95,395.99,249109,0,11383327,0
Ok,26-09-2025 15:15:00,1758879900,395.65,396.05,395.65,396.05,395.91,279777,0,11134218,0
Ok,26-09-2025 15:10:00,1758879600,395.70,396.00,395.45,395.80,395.77,258972,0,10854441,0
Ok,26-09-2025 15:05:00,1758879300,396.05,396.15,395.60,395.75,396.02,152996,0,10595469,0
Ok,26-09-2025 15:00:00,1758879000,395.70,396.35,395.45,396.10,395.74,199499,0,10442473,0
Ok,26-09-2025 14:55:00,1758878700,395.75,396.20,395.70,396.15,395.26,106408,0,10242974,0
Ok,26-09-2025 14:50:00,1758878400,396.80,397.00,395.60,395.60,396.37,150010,0,10136566,0
Ok,26-09-2025 14:45:00,1758878100,396.85,396.95,396.10,396.70,396.92,117980,0,9986556,0
Ok,26-09-2025 14:40:00,1758877800,396.50,397.40,396.20,396.80,396.78,155518,0,9868576,0
Ok,26-09-2025 14:35:00,1758877500,395.45,396.60,395.45,396.45,395.90,161619,0,9713058,0
Ok,26-09-2025 14:30:00,1758877200,395.25,395.60,395.00,395.50,395.43,128242,0,9551439,0
Ok,26-09-2025 14:25:00,1758876900,394.75,395.40,394.55,395.10,394.98,130402,0,9423197,0
Ok,26-09-2025 14:20:00,1758876600,395.45,395.50,394.65,394.80,394.44,142998,0,9292795,0
Ok,26-09-2025 14:15:00,1758876300,395.90,395.90,395.10,395.50,396.37,86828,0,9149797,0
Ok,26-09-2025 14:10:00,1758876000,395.90,396.50,395.80,395.85,395.23,84048,0,9062969,0
Ok,26-09-2025 14:05:00,1758875700,395.25,395.95,395.25,395.85,396.05,125294,0,8978921,0
Ok,26-09-2025 14:00:00,1758875400,396.75,396.75,395.35,395.35,395.86,132611,0,8853627,0
Ok,26-09-2025 13:55:00,1758875100,396.90,397.40,396.45,396.80,396.48,111844,0,8721016,0
Ok,26-09-2025 13:50:00,1758874800,397.50,397.65,396.50,396.75,397.24,108574,0,8609172,0
Ok,26-09-2025 13:45:00,1758874500,397.70,398.45,397.70,397.75,397.44,73859,0,8500598,0
Ok,26-09-2025 13:40:00,1758874200,397.55,397.85,397.30,397.85,398.03,62499,0,8426739,0
Ok,26-09-2025 13:35:00,1758873900,397.45,397.95,397.45,397.60,397.28,103470,0,8364240,0
Ok,26-09-2025 13:30:00,1758873600,398.00,398.05,397.30,397.50,397.56,194050,0,8260770,0
