stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,867.80,868.60,866.75,866.80,867.25,1842,0,201351,0
Ok,26-09-2025 15:15:00,1758879900,869.05,870.50,867.05,867.40,868.79,3057,0,199509,0
Ok,26-09-2025 15:10:00,1758879600,869.55,869.55,868.85,868.85,871.85,814,0,196452,0
Ok,26-09-2025 15:05:00,1758879300,869.50,870.00,868.20,869.95,868.92,3716,0,195638,0
Ok,26-09-2025 15:00:00,1758879000,868.35,869.40,867.20,869.05,868.03,2689,0,191922,0
Ok,26-09-2025 14:55:00,1758878700,871.65,872.35,869.00,869.00,870.37,2073,0,189233,0
Ok,26-09-2025 14:50:00,1758878400,870.35,873.45,869.30,871.85,871.84,5323,0,187160,0
Ok,26-09-2025 14:45:00,1758878100,870.70,871.30,869.75,870.55,869.39,707,0,181837,0
Ok,26-09-2025 14:40:00,1758877800,873.45,873.45,870.00,870.20,871.74,2274,0,181130,0
Ok,26-09-2025 14:35:00,1758877500,872.75,873.85,870.65,872.55,871.38,1749,0,178856,0
Ok,26-09-2025 14:30:00,1758877200,875.00,875.00,871.20,872.00,873.62,822,0,177107,0
Ok,26-09-2025 14:25:00,1758876900,869.80,877.45,869.80,874.15,874.43,6956,0,176285,0
Ok,26-09-2025 14:20:00,1758876600,868.00,869.90,867.30,869.90,869.11,952,0,169329,0
Ok,26-09-2025 14:15:00,1758876300,878.25,878.25,868.85,868.85,872.44,5842,0,168377,0
Ok,26-09-2025 14:10:00,1758876000,878.40,879.60,877.10,877.60,876.23,1113,0,162535,0
Ok,26-09-2025 14:05:00,1758875700,878.20,879.45,877.40,878.00,879.36,1076,0,161422,0
Ok,26-09-2025 14:00:00,1758875400,879.55,879.55,878.05,879.10,878.41,502,0,160346,0
Ok,26-09-2025 13:55:00,1758875100,878.80,879.70,878.15,879.10,878.13,514,0,159844,0
Ok,26-09-2025 13:50:00,1758874800,877.65,878.95,876.50,878.85,878.07,3199,0,159330,0
Ok,26-09-2025 13:45:00,1758874500,877.30,877.90,876.75,877.60,879.25,439,0,156131,0
Ok,26-09-2025 13:40:00,1758874200,877.00,878.20,876.80,877.60,876.05,416,0,155692,0
Ok,26-09-2025 13:35:00,1758873900,876.85,877.35,875.65,876.95,877.02,913,0,155276,0
