stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,352.50,353.95,352.40,352.40,353.20,29421,0,1128072,0
Ok,26-09-2025 15:15:00,1758879900,356.40,356.40,353.10,353.10,353.99,23107,0,1098651,0
Ok,26-09-2025 15:10:00,1758879600,357.60,357.75,355.05,356.05,356.75,27549,0,1075544,0
Ok,26-09-2025 15:05:00,1758879300,356.20,356.70,355.65,355.65,356.60,6089,0,1047995,0
Ok,26-09-2025 15:00:00,1758879000,355.30,356.45,354.40,356.15,354.35,18053,0,1041906,0
Ok,26-09-2025 14:55:00,1758878700,356.95,357.25,356.15,356.30,357.41,10260,0,1023853,0
Ok,26-09-2025 14:50:00,1758878400,355.60,356.80,355.20,356.80,356.43,5119,0,1013593,0
Ok,26-09-2025 14:45:00,1758878100,356.45,357.45,355.05,355.45,355.88,7908,0,1008474,0
Ok,26-09-2025 14:40:00,1758877800,354.05,358.30,353.60,356.25,357.20,31594,0,1000566,0
Ok,26-09-2025 14:35:00,1758877500,354.25,354.50,353.20,354.30,353.15,5435,0,968972,0
Ok,26-09-2025 14:30:00,1758877200,353.20,354.45,351.70,354.20,353.23,26690,0,963537,0
Ok,26-09-2025 14:25:00,1758876900,350.80,352.95,350.80,352.25,351.85,6841,0,936847,0
Ok,26-09-2025 14:20:00,1758876600,350.80,351.45,350.25,351.00,351.61,2616,0,930006,0
Ok,26-09-2025 14:15:00,1758876300,350.80,351.45,350.80,351.20,352.16,2818,0,927390,0
Ok,26-09-2025 14:10:00,1758876000,352.25,352.85,350.50,350.80,350.86,6985,0,924572,0
Ok,26-09-2025 14:05:00,1758875700,352.20,353.45,351.70,352.05,353.64,3540,0,917587,0
Ok,26-09-2025 14:00:00,1758875400,353.90,354.35,352.00,353.10,353.37,13222,0,914047,0
Ok,26-09-2025 13:55:00,1758875100,355.45,356.45,353.00,353.00,355.10,14002,0,900825,0
Ok,26-09-2025 13:50:00,1758874800,354.90,356.00,354.30,355.80,355.51,5111,0,886823,0
Ok,26-09-2025 13:45:00,1758874500,355.20,355.95,354.15,354.60,354.52,9775,0,881712,0
Ok,26-09-2025 13:40:00,1758874200,356.30,356.70,355.15,355.55,354.52,7657,0,871937,0
Ok,26-09-2025 13:35:00,1758873900,356.15,357.35,356.10,356.80,357.81,6801,0,864280,0
Ok,26-09-2025 13:30:00,1758873600,357.75,357.95,356.00,356.00,356.19,2948,0,857479,0
Ok,26-09-2025 13:25:00,1758873300,358.00,358.00,356.30,357.40,357.73,6227,0,854531,0
Ok,26-09-2025 13:20:00,1758873000,358.95,359.10,357.30,357.60,357.80,6490,0,848304,0
Ok,26-09-2025 13:15:00,1758872700,358.40,358.85,357.30,358.85,358.03,7677,0,841814,0
Ok,26-09-2025 13:10:00,1758872400,360.05,360.15,359.50,359.55,359.13,5035,0,834137,0
Ok,26-09-2025 13:05:00,1758872100,361.70,361.70,360.00,360.00,360.35,6737,0,829102,0
Ok,26-09-2025 13:00:00,1758871800,360.75,361.85,359.85,361.85,361.41,7085,0,822365,0
Ok,26-09-2025 12:55:00,1758871500,361.05,361.80,358.75,359.75,360.11,38050,0,815280,0
Ok,26-09-2025 12:50:00,1758871200,362.60,364.40,362.00,362.00,362.74,20462,0,777230,0
Ok,26-09-2025 12:45:00,1758870900,363.95,366.00,362.10,362.75,363.78,28577,0,756768,0
Ok,26-09-2025 12:40:00,1758870600,361.30,364.50,360.55,364.50,363.11,11492,0,728191,0
Ok,26-09-2025 12:35:00,1758870300,360.45,361.35,360.45,361.00,360.11,4977,0,716699,0
Ok,26-09-2025 12:30:00,1758870000,362.80,362.80,359.90,360.30,361.94,23175,0,711722,0
Ok,26-09-2025 12:25:00,1758869700,358.20,362.20,357.80,362.20,360.25,12009,0,688547,0
Ok,26-09-2025 12:20:00,1758869400,358.10,358.85,358.10,358.35,356.53,3362,0,676538,0
Ok,26-09-2025 12:15:00,1758869100,359.55,360.00,358.30,359.45,359.31,8674,0,673176,0
Ok,26-09-2025 12:10:00,1758868800,359.10,359.45,358.45,359.10,358.54,612,0,664502,0
Ok,26-09-2025 12:05:00,1758868500,360.45,360.45,358.15,358.50,359.37,7800,0,663890,0
Ok,26-09-2025 12:00:00,1758868200,357.30,360.45,357.05,360.00,359.79,10167,0,656090,0
Ok,26-09-2025 11:55:00,1758867900,355.20,359.10,355.20,357.80,356.83,15056,0,645923,0
Ok,26-09-2025 11:50:00,1758867600,355.00,355.70,354.25,354.30,355.88,2359,0,630867,0
Ok,26-09-2025 11:45:00,1758867300,355.65,355.65,353.60,354.85,354.18,8520,0,628508,0
Ok,26-09-2025 11:40:00,1758867000,354.25,355.10,354.15,355.10,354.80,4838,0,619988,0
Ok,26-09-2025 11:35:00,1758866700,355.95,356.15,354.60,354.60,354.88,4869,0,615150,0
