stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,236.45,236.60,236.38,236.40,236.99,72806,0,6531377,0
Ok,26-09-2025 15:15:00,1758879900,236.29,236.50,236.18,236.42,236.06,88092,0,6458571,0
Ok,26-09-2025 15:10:00,1758879600,236.35,236.39,236.14,236.32,236.64,81325,0,6370479,0
Ok,26-09-2025 15:05:00,1758879300,236.50,236.50,236.07,236.28,236.27,88425,0,6289154,0
Ok,26-09-2025 15:00:00,1758879000,236.28,236.60,235.82,236.41,235.96,94980,0,6200729,0
Ok,26-09-2025 14:55:00,1758878700,236.36,236.55,236.07,236.19,236.45,35398,0,6105749,0
Ok,26-09-2025 14:50:00,1758878400,237.14,237.28,236.30,236.35,236.80,38831,0,6070351,0
Ok,26-09-2025 14:45:00,1758878100,237.19,237.29,236.72,237.13,237.45,72463,0,6031520,0
Ok,26-09-2025 14:40:00,1758877800,237.11,237.46,236.88,237.25,237.11,62246,0,5959057,0
Ok,26-09-2025 14:35:00,1758877500,236.52,237.19,236.50,237.13,236.31,63597,0,5896811,0
Ok,26-09-2025 14:30:00,1758877200,236.10,236.70,235.89,236.60,236.44,80229,0,5833214,0
Ok,26-09-2025 14:25:00,1758876900,235.59,236.24,235.45,236.09,235.84,67247,0,5752985,0
Ok,26-09-2025 14:20:00,1758876600,235.93,236.20,235.54,235.61,235.71,138411,0,5685738,0
Ok,26-09-2025 14:15:00,1758876300,236.45,236.49,235.85,235.91,236.53,88448,0,5547327,0
Ok,26-09-2025 14:10:00,1758876000,236.74,236.80,236.38,236.42,236.53,43142,0,5458879,0
Ok,26-09-2025 14:05:00,1758875700,236.75,236.77,236.25,236.73,235.31,53479,0,5415737,0
Ok,26-09-2025 14:00:00,1758875400,236.94,237.08,236.40,236.70,237.00,271893,0,5362258,0
Ok,26-09-2025 13:55:00,1758875100,237.26,237.50,236.71,236.95,236.31,70923,0,5090365,0
Ok,26-09-2025 13:50:00,1758874800,237.02,237.27,236.54,237.27,237.49,79022,0,5019442,0
Ok,26-09-2025 13:45:00,1758874500,236.83,237.26,236.82,236.98,237.49,61626,0,4940420,0
Ok,26-09-2025 13:40:00,1758874200,237.04,237.04,236.56,236.78,236.40,44967,0,4878794,0
Ok,26-09-2025 13:35:00,1758873900,236.63,237.18,236.51,237.00,236.63,35046,0,4833827,0
Ok,26-09-2025 13:30:00,1758873600,237.00,237.00,236.37,236.65,236.57,56460,0,4798781,0
Ok,26-09-2025 13:25:00,1758873300,236.79,237.27,236.64,237.13,237.36,54240,0,4742321,0
Ok,26-09-2025 13:20:00,1758873000,237.41,237.41,236.64,236.80,236.70,66677,0,4688081,0
Ok,26-09-2025 13:15:00,1758872700,237.52,237.52,237.25,237.35,238.29,17496,0,4621404,0
Ok,26-09-2025 13:10:00,1758872400,238.06,238.07,237.47,237.53,237.29,37634,0,4603908,0
Ok,26-09-2025 13:05:00,1758872100,237.88,238.11,237.75,237.96,238.25,16735,0,4566274,0
Ok,26-09-2025 13:00:00,1758871800,238.02,238.20,237.84,237.94,237.44,38331,0,4549539,0
Ok,26-09-2025 12:55:00,1758871500,238.54,238.63,237.90,238.03,238.58,37016,0,4511208,0
Ok,26-09-2025 12:50:00,1758871200,238.33,238.76,238.25,238.56,238.62,36994,0,4474192,0
Ok,26-09-2025 12:45:00,1758870900,238.05,238.44,237.90,238.25,238.99,21472,0,4437198,0
Ok,26-09-2025 12:40:00,1758870600,238.12,238.20,237.92,238.09,236.41,18958,0,4415726,0
Ok,26-09-2025 12:35:00,1758870300,237.85,238.17,237.71,238.09,237.88,54382,0,4396768,0
Ok,26-09-2025 12:30:00,1758870000,238.93,238.94,237.83,238.00,238.27,60331,0,4342386,0
Ok,26-09-2025 12:25:00,1758869700,239.05,239.10,238.72,238.94,239.10,20694,0,4282055,0
Ok,26-09-2025 12:20:00,1758869400,238.46,238.99,238.39,238.99,237.80,25181,0,4261361,0
Ok,26-09-2025 12:15:00,1758869100,238.93,238.93,238.50,238.50,239.38,23377,0,4236180,0
Ok,26-09-2025 12:10:00,1758868800,238.22,239.04,238.18,238.94,238.79,68892,0,4212803,0
Ok,26-09-2025 12:05:00,1758868500,238.84,238.91,238.17,238.25,238.72,80976,0,4143911,0
Ok,26-09-2025 12:00:00,1758868200,239.54,239.54,238.71,238.71,239.31,20432,0,4062935,0
Ok,26-09-2025 11:55:00,1758867900,239.63,239.71,239.43,239.55,238.58,14840,0,4042503,0
Ok,26-09-2025 11:50:00,1758867600,239.40,239.72,239.34,239.68,239.30,39845,0,4027663,0
Ok,26-09-2025 11:45:00,1758867300,238.95,239.38,238.87,239.35,239.32,19787,0,3987818,0
Ok,26-09-2025 11:40:00,1758867000,239.22,239.45,238.80,238.84,239.14,71176,0,3968031,0
Ok,26-09-2025 11:35:00,1758866700,239.45,239.58,239.25,239.26,238.93,31609,0,3896855,0
Ok,26-09-2025 11:30:00,1758866400,239.80,239.80,239.40,239.50,240.36,37074,0,3865246,0
Ok,26-09-2025 11:25:00,1758866100,239.77,239.94,239.57,239.75,239.22,17462,0,3828172,0
Ok,26-09-2025 11:20:00,1758865800,239.60,239.88,239.28,239.80,239.56,40568,0,3810710,0
Ok,26-09-2025 11:15:00,1758865500,240.00,240.16,239.51,239.57,239.21,50235,0,3770142,0
Ok,26-09-2025 11:10:00,1758865200,239.95,240.28,239.75,240.05,240.50,38276,0,3719907,0
Ok,26-09-2025 11:05:00,1758864900,239.78,239.99,239.50,239.97,239.35,34415,0,3681631,0
Ok,26-09-2025 11:00:00,1758864600,240.51,240.54,239.55,239.61,239.87,87661,0,3647216,0
Ok,26-09-2025 10:55:00,1758864300,240.80,240.87,240.39,240.55,240.91,56609,0,3559555,0
Ok,26-09-2025 10:50:00,1758864000,241.88,241.88,241.12,241.13,241.55,24880,0,3502946,0
Ok,26-09-2025 10:45:00,1758863700,241.54,241.89,241.41,241.86,241.55,36062,0,3478066,0
Ok,26-09-2025 10:40:00,1758863400,241.43,241.55,241.01,241.53,241.55,33537,0,3442004,0
Ok,26-09-2025 10:35:00,1758863100,241.35,241.52,241.17,241.37,240.33,27929,0,3408467,0
Ok,26-09-2025 10:30:00,1758862800,241.60,241.72,241.11,241.22,241.56,57254,0,3380538,0
Ok,26-09-2025 10:25:00,1758862500,242.48,242.64,241.46,241.46,241.27,2279517,0,3323284,0
Ok,26-09-2025 10:20:00,1758862200,241.88,242.47,241.88,242.42,242.16,15249,0,1043767,0
Ok,26-09-2025 10:15:00,1758861900,241.74,242.07,241.65,241.93,242.16,11195,0,1028518,0
