stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,183.85,183.99,182.71,183.50,183.41,128177,0,3071251,0
Ok,26-09-2025 15:15:00,1758879900,184.60,184.95,183.99,184.00,184.46,33263,0,2943074,0
Ok,26-09-2025 15:10:00,1758879600,184.52,184.92,184.30,184.45,184.91,27954,0,2909811,0
Ok,26-09-2025 15:05:00,1758879300,184.00,184.86,184.00,184.28,184.04,14376,0,2881857,0
Ok,26-09-2025 15:00:00,1758879000,185.20,185.40,183.50,184.23,184.01,62437,0,2867481,0
Ok,26-09-2025 14:55:00,1758878700,185.30,185.30,185.29,185.29,188.15,5040,0,2805044,0
Ok,26-09-2025 14:50:00,1758878400,185.37,185.37,184.90,185.29,184.88,8548,0,2800004,0
Ok,26-09-2025 14:45:00,1758878100,184.99,185.46,184.87,185.20,181.93,8937,0,2791456,0
Ok,26-09-2025 14:40:00,1758877800,185.22,185.22,184.50,185.00,184.89,66320,0,2782519,0
Ok,26-09-2025 14:35:00,1758877500,185.10,185.69,185.00,185.69,185.39,55862,0,2716199,0
Ok,26-09-2025 14:30:00,1758877200,185.00,185.10,184.70,185.05,184.76,51449,0,2660337,0
Ok,26-09-2025 14:25:00,1758876900,185.37,185.55,184.20,185.10,185.15,62915,0,2608888,0
Ok,26-09-2025 14:20:00,1758876600,186.33,186.70,184.05,185.44,184.93,110402,0,2545973,0
Ok,26-09-2025 14:15:00,1758876300,185.98,187.02,185.89,186.50,186.57,35143,0,2435571,0
Ok,26-09-2025 14:10:00,1758876000,185.99,186.10,185.99,186.10,186.12,46594,0,2400428,0
Ok,26-09-2025 14:05:00,1758875700,188.76,188.89,185.69,186.00,186.54,114056,0,2353834,0
Ok,26-09-2025 14:00:00,1758875400,187.90,188.88,187.70,188.45,188.82,32141,0,2239778,0
Ok,26-09-2025 13:55:00,1758875100,187.90,188.49,187.29,187.99,187.19,13520,0,2207637,0
Ok,26-09-2025 13:50:00,1758874800,186.77,187.89,186.51,187.53,187.48,32246,0,2194117,0
Ok,26-09-2025 13:45:00,1758874500,187.20,187.80,186.60,187.00,187.29,13864,0,2161871,0
Ok,26-09-2025 13:40:00,1758874200,187.20,187.66,186.77,187.38,186.59,9455,0,2148007,0
Ok,26-09-2025 13:35:00,1758873900,186.19,187.00,185.61,187.00,186.43,26058,0,2138552,0
Ok,26-09-2025 13:30:00,1758873600,185.97,186.86,185.55,186.15,186.36,24762,0,2112494,0
Ok,26-09-2025 13:25:00,1758873300,186.46,186.46,185.20,186.04,185.81,58754,0,2087732,0
Ok,26-09-2025 13:20:00,1758873000,187.99,187.99,186.10,186.31,186.71,76420,0,2028978,0
Ok,26-09-2025 13:15:00,1758872700,187.81,188.47,187.76,187.95,187.75,14330,0,1952558,0
Ok,26-09-2025 13:10:00,1758872400,189.20,189.49,187.50,188.00,188.98,131969,0,1938228,0
Ok,26-09-2025 13:05:00,1758872100,188.99,189.44,188.57,188.93,188.56,31672,0,1806259,0
Ok,26-09-2025 13:00:00,1758871800,189.00,189.30,188.68,188.89,189.14,7804,0,1774587,0
Ok,26-09-2025 12:55:00,1758871500,189.93,190.50,188.71,189.10,189.48,49409,0,1766783,0
Ok,26-09-2025 12:50:00,1758871200,190.50,190.72,189.88,189.90,190.14,16660,0,1717374,0
Ok,26-09-2025 12:45:00,1758870900,189.94,190.49,189.75,190.49,189.12,8182,0,1700714,0
Ok,26-09-2025 12:40:00,1758870600,189.97,190.44,189.70,189.90,190.31,14068,0,1692532,0
Ok,26-09-2025 12:35:00,1758870300,188.99,189.98,188.76,189.87,189.10,24330,0,1678464,0
Ok,26-09-2025 12:30:00,1758870000,190.35,190.99,188.46,188.72,189.84,64678,0,1654134,0
Ok,26-09-2025 12:25:00,1758869700,189.69,190.50,189.69,190.50,190.02,79806,0,1589456,0
Ok,26-09-2025 12:20:00,1758869400,189.75,189.90,189.56,189.62,190.09,14026,0,1509650,0
