stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,974.35,974.95,972.75,973.50,974.04,57755,0,2428421,0
Ok,26-09-2025 15:15:00,1758879900,977.50,977.60,974.55,974.65,975.37,79334,0,2370666,0
Ok,26-09-2025 15:10:00,1758879600,979.50,979.80,977.80,977.80,979.04,25504,0,2291332,0
Ok,26-09-2025 15:05:00,1758879300,979.95,979.95,978.00,979.35,979.14,15208,0,2265828,0
Ok,26-09-2025 15:00:00,1758879000,978.10,979.70,976.60,979.10,978.06,31004,0,2250620,0
Ok,26-09-2025 14:55:00,1758878700,978.25,978.50,977.05,978.30,977.66,14615,0,2219616,0
Ok,26-09-2025 14:50:00,1758878400,979.80,980.00,978.05,978.50,979.85,18129,0,2205001,0
Ok,26-09-2025 14:45:00,1758878100,979.80,979.95,978.05,979.85,977.44,11950,0,2186872,0
Ok,26-09-2025 14:40:00,1758877800,979.25,980.00,978.55,979.90,980.35,18697,0,2174922,0
Ok,26-09-2025 14:35:00,1758877500,979.60,980.30,979.30,979.75,980.35,15784,0,2156225,0
Ok,26-09-2025 14:30:00,1758877200,979.75,980.00,979.10,980.00,979.27,13752,0,2140441,0
Ok,26-09-2025 14:25:00,1758876900,982.70,983.00,979.05,979.90,981.09,27924,0,2126689,0
Ok,26-09-2025 14:20:00,1758876600,981.85,982.65,981.05,982.65,982.39,16461,0,2098765,0
Ok,26-09-2025 14:15:00,1758876300,982.65,982.85,980.85,982.00,981.24,19201,0,2082304,0
Ok,26-09-2025 14:10:00,1758876000,983.60,983.60,981.00,982.05,984.28,9015,0,2063103,0
Ok,26-09-2025 14:05:00,1758875700,980.85,983.25,980.15,983.25,980.87,17858,0,2054088,0
Ok,26-09-2025 14:00:00,1758875400,981.50,982.05,980.30,981.05,981.15,25860,0,2036230,0
Ok,26-09-2025 13:55:00,1758875100,981.15,982.95,980.60,981.65,980.56,11819,0,2010370,0
Ok,26-09-2025 13:50:00,1758874800,981.35,982.15,979.35,981.05,981.43,18153,0,1998551,0
Ok,26-09-2025 13:45:00,1758874500,983.70,984.40,981.70,981.70,982.40,20347,0,1980398,0
Ok,26-09-2025 13:40:00,1758874200,982.90,984.70,982.50,983.85,984.55,20804,0,1960051,0
Ok,26-09-2025 13:35:00,1758873900,981.50,983.80,980.60,983.50,981.74,10254,0,1939247,0
Ok,26-09-2025 13:30:00,1758873600,982.95,983.95,981.65,981.65,982.53,19733,0,1928993,0
Ok,26-09-2025 13:25:00,1758873300,984.20,985.40,983.20,983.45,984.11,28582,0,1909260,0
Ok,26-09-2025 13:20:00,1758873000,985.45,986.25,983.00,984.90,985.55,19099,0,1880678,0
Ok,26-09-2025 13:15:00,1758872700,985.35,985.90,983.30,985.40,984.49,22077,0,1861579,0
Ok,26-09-2025 13:10:00,1758872400,985.05,985.80,983.80,984.70,984.45,17842,0,1839502,0
Ok,26-09-2025 13:05:00,1758872100,983.70,985.45,983.20,985.15,985.15,12181,0,1821660,0
Ok,26-09-2025 13:00:00,1758871800,982.30,983.85,980.65,983.75,982.59,22830,0,1809479,0
Ok,26-09-2025 12:55:00,1758871500,983.45,983.50,982.00,982.45,983.06,8007,0,1786649,0
Ok,26-09-2025 12:50:00,1758871200,979.90,984.20,979.20,983.50,980.88,25692,0,1778642,0
Ok,26-09-2025 12:45:00,1758870900,979.50,980.05,978.00,979.80,978.44,19692,0,1752950,0
Ok,26-09-2025 12:40:00,1758870600,979.95,980.15,979.00,979.55,980.09,84723,0,1733258,0
Ok,26-09-2025 12:35:00,1758870300,985.00,986.85,979.15,980.00,981.24,135408,0,1648535,0
Ok,26-09-2025 12:30:00,1758870000,986.00,986.85,985.05,985.60,985.82,16234,0,1513127,0
Ok,26-09-2025 12:25:00,1758869700,987.60,988.00,986.30,986.70,987.24,10684,0,1496893,0
Ok,26-09-2025 12:20:00,1758869400,985.30,988.30,984.85,987.90,987.03,16674,0,1486209,0
Ok,26-09-2025 12:15:00,1758869100,984.05,985.60,983.60,985.20,984.45,14473,0,1469535,0
Ok,26-09-2025 12:10:00,1758868800,983.60,984.95,983.30,984.20,984.86,12909,0,1455062,0
Ok,26-09-2025 12:05:00,1758868500,983.40,984.90,982.85,984.00,983.95,11197,0,1442153,0
Ok,26-09-2025 12:00:00,1758868200,989.05,989.15,982.65,983.35,985.09,17148,0,1430956,0
Ok,26-09-2025 11:55:00,1758867900,987.80,989.15,986.95,989.15,988.56,8779,0,1413808,0
Ok,26-09-2025 11:50:00,1758867600,985.75,987.95,985.75,987.90,986.61,10785,0,1405029,0
Ok,26-09-2025 11:45:00,1758867300,984.95,987.15,984.55,986.20,986.24,12382,0,1394244,0
Ok,26-09-2025 11:40:00,1758867000,985.25,985.95,983.45,984.80,984.78,26769,0,1381862,0
Ok,26-09-2025 11:35:00,1758866700,987.05,987.30,985.05,986.00,985.39,16183,0,1355093,0
Ok,26-09-2025 11:30:00,1758866400,987.70,989.05,986.25,986.85,988.04,16309,0,1338910,0
Ok,26-09-2025 11:25:00,1758866100,988.00,988.95,986.60,987.85,987.54,25391,0,1322601,0
Ok,26-09-2025 11:20:00,1758865800,986.25,988.15,985.10,988.15,986.47,13372,0,1297210,0
Ok,26-09-2025 11:15:00,1758865500,987.60,988.10,985.20,986.20,986.27,14763,0,1283838,0
Ok,26-09-2025 11:10:00,1758865200,986.10,990.95,985.55,988.40,988.92,149534,0,1269075,0
Ok,26-09-2025 11:05:00,1758864900,985.95,986.10,984.60,985.70,985.57,28616,0,1119541,0
Ok,26-09-2025 11:00:00,1758864600,988.70,988.80,985.05,985.90,986.25,25206,0,1090925,0
Ok,26-09-2025 10:55:00,1758864300,988.00,989.70,987.70,988.80,988.85,14604,0,1065719,0
Ok,26-09-2025 10:50:00,1758864000,989.20,989.95,987.50,988.60,988.49,21696,0,1051115,0
Ok,26-09-2025 10:45:00,1758863700,987.70,989.55,987.25,989.35,988.57,10688,0,1029419,0
Ok,26-09-2025 10:40:00,1758863400,988.80,989.55,986.85,987.75,987.76,10753,0,1018731,0
Ok,26-09-2025 10:35:00,1758863100,987.50,988.95,986.05,988.85,987.20,15910,0,1007978,0
Ok,26-09-2025 10:30:00,1758862800,988.80,989.00,986.60,987.55,987.47,17662,0,992068,0
Ok,26-09-2025 10:25:00,1758862500,989.65,990.00,987.80,988.90,989.34,13378,0,974406,0
Ok,26-09-2025 10:20:00,1758862200,992.85,993.15,989.00,989.85,989.63,18505,0,961028,0
Ok,26-09-2025 10:15:00,1758861900,989.65,994.00,989.00,993.00,991.01,29518,0,942523,0
Ok,26-09-2025 10:10:00,1758861600,991.10,994.00,989.20,990.00,991.34,34523,0,913005,0
Ok,26-09-2025 10:05:00,1758861300,991.70,992.10,990.25,991.50,990.85,13789,0,878482,0
Ok,26-09-2025 10:00:00,1758861000,993.65,993.65,990.20,991.75,991.58,13898,0,864693,0
Ok,26-09-2025 09:55:00,1758860700,994.70,995.00,992.65,993.40,994.77,67145,0,850795,0
Ok,26-09-2025 09:50:00,1758860400,999.50,1001.85,991.70,994.95,995.54,102491,0,783650,0
Ok,26-09-2025 09:45:00,1758860100,993.15,1001.30,993.15,999.30,997.72,57082,0,681159,0
Ok,26-09-2025 09:40:00,1758859800,988.30,994.00,988.25,993.70,990.27,149119,0,624077,0
Ok,26-09-2025 09:35:00,1758859500,988.95,990.00,985.55,988.35,988.88,53304,0,474958,0
Ok,26-09-2025 09:30:00,1758859200,985.95,989.55,985.05,989.00,987.07,54787,0,421654,0
Ok,26-09-2025 09:25:00,1758858900,995.85,996.20,986.00,986.05,990.53,147089,0,366867,0
Ok,26-09-2025 09:20:00,1758858600,998.55,1002.60,995.00,996.45,998.89,74443,0,219778,0
Ok,26-09-2025 09:15:00,1758858300,1002.90,1006.50,996.55,999.50,1001.08,138311,0,145335,0
