stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,154.95,155.11,154.82,154.83,154.76,158095,0,5917346,0
Ok,26-09-2025 15:15:00,1758879900,155.07,155.07,154.80,154.85,155.09,235671,0,5759251,0
Ok,26-09-2025 15:10:00,1758879600,155.22,155.29,155.03,155.10,154.37,56252,0,5523580,0
Ok,26-09-2025 15:05:00,1758879300,155.40,155.46,155.31,155.31,155.39,114019,0,5467328,0
Ok,26-09-2025 15:00:00,1758879000,155.38,155.44,155.06,155.37,154.96,75429,0,5353309,0
Ok,26-09-2025 14:55:00,1758878700,155.27,155.46,155.16,155.44,156.38,44804,0,5277880,0
Ok,26-09-2025 14:50:00,1758878400,155.42,155.59,155.14,155.14,155.55,62500,0,5233076,0
Ok,26-09-2025 14:45:00,1758878100,155.51,155.56,155.30,155.50,155.60,64713,0,5170576,0
Ok,26-09-2025 14:40:00,1758877800,155.38,155.61,155.33,155.53,154.60,56159,0,5105863,0
Ok,26-09-2025 14:35:00,1758877500,155.32,155.45,155.20,155.37,155.70,69723,0,5049704,0
Ok,26-09-2025 14:30:00,1758877200,155.26,155.37,155.06,155.25,154.97,67535,0,4979981,0
Ok,26-09-2025 14:25:00,1758876900,154.91,155.40,154.87,155.22,155.35,131438,0,4912446,0
Ok,26-09-2025 14:20:00,1758876600,155.20,155.33,155.00,155.00,154.91,119385,0,4781008,0
Ok,26-09-2025 14:15:00,1758876300,155.49,155.49,155.20,155.21,155.06,31938,0,4661623,0
Ok,26-09-2025 14:10:00,1758876000,155.35,155.53,155.31,155.47,155.66,53036,0,4629685,0
Ok,26-09-2025 14:05:00,1758875700,155.28,155.31,155.16,155.31,155.29,36597,0,4576649,0
Ok,26-09-2025 14:00:00,1758875400,155.48,155.48,155.16,155.30,155.36,37898,0,4540052,0
Ok,26-09-2025 13:55:00,1758875100,155.51,155.70,155.42,155.45,155.27,34932,0,4502154,0
Ok,26-09-2025 13:50:00,1758874800,155.56,155.63,155.40,155.47,155.72,103150,0,4467222,0
Ok,26-09-2025 13:45:00,1758874500,155.62,155.84,155.61,155.61,155.41,36876,0,4364072,0
Ok,26-09-2025 13:40:00,1758874200,155.70,155.78,155.57,155.68,155.81,54249,0,4327196,0
Ok,26-09-2025 13:35:00,1758873900,155.41,155.73,155.40,155.73,155.47,74184,0,4272947,0
Ok,26-09-2025 13:30:00,1758873600,155.72,155.74,155.41,155.45,155.37,66091,0,4198763,0
Ok,26-09-2025 13:25:00,1758873300,155.71,155.80,155.54,155.73,155.50,71144,0,4132672,0
Ok,26-09-2025 13:20:00,1758873000,156.04,156.04,155.71,155.75,156.67,38818,0,4061528,0
