stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,324.00,324.70,323.95,324.65,324.24,221040,0,5438630,0
Ok,26-09-2025 15:15:00,1758879900,324.20,324.20,323.80,324.05,323.93,118276,0,5217590,0
Ok,26-09-2025 15:10:00,1758879600,324.20,324.40,323.95,324.15,324.31,106134,0,5099314,0
Ok,26-09-2025 15:05:00,1758879300,323.95,324.30,323.95,324.25,324.14,129199,0,4993180,0
Ok,26-09-2025 15:00:00,1758879000,323.95,324.10,323.80,324.00,323.94,104848,0,4863981,0
Ok,26-09-2025 14:55:00,1758878700,324.20,324.20,323.85,323.90,323.44,49670,0,4759133,0
Ok,26-09-2025 14:50:00,1758878400,324.30,324.50,323.70,324.25,324.27,127255,0,4709463,0
Ok,26-09-2025 14:45:00,1758878100,324.60,324.60,323.75,324.40,324.02,66249,0,4582208,0
Ok,26-09-2025 14:40:00,1758877800,323.85,324.75,323.80,324.55,324.45,47135,0,4515959,0
Ok,26-09-2025 14:35:00,1758877500,323.70,324.25,323.60,324.10,323.93,29848,0,4468824,0
Ok,26-09-2025 14:30:00,1758877200,323.60,324.00,323.45,323.55,322.95,35639,0,4438976,0
Ok,26-09-2025 14:25:00,1758876900,323.70,324.15,323.40,323.65,324.17,67870,0,4403337,0
Ok,26-09-2025 14:20:00,1758876600,323.85,324.00,323.50,323.65,323.32,40003,0,4335467,0
Ok,26-09-2025 14:15:00,1758876300,324.80,324.80,324.05,324.05,324.43,40501,0,4295464,0
Ok,26-09-2025 14:10:00,1758876000,325.00,325.00,324.70,324.75,324.71,53955,0,4254963,0
Ok,26-09-2025 14:05:00,1758875700,324.40,325.00,324.00,324.95,324.56,172406,0,4201008,0
Ok,26-09-2025 14:00:00,1758875400,323.70,324.70,323.65,324.30,324.57,81318,0,4028602,0
Ok,26-09-2025 13:55:00,1758875100,324.10,324.25,323.55,323.65,323.91,47355,0,3947284,0
Ok,26-09-2025 13:50:00,1758874800,324.15,324.15,323.75,324.05,323.34,51596,0,3899929,0
Ok,26-09-2025 13:45:00,1758874500,324.15,324.65,324.05,324.25,325.62,26232,0,3848333,0
Ok,26-09-2025 13:40:00,1758874200,324.40,324.50,324.05,324.10,323.44,34785,0,3822101,0
Ok,26-09-2025 13:35:00,1758873900,324.50,324.80,324.30,324.45,324.97,56386,0,3787316,0
Ok,26-09-2025 13:30:00,1758873600,325.50,325.55,324.55,324.55,324.78,42794,0,3730930,0
Ok,26-09-2025 13:25:00,1758873300,325.90,325.95,325.40,325.55,325.66,55593,0,3688136,0
Ok,26-09-2025 13:20:00,1758873000,326.00,326.25,325.95,325.95,326.62,37161,0,3632543,0
Ok,26-09-2025 13:15:00,1758872700,326.00,326.30,325.85,326.25,325.65,48804,0,3595382,0
Ok,26-09-2025 13:10:00,1758872400,326.55,326.55,326.00,326.20,326.78,31003,0,3546578,0
Ok,26-09-2025 13:05:00,1758872100,326.20,326.80,326.10,326.45,326.72,63483,0,3515575,0
Ok,26-09-2025 13:00:00,1758871800,326.15,326.25,325.95,326.10,325.62,24000,0,3452092,0
