stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,185.15,185.26,184.90,185.00,185.02,84498,0,1251513,0
Ok,26-09-2025 15:15:00,1758879900,185.08,185.28,185.08,185.10,185.32,12718,0,1167015,0
Ok,26-09-2025 15:10:00,1758879600,185.41,185.50,185.00,185.12,185.13,58406,0,1154297,0
Ok,26-09-2025 15:05:00,1758879300,185.32,185.50,185.20,185.45,185.53,134315,0,1095891,0
Ok,26-09-2025 15:00:00,1758879000,185.25,185.32,185.09,185.30,184.03,7564,0,961576,0
Ok,26-09-2025 14:55:00,1758878700,185.41,185.48,185.24,185.24,185.31,4190,0,954012,0
Ok,26-09-2025 14:50:00,1758878400,185.37,185.48,185.37,185.38,185.31,2805,0,949822,0
Ok,26-09-2025 14:45:00,1758878100,185.33,185.36,185.03,185.36,185.31,2277,0,947017,0
Ok,26-09-2025 14:40:00,1758877800,185.40,185.49,185.16,185.40,185.31,8717,0,944740,0
Ok,26-09-2025 14:35:00,1758877500,185.30,185.50,185.30,185.50,185.31,2478,0,936023,0
Ok,26-09-2025 14:30:00,1758877200,185.00,185.30,185.00,185.30,185.31,2280,0,933545,0
Ok,26-09-2025 14:25:00,1758876900,185.05,185.11,184.90,185.02,185.31,7397,0,931265,0
Ok,26-09-2025 14:20:00,1758876600,184.71,185.05,184.71,185.05,185.31,6545,0,923868,0
Ok,26-09-2025 14:15:00,1758876300,185.11,185.11,185.00,185.00,185.31,9292,0,917323,0
Ok,26-09-2025 14:10:00,1758876000,185.00,185.15,185.00,185.13,185.31,2055,0,908031,0
Ok,26-09-2025 14:05:00,1758875700,184.86,185.04,184.37,185.00,184.72,44704,0,905976,0
Ok,26-09-2025 14:00:00,1758875400,185.00,185.05,184.92,184.93,184.96,22506,0,861272,0
Ok,26-09-2025 13:55:00,1758875100,185.05,185.05,184.88,185.05,183.28,27447,0,838766,0
Ok,26-09-2025 13:50:00,1758874800,184.86,185.07,184.62,184.91,185.42,39258,0,811319,0
Ok,26-09-2025 13:45:00,1758874500,185.05,185.50,185.00,185.15,185.42,12785,0,772061,0
Ok,26-09-2025 13:40:00,1758874200,185.08,185.08,184.57,185.00,184.79,12067,0,759276,0
Ok,26-09-2025 13:35:00,1758873900,185.00,185.09,184.81,185.08,185.43,4749,0,747209,0
Ok,26-09-2025 13:30:00,1758873600,184.39,185.09,184.05,185.00,184.32,32246,0,742460,0
Ok,26-09-2025 13:25:00,1758873300,185.07,185.07,184.36,184.48,184.80,10463,0,710214,0
Ok,26-09-2025 13:20:00,1758873000,185.00,185.00,184.28,184.85,184.64,46634,0,699751,0
Ok,26-09-2025 13:15:00,1758872700,184.90,185.01,184.90,185.01,185.55,948,0,653117,0
Ok,26-09-2025 13:10:00,1758872400,185.13,185.22,184.90,184.99,184.74,8064,0,652169,0
Ok,26-09-2025 13:05:00,1758872100,185.22,185.22,185.13,185.22,185.56,730,0,644105,0
Ok,26-09-2025 13:00:00,1758871800,185.22,185.28,185.13,185.28,185.56,328,0,643375,0
Ok,26-09-2025 12:55:00,1758871500,185.30,185.32,185.11,185.12,185.56,2370,0,643047,0
Ok,26-09-2025 12:50:00,1758871200,185.33,185.47,185.30,185.44,185.56,1733,0,640677,0
Ok,26-09-2025 12:45:00,1758870900,185.10,185.23,185.08,185.20,185.56,379,0,638944,0
Ok,26-09-2025 12:40:00,1758870600,184.87,185.15,184.87,185.10,184.75,7957,0,638565,0
Ok,26-09-2025 12:35:00,1758870300,185.00,185.00,184.87,184.87,185.57,5423,0,630608,0
Ok,26-09-2025 12:30:00,1758870000,185.11,185.12,185.00,185.00,183.29,2733,0,625185,0
Ok,26-09-2025 12:25:00,1758869700,185.14,185.14,185.01,185.06,185.58,527,0,622452,0
Ok,26-09-2025 12:20:00,1758869400,184.97,185.20,184.87,185.20,185.58,1387,0,621925,0
Ok,26-09-2025 12:15:00,1758869100,185.17,185.17,184.98,185.00,185.58,1498,0,620538,0
Ok,26-09-2025 12:10:00,1758868800,184.79,185.18,184.79,185.17,185.58,1617,0,619040,0
Ok,26-09-2025 12:05:00,1758868500,184.85,185.01,184.75,184.75,184.87,17096,0,617423,0
Ok,26-09-2025 12:00:00,1758868200,184.90,185.00,184.77,184.77,182.99,2299,0,600327,0
Ok,26-09-2025 11:55:00,1758867900,185.09,185.18,184.97,184.97,185.61,6699,0,598028,0
Ok,26-09-2025 11:50:00,1758867600,185.10,185.20,185.00,185.00,185.61,2076,0,591329,0
Ok,26-09-2025 11:45:00,1758867300,184.80,185.01,184.80,185.01,184.18,4142,0,589253,0
Ok,26-09-2025 11:40:00,1758867000,185.01,185.10,185.00,185.01,185.62,2532,0,585111,0
Ok,26-09-2025 11:35:00,1758866700,184.81,185.15,184.80,185.00,184.99,9217,0,582579,0
Ok,26-09-2025 11:30:00,1758866400,185.00,185.13,184.80,184.80,184.68,11933,0,573362,0
Ok,26-09-2025 11:25:00,1758866100,185.29,185.57,185.04,185.17,185.65,7321,0,561429,0
Ok,26-09-2025 11:20:00,1758865800,185.38,185.48,185.28,185.30,185.65,1019,0,554108,0
Ok,26-09-2025 11:15:00,1758865500,185.54,185.64,185.41,185.43,185.65,5083,0,553089,0
Ok,26-09-2025 11:10:00,1758865200,185.74,185.79,185.51,185.61,185.65,804,0,548006,0
Ok,26-09-2025 11:05:00,1758864900,185.70,185.76,185.70,185.74,185.65,390,0,547202,0
Ok,26-09-2025 11:00:00,1758864600,185.40,186.00,185.40,185.84,185.91,55485,0,546812,0
Ok,26-09-2025 10:55:00,1758864300,185.29,185.41,184.85,185.38,185.14,19829,0,491327,0
Ok,26-09-2025 10:50:00,1758864000,186.47,186.47,184.75,185.01,185.27,86258,0,471498,0
Ok,26-09-2025 10:45:00,1758863700,186.25,186.48,186.01,186.37,186.17,8261,0,385240,0
Ok,26-09-2025 10:40:00,1758863400,186.25,186.40,186.11,186.25,185.71,2303,0,376979,0
Ok,26-09-2025 10:35:00,1758863100,186.16,186.24,185.92,186.20,185.71,2202,0,374676,0
Ok,26-09-2025 10:30:00,1758862800,185.35,186.21,185.17,186.19,185.71,10923,0,372474,0
Ok,26-09-2025 10:25:00,1758862500,185.22,185.51,185.19,185.38,185.39,11142,0,361551,0
Ok,26-09-2025 10:20:00,1758862200,185.17,185.21,185.00,185.14,185.07,5362,0,350409,0
Ok,26-09-2025 10:15:00,1758861900,185.60,185.86,185.00,185.30,185.19,35114,0,345047,0
Ok,26-09-2025 10:10:00,1758861600,185.80,185.80,185.50,185.59,185.79,2734,0,309933,0
Ok,26-09-2025 10:05:00,1758861300,186.81,186.81,185.81,185.81,186.10,9408,0,307199,0
Ok,26-09-2025 10:00:00,1758861000,186.82,186.93,186.62,186.81,186.67,3267,0,297791,0
Ok,26-09-2025 09:55:00,1758860700,186.50,186.98,186.40,186.90,186.76,11276,0,294524,0
Ok,26-09-2025 09:50:00,1758860400,186.49,186.80,186.41,186.48,186.51,10435,0,283248,0
Ok,26-09-2025 09:45:00,1758860100,186.00,186.48,186.00,186.48,186.32,23683,0,272813,0
Ok,26-09-2025 09:40:00,1758859800,185.65,186.20,185.64,186.15,185.81,36659,0,249130,0
Ok,26-09-2025 09:35:00,1758859500,185.01,185.28,184.93,185.28,185.06,21120,0,212471,0
