stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,422.30,422.70,422.05,422.25,422.45,146709,0,5343943,0
Ok,26-09-2025 15:15:00,1758879900,422.45,422.75,421.75,422.35,422.45,175259,0,5197234,0
Ok,26-09-2025 15:10:00,1758879600,422.55,422.60,422.35,422.50,422.45,62905,0,5021975,0
Ok,26-09-2025 15:05:00,1758879300,421.65,422.50,421.65,422.35,421.65,61471,0,4959070,0
Ok,26-09-2025 15:00:00,1758879000,421.50,421.85,421.35,421.75,422.46,19845,0,4897599,0
Ok,26-09-2025 14:55:00,1758878700,422.40,422.40,421.30,421.35,420.94,32108,0,4877754,0
Ok,26-09-2025 14:50:00,1758878400,422.55,422.70,421.40,422.10,422.47,52738,0,4845646,0
Ok,26-09-2025 14:45:00,1758878100,422.60,422.60,421.30,422.60,422.47,53713,0,4792908,0
Ok,26-09-2025 14:40:00,1758877800,423.00,423.80,422.70,422.70,423.07,76242,0,4739195,0
Ok,26-09-2025 14:35:00,1758877500,422.80,423.50,422.30,423.20,422.76,148858,0,4662953,0
Ok,26-09-2025 14:30:00,1758877200,422.40,422.95,422.00,422.95,422.45,27114,0,4514095,0
Ok,26-09-2025 14:25:00,1758876900,421.40,422.90,421.40,422.75,422.45,34074,0,4486981,0
Ok,26-09-2025 14:20:00,1758876600,420.65,421.50,420.50,421.35,421.00,233174,0,4452907,0
Ok,26-09-2025 14:15:00,1758876300,421.80,421.90,420.40,420.60,420.60,416003,0,4219733,0
Ok,26-09-2025 14:10:00,1758876000,422.10,422.30,421.60,421.85,422.74,12834,0,3803730,0
Ok,26-09-2025 14:05:00,1758875700,421.50,422.00,421.00,421.95,420.85,39874,0,3790896,0
Ok,26-09-2025 14:00:00,1758875400,422.00,422.50,421.60,421.65,422.21,68100,0,3751022,0
Ok,26-09-2025 13:55:00,1758875100,422.40,422.60,421.20,422.25,421.83,77118,0,3682922,0
Ok,26-09-2025 13:50:00,1758874800,422.35,422.65,421.80,422.50,422.79,5538,0,3605804,0
Ok,26-09-2025 13:45:00,1758874500,422.35,423.20,421.50,422.40,423.02,144209,0,3600266,0
Ok,26-09-2025 13:40:00,1758874200,422.20,422.50,422.05,422.45,419.45,10364,0,3456057,0
Ok,26-09-2025 13:35:00,1758873900,422.75,423.20,422.05,422.05,422.79,15180,0,3445693,0
Ok,26-09-2025 13:30:00,1758873600,423.85,423.95,422.45,422.65,423.21,77198,0,3430513,0
Ok,26-09-2025 13:25:00,1758873300,423.75,424.00,423.40,423.90,422.78,15942,0,3353315,0
Ok,26-09-2025 13:20:00,1758873000,424.00,424.00,423.45,423.55,425.34,12960,0,3337373,0
Ok,26-09-2025 13:15:00,1758872700,424.15,424.25,423.80,424.05,423.69,35462,0,3324413,0
Ok,26-09-2025 13:10:00,1758872400,424.45,424.50,424.05,424.25,424.01,26063,0,3288951,0
Ok,26-09-2025 13:05:00,1758872100,424.15,424.50,424.10,424.40,424.79,31582,0,3262888,0
Ok,26-09-2025 13:00:00,1758871800,424.00,424.45,423.75,424.25,423.71,32287,0,3231306,0
Ok,26-09-2025 12:55:00,1758871500,424.30,424.30,423.70,424.10,425.13,13153,0,3199019,0
Ok,26-09-2025 12:50:00,1758871200,424.10,424.50,423.90,424.20,424.62,32895,0,3185866,0
Ok,26-09-2025 12:45:00,1758870900,422.80,424.20,422.75,424.15,422.69,19721,0,3152971,0
Ok,26-09-2025 12:40:00,1758870600,422.95,423.20,422.70,422.85,422.69,10837,0,3133250,0
Ok,26-09-2025 12:35:00,1758870300,423.05,423.25,422.95,423.00,422.69,3540,0,3122413,0
Ok,26-09-2025 12:30:00,1758870000,422.45,423.25,422.20,423.10,422.69,86282,0,3118873,0
Ok,26-09-2025 12:25:00,1758869700,423.00,423.20,422.10,422.50,422.43,223171,0,3032591,0
Ok,26-09-2025 12:20:00,1758869400,422.05,423.00,422.05,422.95,422.71,12230,0,2809420,0
Ok,26-09-2025 12:15:00,1758869100,422.35,422.50,422.00,422.10,417.23,5108,0,2797190,0
Ok,26-09-2025 12:10:00,1758868800,422.30,422.70,422.20,422.40,422.72,9444,0,2792082,0
Ok,26-09-2025 12:05:00,1758868500,422.50,422.60,422.15,422.35,422.72,7770,0,2782638,0
Ok,26-09-2025 12:00:00,1758868200,423.20,423.35,421.80,422.40,422.72,46186,0,2774868,0
Ok,26-09-2025 11:55:00,1758867900,423.80,424.10,423.05,423.35,423.27,94441,0,2728682,0
Ok,26-09-2025 11:50:00,1758867600,423.55,424.20,423.50,423.90,423.98,40058,0,2634241,0
Ok,26-09-2025 11:45:00,1758867300,422.70,423.85,422.70,423.60,423.34,38589,0,2594183,0
Ok,26-09-2025 11:40:00,1758867000,422.50,423.60,422.35,422.90,423.13,53448,0,2555594,0
Ok,26-09-2025 11:35:00,1758866700,423.30,423.95,422.65,422.65,423.44,120199,0,2502146,0
Ok,26-09-2025 11:30:00,1758866400,423.75,423.95,422.80,423.35,423.31,97378,0,2381947,0
Ok,26-09-2025 11:25:00,1758866100,422.30,423.90,422.00,423.80,423.19,206533,0,2284569,0
Ok,26-09-2025 11:20:00,1758865800,420.75,422.40,420.75,422.15,421.77,154238,0,2078036,0
Ok,26-09-2025 11:15:00,1758865500,422.90,422.95,420.20,420.90,420.75,255383,0,1923798,0
Ok,26-09-2025 11:10:00,1758865200,422.00,423.00,421.60,422.95,422.46,184133,0,1668415,0
Ok,26-09-2025 11:05:00,1758864900,422.75,422.85,421.30,422.20,421.91,215605,0,1484282,0
Ok,26-09-2025 11:00:00,1758864600,423.50,423.80,422.80,422.80,423.27,64663,0,1268677,0
Ok,26-09-2025 10:55:00,1758864300,424.35,424.70,423.25,423.65,424.19,51604,0,1204014,0
Ok,26-09-2025 10:50:00,1758864000,424.35,425.00,424.30,424.45,424.10,21013,0,1152410,0
Ok,26-09-2025 10:45:00,1758863700,424.25,424.45,423.20,424.20,423.72,30797,0,1131397,0
Ok,26-09-2025 10:40:00,1758863400,424.35,425.00,424.05,424.40,424.63,113434,0,1100600,0
Ok,26-09-2025 10:35:00,1758863100,423.30,424.55,423.25,424.40,424.10,43293,0,987166,0
Ok,26-09-2025 10:30:00,1758862800,423.55,423.80,423.25,423.25,423.47,37028,0,943873,0
Ok,26-09-2025 10:25:00,1758862500,424.85,425.20,423.60,423.70,424.73,34459,0,906845,0
Ok,26-09-2025 10:20:00,1758862200,423.65,425.10,423.65,424.90,424.57,38476,0,872386,0
Ok,26-09-2025 10:15:00,1758861900,423.80,424.60,423.60,423.70,424.22,37702,0,833910,0
Ok,26-09-2025 10:10:00,1758861600,422.75,423.80,422.50,423.60,423.03,95908,0,796208,0
Ok,26-09-2025 10:05:00,1758861300,423.25,423.50,421.90,422.80,422.66,45417,0,700300,0
Ok,26-09-2025 10:00:00,1758861000,425.10,425.10,423.50,423.50,424.06,25756,0,654883,0
Ok,26-09-2025 09:55:00,1758860700,424.95,425.20,424.70,425.00,424.91,27455,0,629127,0
Ok,26-09-2025 09:50:00,1758860400,424.15,425.00,424.15,424.90,424.45,22779,0,601672,0
Ok,26-09-2025 09:45:00,1758860100,423.95,424.40,423.55,424.30,423.90,46577,0,578893,0
Ok,26-09-2025 09:40:00,1758859800,422.90,424.30,422.85,423.80,423.50,54049,0,532316,0
Ok,26-09-2025 09:35:00,1758859500,421.50,423.00,421.30,423.00,422.13,80445,0,478267,0
Ok,26-09-2025 09:30:00,1758859200,420.60,421.75,420.60,421.70,421.22,75294,0,397822,0
Ok,26-09-2025 09:25:00,1758858900,422.45,422.45,420.20,420.80,420.66,153253,0,322528,0
Ok,26-09-2025 09:20:00,1758858600,422.60,422.60,421.05,422.60,421.89,95776,0,169275,0
Ok,26-09-2025 09:15:00,1758858300,422.90,424.70,422.60,422.65,423.90,69273,0,73499,0
