stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,230.25,230.49,230.25,230.30,230.50,70655,0,1657697,0
Ok,26-09-2025 15:15:00,1758879900,230.49,230.50,230.14,230.28,230.36,137280,0,1587042,0
Ok,26-09-2025 15:10:00,1758879600,231.48,231.48,230.50,230.50,230.91,61996,0,1449762,0
Ok,26-09-2025 15:05:00,1758879300,231.71,231.72,231.33,231.44,231.83,35916,0,1387766,0
Ok,26-09-2025 15:00:00,1758879000,231.70,231.90,231.41,231.73,231.00,33435,0,1351850,0
Ok,26-09-2025 14:55:00,1758878700,231.43,231.85,231.27,231.83,231.88,32942,0,1318415,0
Ok,26-09-2025 14:50:00,1758878400,232.10,232.15,231.28,231.40,232.00,26766,0,1285473,0
Ok,26-09-2025 14:45:00,1758878100,232.07,232.36,231.75,232.00,231.88,30172,0,1258707,0
Ok,26-09-2025 14:40:00,1758877800,232.13,232.42,231.80,231.98,232.14,19820,0,1228535,0
Ok,26-09-2025 14:35:00,1758877500,231.62,232.15,231.62,232.10,232.37,14644,0,1208715,0
Ok,26-09-2025 14:30:00,1758877200,231.40,231.67,231.10,231.55,231.11,32015,0,1194071,0
Ok,26-09-2025 14:25:00,1758876900,231.61,231.82,231.10,231.35,231.58,35717,0,1162056,0
Ok,26-09-2025 14:20:00,1758876600,231.62,231.80,231.37,231.60,231.61,13003,0,1126339,0
Ok,26-09-2025 14:15:00,1758876300,231.98,232.06,231.45,231.46,231.93,19195,0,1113336,0
Ok,26-09-2025 14:10:00,1758876000,231.83,232.08,231.60,232.00,231.55,19878,0,1094141,0
Ok,26-09-2025 14:05:00,1758875700,231.65,231.91,231.33,231.72,231.90,17613,0,1074263,0
Ok,26-09-2025 14:00:00,1758875400,231.60,232.01,231.50,231.64,231.40,10650,0,1056650,0
Ok,26-09-2025 13:55:00,1758875100,232.18,232.38,231.60,231.68,231.99,17272,0,1046000,0
Ok,26-09-2025 13:50:00,1758874800,232.15,232.21,231.68,232.06,231.84,23452,0,1028728,0
Ok,26-09-2025 13:45:00,1758874500,232.27,232.33,232.09,232.29,232.28,17973,0,1005276,0
Ok,26-09-2025 13:40:00,1758874200,232.16,232.30,232.10,232.15,231.95,7642,0,987303,0
Ok,26-09-2025 13:35:00,1758873900,231.90,232.41,231.85,232.28,232.10,23618,0,979661,0
Ok,26-09-2025 13:30:00,1758873600,232.09,232.22,231.50,231.92,231.86,77092,0,956043,0
Ok,26-09-2025 13:25:00,1758873300,232.10,232.22,231.99,231.99,231.65,8211,0,878951,0
Ok,26-09-2025 13:20:00,1758873000,232.07,232.59,231.92,232.11,232.20,31528,0,870740,0
Ok,26-09-2025 13:15:00,1758872700,232.70,232.78,232.06,232.16,232.04,11338,0,839212,0
Ok,26-09-2025 13:10:00,1758872400,232.85,232.95,232.68,232.78,232.70,10638,0,827874,0
Ok,26-09-2025 13:05:00,1758872100,233.15,233.23,232.62,232.86,232.96,30447,0,817236,0
Ok,26-09-2025 13:00:00,1758871800,233.46,233.52,233.05,233.05,233.56,10010,0,786789,0
Ok,26-09-2025 12:55:00,1758871500,233.73,233.81,233.35,233.35,233.56,4895,0,776779,0
Ok,26-09-2025 12:50:00,1758871200,233.69,233.86,233.59,233.62,233.31,8308,0,771884,0
Ok,26-09-2025 12:45:00,1758870900,233.84,233.92,233.31,233.59,233.84,11354,0,763576,0
Ok,26-09-2025 12:40:00,1758870600,234.11,234.14,233.72,233.73,233.66,19296,0,752222,0
Ok,26-09-2025 12:35:00,1758870300,234.25,234.25,234.00,234.10,235.23,4467,0,732926,0
Ok,26-09-2025 12:30:00,1758870000,234.58,234.58,234.17,234.22,233.99,11615,0,728459,0
Ok,26-09-2025 12:25:00,1758869700,234.90,234.94,234.45,234.54,234.64,11706,0,716844,0
Ok,26-09-2025 12:20:00,1758869400,234.40,234.60,234.29,234.60,234.62,10975,0,705138,0
Ok,26-09-2025 12:15:00,1758869100,234.23,234.43,234.13,234.35,234.38,7790,0,694163,0
Ok,26-09-2025 12:10:00,1758868800,234.29,234.47,234.14,234.17,234.08,16820,0,686373,0
Ok,26-09-2025 12:05:00,1758868500,234.22,234.32,234.01,234.18,234.47,7979,0,669553,0
Ok,26-09-2025 12:00:00,1758868200,234.47,234.52,234.02,234.08,234.31,6523,0,661574,0
Ok,26-09-2025 11:55:00,1758867900,234.29,234.58,234.17,234.48,234.35,19586,0,655051,0
Ok,26-09-2025 11:50:00,1758867600,233.96,234.31,233.90,234.30,233.71,11434,0,635465,0
Ok,26-09-2025 11:45:00,1758867300,233.91,234.00,233.90,233.99,234.59,7723,0,624031,0
Ok,26-09-2025 11:40:00,1758867000,234.10,234.30,233.80,233.90,233.97,24962,0,616308,0
Ok,26-09-2025 11:35:00,1758866700,234.57,234.57,234.00,234.07,234.08,24833,0,591346,0
Ok,26-09-2025 11:30:00,1758866400,234.75,234.87,234.50,234.50,234.75,7322,0,566513,0
Ok,26-09-2025 11:25:00,1758866100,234.62,234.89,234.57,234.73,234.79,21957,0,559191,0
Ok,26-09-2025 11:20:00,1758865800,234.76,235.18,234.65,234.71,234.84,14669,0,537234,0
