stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,26-09-2025 15:20:00,1758880200,142.92,143.88,142.92,143.83,143.54,184274,0,8725984,0
Ok,26-09-2025 15:15:00,1758879900,143.10,143.27,142.52,142.88,142.89,364953,0,8541710,0
Ok,26-09-2025 15:10:00,1758879600,144.24,144.55,142.94,143.21,144.13,2642242,0,8176757,0
Ok,26-09-2025 15:05:00,1758879300,143.96,144.31,143.96,144.23,144.04,255853,0,5534515,0
Ok,26-09-2025 15:00:00,1758879000,143.79,144.19,143.79,144.01,144.04,301293,0,5278662,0
Ok,26-09-2025 14:55:00,1758878700,143.54,143.95,143.41,143.85,143.61,227554,0,4977369,0
Ok,26-09-2025 14:50:00,1758878400,143.50,143.52,143.10,143.39,143.47,158891,0,4749815,0
Ok,26-09-2025 14:45:00,1758878100,142.23,143.60,142.05,143.51,143.08,420763,0,4590924,0
Ok,26-09-2025 14:40:00,1758877800,142.34,142.38,142.05,142.20,142.08,116414,0,4170161,0
Ok,26-09-2025 14:35:00,1758877500,142.39,142.39,142.15,142.35,142.83,28645,0,4053747,0
Ok,26-09-2025 14:30:00,1758877200,142.10,142.35,142.05,142.33,142.01,53341,0,4025102,0
Ok,26-09-2025 14:25:00,1758876900,142.43,142.49,142.00,142.07,142.07,139499,0,3971761,0
Ok,26-09-2025 14:20:00,1758876600,142.69,142.73,142.30,142.35,142.68,67837,0,3832262,0
Ok,26-09-2025 14:15:00,1758876300,142.89,142.89,142.70,142.70,141.27,24036,0,3764425,0
Ok,26-09-2025 14:10:00,1758876000,142.77,142.88,142.62,142.82,143.71,53008,0,3740389,0
Ok,26-09-2025 14:05:00,1758875700,142.65,142.77,142.45,142.70,141.81,42065,0,3687381,0
Ok,26-09-2025 14:00:00,1758875400,142.73,142.85,142.65,142.73,143.46,36607,0,3645316,0
Ok,26-09-2025 13:55:00,1758875100,142.60,142.78,142.60,142.70,142.65,39582,0,3608709,0
Ok,26-09-2025 13:50:00,1758874800,142.80,142.80,142.50,142.61,142.57,73696,0,3569127,0
Ok,26-09-2025 13:45:00,1758874500,142.87,142.94,142.81,142.84,143.18,26117,0,3495431,0
Ok,26-09-2025 13:40:00,1758874200,142.97,143.00,142.80,142.85,142.70,37719,0,3469314,0
Ok,26-09-2025 13:35:00,1758873900,142.82,143.10,142.80,142.94,142.95,83963,0,3431595,0
Ok,26-09-2025 13:30:00,1758873600,143.86,143.86,142.80,142.91,143.19,203560,0,3347632,0
Ok,26-09-2025 13:25:00,1758873300,143.77,143.92,143.54,143.87,143.70,63591,0,3144072,0
Ok,26-09-2025 13:20:00,1758873000,143.84,143.84,143.72,143.79,143.42,24021,0,3080481,0
Ok,26-09-2025 13:15:00,1758872700,143.90,143.92,143.75,143.83,143.75,31647,0,3056460,0
Ok,26-09-2025 13:10:00,1758872400,144.11,144.16,143.92,143.94,144.72,10365,0,3024813,0
Ok,26-09-2025 13:05:00,1758872100,144.16,144.19,144.06,144.08,144.72,7114,0,3014448,0
Ok,26-09-2025 13:00:00,1758871800,144.21,144.21,143.94,144.17,143.77,31699,0,3007334,0
Ok,26-09-2025 12:55:00,1758871500,144.32,144.32,144.20,144.20,144.73,16602,0,2975635,0
Ok,26-09-2025 12:50:00,1758871200,144.29,144.32,144.20,144.30,144.73,7041,0,2959033,0
Ok,26-09-2025 12:45:00,1758870900,144.07,144.30,144.07,144.30,141.51,9168,0,2951992,0
Ok,26-09-2025 12:40:00,1758870600,144.10,144.34,144.01,144.12,144.74,40257,0,2942824,0
Ok,26-09-2025 12:35:00,1758870300,144.05,144.12,143.99,144.06,143.96,37109,0,2902567,0
Ok,26-09-2025 12:30:00,1758870000,144.11,144.13,143.96,144.08,143.49,22618,0,2865458,0
Ok,26-09-2025 12:25:00,1758869700,144.09,144.20,144.00,144.14,144.76,22146,0,2842840,0
Ok,26-09-2025 12:20:00,1758869400,143.92,144.05,143.84,144.05,143.34,19898,0,2820694,0
Ok,26-09-2025 12:15:00,1758869100,143.89,143.99,143.84,143.89,144.77,11153,0,2800796,0
Ok,26-09-2025 12:10:00,1758868800,143.74,143.94,143.72,143.87,143.30,18893,0,2789643,0
Ok,26-09-2025 12:05:00,1758868500,143.80,143.92,143.72,143.72,143.90,31243,0,2770750,0
Ok,26-09-2025 12:00:00,1758868200,143.99,143.99,143.77,143.79,143.48,20856,0,2739507,0
Ok,26-09-2025 11:55:00,1758867900,144.02,144.09,143.91,143.98,143.86,28909,0,2718651,0
Ok,26-09-2025 11:50:00,1758867600,143.86,144.00,143.85,143.98,144.81,14659,0,2689742,0
Ok,26-09-2025 11:45:00,1758867300,143.81,143.89,143.75,143.85,143.58,43186,0,2675083,0
Ok,26-09-2025 11:40:00,1758867000,143.99,144.00,143.80,143.80,144.07,34660,0,2631897,0
Ok,26-09-2025 11:35:00,1758866700,144.05,144.10,143.85,143.91,143.76,23897,0,2597237,0
