stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:29:00,1758275940,1408.00,1409.40,1407.50,1407.60,1408.42,49400,0,13460928,0
Ok,19-09-2025 15:28:00,1758275880,1407.90,1408.90,1406.20,1407.50,1407.00,186864,0,13411528,0
Ok,19-09-2025 15:27:00,1758275820,1410.10,1410.30,1407.30,1407.30,1409.71,304437,0,13224664,0
Ok,19-09-2025 15:26:00,1758275760,1407.90,1410.00,1407.40,1410.00,1408.02,324130,0,12920227,0
Ok,19-09-2025 15:25:00,1758275700,1406.70,1407.50,1406.70,1407.50,1407.02,264525,0,12596097,0
Ok,19-09-2025 15:24:00,1758275640,1406.70,1406.90,1406.60,1406.80,1406.64,201713,0,12331572,0
Ok,19-09-2025 15:23:00,1758275580,1406.50,1406.80,1406.50,1406.80,1406.66,260877,0,12129859,0
Ok,19-09-2025 15:22:00,1758275520,1406.70,1406.80,1406.50,1406.60,1406.54,235943,0,11868982,0
Ok,19-09-2025 15:21:00,1758275460,1406.70,1406.80,1406.60,1406.80,1406.83,198626,0,11633039,0
Ok,19-09-2025 15:20:00,1758275400,1407.10,1407.10,1406.60,1406.60,1407.09,224482,0,11434413,0
Ok,19-09-2025 15:19:00,1758275340,1406.80,1407.20,1406.70,1407.00,1406.79,239828,0,11209931,0
Ok,19-09-2025 15:18:00,1758275280,1407.10,1407.10,1406.70,1406.70,1406.81,232265,0,10970103,0
Ok,19-09-2025 15:17:00,1758275220,1407.70,1407.90,1407.00,1407.00,1407.58,281056,0,10737838,0
Ok,19-09-2025 15:16:00,1758275160,1406.60,1407.80,1406.60,1407.60,1407.19,265083,0,10456782,0
Ok,19-09-2025 15:15:00,1758275100,1406.30,1406.70,1406.30,1406.70,1406.54,311121,0,10191699,0
Ok,19-09-2025 15:14:00,1758275040,1406.60,1406.60,1406.30,1406.40,1406.42,200560,0,9880578,0
Ok,19-09-2025 15:13:00,1758274980,1406.20,1406.60,1406.20,1406.50,1406.37,261757,0,9680018,0
Ok,19-09-2025 15:12:00,1758274920,1406.40,1406.70,1406.20,1406.40,1406.44,254563,0,9418261,0
Ok,19-09-2025 15:11:00,1758274860,1406.40,1406.60,1406.40,1406.50,1406.42,206309,0,9163698,0
Ok,19-09-2025 15:10:00,1758274800,1406.40,1406.80,1406.40,1406.50,1406.50,202811,0,8957389,0
Ok,19-09-2025 15:09:00,1758274740,1406.30,1406.60,1406.20,1406.50,1406.31,298567,0,8754578,0
Ok,19-09-2025 15:08:00,1758274680,1406.40,1406.70,1406.00,1406.20,1406.49,209573,0,8456011,0
Ok,19-09-2025 15:07:00,1758274620,1406.90,1406.90,1406.40,1406.50,1406.83,226109,0,8246438,0
Ok,19-09-2025 15:06:00,1758274560,1406.80,1406.90,1406.10,1406.80,1406.59,304034,0,8020329,0
Ok,19-09-2025 15:05:00,1758274500,1407.50,1407.80,1406.80,1406.90,1407.00,239670,0,7716295,0
Ok,19-09-2025 15:04:00,1758274440,1407.90,1408.20,1407.40,1407.70,1407.92,261596,0,7476625,0
