stock_name,scanned_time,source
SHALBY,2025-09-19 04:58:22,chartink_screener
HINDZINC,2025-09-19 04:58:22,chartink_screener
SHREEJISPG,2025-09-19 04:58:22,chartink_screener
ELECTCAST,2025-09-19 04:58:22,chartink_screener
PETRONET,2025-09-19 04:58:22,chartink_screener
EXICOM,2025-09-19 05:24:28,chartink_screener
HAPPSTMNDS,2025-09-19 05:34:51,chartink_screener
MANYAVAR,2025-09-19 05:40:49,chartink_screener
NIITLTD,2025-09-19 05:40:49,chartink_screener
BIRLAMONEY,2025-09-19 06:34:24,chartink_screener
CONSUMBEES,2025-09-19 06:34:24,chartink_screener
NITCO,2025-09-19 06:34:24,chartink_screener
ROSSARI,2025-09-19 08:55:01,chartink_screener
GIPCL,2025-09-19 08:55:01,chartink_screener
APEX,2025-09-19 08:55:01,chartink_screener
SURAKSHA,2025-09-19 08:55:01,chartink_screener
AMANTA,2025-09-19 10:55:21,chartink_screener
GODREJAGRO,2025-09-19 10:55:21,chartink_screener
MEDPLUS,2025-09-19 10:55:21,chartink_screener
JINDRILL,2025-09-19 10:55:21,chartink_screener
MEDIASSIST,2025-09-19 10:55:21,chartink_screener
