date,symbol,marketcapname,sector
28-01-2025 6:30 pm,ANANTRAJ,Largecap,Realty
28-01-2025 6:30 pm,SYRMA,Midcap,Consumer Discretionary
28-01-2025 6:30 pm,SIS,Smallcap,Miscellaneous
28-01-2025 6:30 pm,CHEMFAB,Smallcap,Chemicals
28-01-2025 6:30 pm,ACUTAAS,Midcap,Healthcare
29-01-2025 6:30 pm,SYRMA,Midcap,Consumer Discretionary
29-01-2025 6:30 pm,ACI,Midcap,Chemicals
29-01-2025 6:30 pm,POWERINDIA,Largecap,Industrials
30-01-2025 6:30 pm,WCIL,Smallcap,Transportation
30-01-2025 6:30 pm,WOCKPHARMA,Largecap,Healthcare
30-01-2025 6:30 pm,GULPOLY,Smallcap,
31-01-2025 6:30 pm,UNIECOM,Smallcap,I.T
02-02-2025 6:30 pm,BHAGERIA,Smallcap,Chemicals
03-02-2025 6:30 pm,MOTHERSON,Largecap,Auto
04-02-2025 6:30 pm,MTNL,Smallcap,Telecom
04-02-2025 6:30 pm,BLAL,Smallcap,Realty
04-02-2025 6:30 pm,VENUSREM,Smallcap,Healthcare
04-02-2025 6:30 pm,SCILAL,Smallcap,Services
04-02-2025 6:30 pm,GEECEE,Smallcap,Realty
05-02-2025 6:30 pm,KEYFINSERV,Smallcap,Financials
05-02-2025 6:30 pm,VIMTALABS,Smallcap,Healthcare
05-02-2025 6:30 pm,KRITI,Smallcap,Plastic products
06-02-2025 6:30 pm,ZFCVINDIA,Largecap,Auto
06-02-2025 6:30 pm,SAGARDEEP,Smallcap,Metals & Mining
09-02-2025 6:30 pm,HEXATRADEX,Smallcap,Financials
10-02-2025 6:30 pm,TRANSRAILL,Midcap,Realty
11-02-2025 6:30 pm,ICIL,Midcap,Textiles
12-02-2025 6:30 pm,ZENITHEXPO,Smallcap,Consumer Discretionary
12-02-2025 6:30 pm,ICIL,Midcap,Textiles
12-02-2025 6:30 pm,NITIRAJ,Smallcap,Consumer Discretionary
12-02-2025 6:30 pm,CHEMCON,Smallcap,Chemicals
13-02-2025 6:30 pm,GODFRYPHLP,Largecap,FMCG
13-02-2025 6:30 pm,TCPLPACK,Smallcap,Industrials
13-02-2025 6:30 pm,TEXMOPIPES,Smallcap,Plastic products
16-02-2025 6:30 pm,GLAXO,Largecap,Healthcare
16-02-2025 6:30 pm,SANDUMA,Midcap,Metals & Mining
16-02-2025 6:30 pm,RETAIL,Smallcap,Consumer Discretionary
16-02-2025 6:30 pm,NITIRAJ,Smallcap,Consumer Discretionary
17-02-2025 6:30 pm,GOLDTECH,Smallcap,I.T
19-02-2025 6:30 pm,AVANTEL,Smallcap,Aerospace & Defence
20-02-2025 6:30 pm,MANORG,Smallcap,Chemicals
20-02-2025 6:30 pm,SANDESH,Smallcap,Media
20-02-2025 6:30 pm,RELIGARE,Midcap,Financials
23-02-2025 6:30 pm,RAMANEWS,Smallcap,Miscellaneous
26-02-2025 6:30 pm,RELCHEMQ,Smallcap,Textiles
27-02-2025 6:30 pm,JINDWORLD,Smallcap,Textiles
03-03-2025 6:30 pm,COFFEEDAY,Smallcap,Consumer Discretionary
06-03-2025 6:30 pm,CAPTRUST,Smallcap,Financials
09-03-2025 6:30 pm,BODALCHEM,Smallcap,Chemicals
09-03-2025 6:30 pm,WELINV,Smallcap,Financials
09-03-2025 6:30 pm,BANKA,Smallcap,Miscellaneous
12-03-2025 6:30 pm,MTNL,Smallcap,Telecom
16-03-2025 6:30 pm,NIRAJ,Smallcap,Realty
17-03-2025 6:30 pm,SONAMLTD,Smallcap,Consumer Discretionary
18-03-2025 6:30 pm,GRINFRA,Midcap,Realty
19-03-2025 6:30 pm,VSTL,Smallcap,Metals & Mining
19-03-2025 6:30 pm,KSOLVES,Smallcap,I.T
20-03-2025 6:30 pm,ARMANFIN,Smallcap,Financials
23-03-2025 6:30 pm,BALUFORGE,Midcap,Industrials
23-03-2025 6:30 pm,POWERMECH,Midcap,Realty
23-03-2025 6:30 pm,LAMBODHARA,Smallcap,Textiles
24-03-2025 6:30 pm,KAPSTON,Smallcap,Miscellaneous
27-03-2025 6:30 pm,BSE,Largecap,Financials
31-03-2025 7:30 pm,ROSSELLIND,Smallcap,FMCG
03-04-2025 7:30 pm,BALPHARMA,Smallcap,Healthcare
03-04-2025 7:30 pm,VIPCLOTHNG,Smallcap,Textiles
07-04-2025 7:30 pm,ONEPOINT,Smallcap,I.T
08-04-2025 7:30 pm,TECILCHEM,Smallcap,Chemicals
10-04-2025 7:30 pm,STEELCAS,Smallcap,Industrials
10-04-2025 7:30 pm,GOLDIAM,Smallcap,Consumer Discretionary
10-04-2025 7:30 pm,NORTHARC,Smallcap,Financials
10-04-2025 7:30 pm,LTFOODS,Midcap,FMCG
14-04-2025 7:30 pm,SRM,Smallcap,Realty
14-04-2025 7:30 pm,SHK,Smallcap,Chemicals
14-04-2025 7:30 pm,DIAMONDYD,Smallcap,FMCG
14-04-2025 7:30 pm,TREJHARA,Smallcap,I.T
15-04-2025 7:30 pm,THEINVEST,Smallcap,Financials
16-04-2025 7:30 pm,SOMATEX,Smallcap,Services
16-04-2025 7:30 pm,ADL,Smallcap,Building Materials
